104/11/02,12.89,5.96,1.09
104/11/03,13.29,5.78,1.13
104/11/04,13.38,5.74,1.14
104/11/05,13.16,5.84,1.12
104/11/06,12.74,6.03,1.08
104/11/09,12.72,6.04,1.08
104/11/10,12.51,6.14,1.06
104/11/11,12.26,6.26,1.04
104/11/12,12.28,6.25,1.04
104/11/13,12.43,6.08,1.02
104/11/16,12.25,6.18,1.01
104/11/17,12.43,6.08,1.02
104/11/18,12.45,6.08,1.02
104/11/19,12.58,6.01,1.04
104/11/20,12.58,6.01,1.04
104/11/23,13.16,5.75,1.08
104/11/24,13.11,5.77,1.08
104/11/25,13.15,5.75,1.08
104/11/26,13.30,5.69,1.09
104/11/27,13.26,5.71,1.09
104/11/30,12.55,6.03,1.03
