,日期,本益比,殖利率,股價淨值比,股價
0,104/01/06,11.26,7.54,1.18,36.40011
1,104/01/07,11.48,7.4,1.2,36.40011
2,104/01/08,11.62,7.31,1.22,37.25014
3,104/01/09,11.58,7.33,1.21,36.60009
4,104/01/12,11.48,7.4,1.2,37.30014
5,104/01/13,11.88,7.15,1.24,37.7501
6,104/01/14,12.11,7.01,1.27,37.65011
7,104/01/15,12.0,7.08,1.26,37.30014
8,104/01/16,11.95,7.1,1.25,38.60014
9,104/01/19,12.0,7.08,1.26,39.35018
10,104/01/20,12.2,6.96,1.28,39.00021
11,104/01/21,12.06,7.04,1.26,38.85012
12,104/01/22,12.02,7.07,1.26,39.00021
13,104/01/23,12.0,7.08,1.26,39.65016
14,104/01/26,12.11,7.01,1.27,39.20019
15,104/01/27,12.09,7.02,1.27,39.0502
16,104/01/28,12.09,7.02,1.27,39.00021
17,104/01/29,12.0,7.08,1.26,39.35018
18,104/01/30,12.0,7.08,1.26,39.30018
19,104/02/02,12.12,7.01,1.27,39.30018
20,104/02/03,12.06,7.04,1.26,39.00021
21,104/02/04,11.97,7.1,1.25,39.00021
22,104/02/05,11.82,7.19,1.24,39.40017
23,104/02/06,11.8,7.2,1.24,39.20019
24,104/02/09,11.78,7.21,1.23,38.90011
25,104/02/10,11.86,7.16,1.24,38.40015
26,104/02/11,11.91,7.13,1.25,38.35016
27,104/02/12,11.94,7.11,1.25,38.30016
28,104/02/13,12.0,7.08,1.26,38.55014
29,104/02/24,12.06,7.04,1.26,38.70013
30,104/02/25,12.12,7.01,1.27,38.80012
31,104/02/26,12.28,6.92,1.29,39.00021
32,104/03/02,12.48,6.81,1.31,39.00021
33,104/03/03,12.62,6.73,1.32,39.00021
34,104/03/04,12.92,6.57,1.35,39.00021
35,104/03/05,12.77,6.65,1.34,39.00021
36,104/03/06,12.55,6.76,1.32,39.00021
37,104/03/09,12.38,6.86,1.3,39.00021
38,104/03/10,12.62,6.73,1.32,39.20019
39,104/03/11,12.46,6.81,1.31,39.40017
40,104/03/12,12.92,6.57,1.35,39.90013
