,0,1,2,3
2,105/10/03,13.49,4.91,1.45
3,105/10/04,13.55,4.89,1.45
4,105/10/05,13.58,4.88,1.46
5,105/10/06,13.40,4.94,1.44
6,105/10/07,13.51,4.91,1.45
7,105/10/11,13.52,4.90,1.45
8,105/10/12,13.45,4.93,1.44
9,105/10/13,13.43,4.93,1.44
10,105/10/14,13.15,5.04,1.41
11,105/10/17,13.02,5.09,1.40
12,105/10/18,13.30,4.98,1.43
13,105/10/19,13.59,4.87,1.46
14,105/10/20,13.45,4.93,1.44
15,105/10/21,13.40,4.94,1.44
16,105/10/24,13.57,4.89,1.46
17,105/10/25,13.79,4.81,1.48
18,105/10/26,13.59,4.87,1.46
19,105/10/27,13.48,4.92,1.45
20,105/10/28,13.57,4.89,1.46
21,105/10/31,13.40,4.94,1.44
