日期,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
106年07月03日,3.35,105,15.18,3.72,106/1
106年07月04日,3.38,105,15.03,3.69,106/1
106年07月05日,3.36,105,15.14,3.71,106/1
106年07月06日,3.37,105,15.07,3.70,106/1
106年07月07日,3.40,105,14.96,3.67,106/1
106年07月10日,3.40,105,14.96,3.67,106/1
106年07月11日,3.30,105,15.40,3.78,106/1
106年07月12日,3.33,105,15.29,3.75,106/1
106年07月13日,3.26,105,15.58,3.82,106/1
106年07月14日,3.29,105,15.47,3.79,106/1
106年07月17日,3.29,105,15.47,3.79,106/1
106年07月18日,3.27,105,15.54,3.81,106/1
106年07月19日,3.26,105,15.58,3.82,106/1
106年07月20日,3.25,105,15.65,3.84,106/1
