編號,車位類別,車位價格,車位面積平方公尺
RPWNMLSKKHMFFDA58DA,坡道平面,0,
RPVNMLSJKHMFFFA48CA,坡道平面,4500000,38.28
RPWNMLSKKHMFFCA38CA,坡道平面,0,38.57
RPWNMLSKKHMFFCA38CA,坡道平面,0,38.57
SPWNMLSKKHMFFCA48CA,坡道平面,0,38.57
SPWNMLSKKHMFFCA48CA,坡道平面,0,36.55
TPWNMLSKKHMFFCA58CA,坡道平面,0,38.57
TPWNMLSKKHMFFCA58CA,坡道平面,0,38.57
UPWNMLSKKHMFFCA68CA,坡道平面,0,38.57
UPWNMLSKKHMFFCA68CA,坡道平面,0,38.57
VPWNMLSKKHMFFCA78CA,坡道平面,0,38.57
VPWNMLSKKHMFFCA78CA,坡道平面,0,38.57
WPWNMLSKKHMFFCA88CA,坡道平面,0,38.57
WPWNMLSKKHMFFCA88CA,坡道平面,0,38.57
XPWNMLSKKHMFFCA98CA,坡道平面,0,38.57
XPWNMLSKKHMFFCA98CA,坡道平面,0,38.57
XPWNMLSKKHMFFCA98CA,坡道平面,0,38.57
XPWNMLSKKHMFFCA98CA,坡道平面,0,36.55
YPWNMLSKKHMFFCA09CA,坡道平面,0,38.57
YPWNMLSKKHMFFCA09CA,坡道平面,0,38.57
YPWNMLSKKHMFFCA09CA,坡道平面,0,38.57
YPWNMLSKKHMFFCA09CA,坡道平面,0,38.57
ZPWNMLSKKHMFFCA56CA,坡道平面,0,38.57
ZPWNMLSKKHMFFCA56CA,坡道平面,0,38.57
ZPWNMLSKKHMFFCA56CA,坡道平面,0,38.57
ZPWNMLSKKHMFFCA56CA,坡道平面,0,38.57
QQWNMLSKKHMFFCA38CA,坡道平面,0,38.57
QQWNMLSKKHMFFCA38CA,坡道平面,0,38.57
RQWNMLSKKHMFFCA48CA,坡道平面,0,38.57
RQWNMLSKKHMFFCA48CA,坡道平面,0,38.57
SQWNMLSKKHMFFCA58CA,坡道平面,0,38.57
SQWNMLSKKHMFFCA58CA,坡道平面,0,38.57
TQWNMLSKKHMFFCA68CA,坡道平面,0,38.57
TQWNMLSKKHMFFCA68CA,坡道平面,0,36.55
VQWNMLSKKHMFFCA88CA,坡道平面,0,38.57
VQWNMLSKKHMFFCA88CA,坡道平面,0,36.55
WQWNMLSKKHMFFCA98CA,坡道平面,0,38.57
WQWNMLSKKHMFFCA98CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XQWNMLSKKHMFFCA09CA,坡道平面,0,36.55
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,38.57
YQWNMLSKKHMFFCA56CA,坡道平面,0,36.55
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
ZQWNMLSKKHMFFCA66CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
QRWNMLSKKHMFFCA48CA,坡道平面,0,38.57
RRWNMLSKKHMFFCA58CA,坡道平面,0,38.57
RRWNMLSKKHMFFCA58CA,坡道平面,0,38.57
RRWNMLSKKHMFFCA58CA,坡道平面,0,38.57
RRWNMLSKKHMFFCA58CA,坡道平面,0,38.57
SRWNMLSKKHMFFCA68CA,坡道平面,0,38.57
SRWNMLSKKHMFFCA68CA,坡道平面,0,38.57
SRWNMLSKKHMFFCA68CA,坡道平面,0,38.57
SRWNMLSKKHMFFCA68CA,坡道平面,0,38.57
TRWNMLSKKHMFFCA78CA,坡道平面,0,38.57
TRWNMLSKKHMFFCA78CA,坡道平面,0,38.57
TRWNMLSKKHMFFCA78CA,坡道平面,0,38.57
TRWNMLSKKHMFFCA78CA,坡道平面,0,38.57
URWNMLSKKHMFFCA88CA,坡道平面,0,38.57
URWNMLSKKHMFFCA88CA,坡道平面,0,38.57
URWNMLSKKHMFFCA88CA,坡道平面,0,38.57
URWNMLSKKHMFFCA88CA,坡道平面,0,38.57
VRWNMLSKKHMFFCA98CA,坡道平面,0,38.57
VRWNMLSKKHMFFCA98CA,坡道平面,0,38.57
VRWNMLSKKHMFFCA98CA,坡道平面,0,38.57
VRWNMLSKKHMFFCA98CA,坡道平面,0,38.57
WRWNMLSKKHMFFCA09CA,坡道平面,0,38.57
WRWNMLSKKHMFFCA09CA,坡道平面,0,38.57
WRWNMLSKKHMFFCA09CA,坡道平面,0,38.57
WRWNMLSKKHMFFCA09CA,坡道平面,0,38.57
XRWNMLSKKHMFFCA56CA,坡道平面,0,38.57
XRWNMLSKKHMFFCA56CA,坡道平面,0,38.57
XRWNMLSKKHMFFCA56CA,坡道平面,0,38.57
XRWNMLSKKHMFFCA56CA,坡道平面,0,36.55
YRWNMLSKKHMFFCA66CA,坡道平面,0,38.57
YRWNMLSKKHMFFCA66CA,坡道平面,0,38.57
YRWNMLSKKHMFFCA66CA,坡道平面,0,38.57
