鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中山區,房地(土地+建物),臺北市中山區中原街31~60號,111.0,住,,,1051208,土地1建物1車位0,全,2,透天厝,,加強磚造,,176.3,0,0,0,無,無,無,60000,340,,0.0,0,,RPQNMLOKKILFFCA57CC
信義區,建物,臺北市信義區忠孝東路四段553巷22弄1~30號,0.0,住,,,1051201,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,174.56,2,1,1,有,無,有,65000,372,,0.0,0,,RPWNMLPKKILFFDA38CC
中山區,建物,臺北市中山區中山北路二段61~90號,0.0,商,,,1051118,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,加強磚造,0560518,26.8,0,0,0,無,無,無,90000,3358,,0.0,0,租賃範圍:一樓部分，約三分之一面積,RPQQMLQKKILFFCA08CC
信義區,建物,臺北市信義區嘉興街151~180號,0.0,住,,,1051207,土地0建物1車位0,全,2,透天厝,,加強磚造,,143.02,0,0,0,無,無,無,48000,336,,0.0,0,,RPVNMLTKKILFFDA68CC
士林區,建物,臺北市士林區磺溪街50巷1~30號,76.0,住,,,1051216,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0540730,104.3,3,2,1,有,無,無,25000,240,,0.0,0,,RPOOMLLLKILFFEA47CC
萬華區,房地(土地+建物),臺北市萬華區中華路二段1~30號,70.99,商,,,1051207,土地1建物3車位0,見其他登記事項,7,店面(店鋪),商業用,鋼筋混凝土造,0690822,563.51,0,0,0,無,無,無,100000,177,,0.0,0,,RPUNMLMLKILFFBA77CC
大同區,建物,臺北市大同區太原路31~60號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住商用,加強磚造,,497.4,0,0,0,無,無,無,156641,315,,0.0,0,"本案只承租2-4樓,有二位承租人",RPOPMLSLKILFFBA97CC
北投區,建物,臺北市北投區中和街301~330號,0.0,商,,,1051204,土地0建物0車位0,全,3,透天厝,住商用,加強磚造,0600416,125.76,3,2,2,有,無,有,26000,207,,0.0,0,承租部分面積,RPVOMLSLKILFFEA88CC
北投區,建物,臺北市北投區中和街錫安巷66弄1~30號,0.0,住,,,1051231,土地0建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,0831012,318.51,5,3,3,有,有,有,80000,251,一樓平面,0.0,0,,RPSNMLOJJHMFFEA77CC
萬華區,建物,臺北市萬華區德昌街1~30號,0.0,住,,,1051226,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0580501,233.24,0,0,0,無,無,無,65000,279,,0.0,0,,RPUOMLOJJHMFFBA77CC
中正區,建物,臺北市中正區中華路一段85巷1~30號,0.0,商,,,1051220,土地0建物1車位0,全,4,透天厝,,加強磚造,,294.23,0,0,0,無,無,無,67000,228,,0.0,0,含增建或未登記建物。,RPXNMLQJJHMFFBA28DC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1051220,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,465.03,0,0,0,無,無,無,105500,227,,0.0,0,,RPOOMLQJJHMFFBA47DC
士林區,建物,臺北市士林區後街21巷31~60號,0.0,住,,,1051219,土地0建物1車位0,全,2,透天厝,住家用,磚造,0490916,58.7,2,1,2,有,無,無,20000,341,,0.0,0,,RPSOMLKKJHMFFEA57CC
信義區,建物,臺北市信義區光復南路391~420號,0.0,商,,,1060111,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,77.95,2,2,1,有,有,有,25000,321,,0.0,0,,RPPPMLMKJHMFFDA47CC
中山區,建物,臺北市中山區中山北路二段59巷31~60號,0.0,商,,,1060111,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880928,113.56,1,1,1,有,有,有,60000,528,,0.0,0,,RPWNMLMKJHMFFCA87CC
中山區,建物,臺北市中山區長安東路二段1~30號,0.0,商,,,1051230,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0600304,825.36,0,0,0,無,無,無,295000,357,,0.0,0,,RPSQMLMKJHMFFCA77CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1060112,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970813,43.58,1,1,1,有,有,有,20000,459,,0.0,0,,RPRQMLNKJHMFFCA77CC
內湖區,建物,臺北市內湖區內湖路二段301~330號,0.0,商,,,1051217,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0771219,119.53,3,2,2,有,有,有,25836,216,,0.0,0,管理費2164元/月,RPSNMLQKJHMFFCA87CC
中山區,建物,臺北市中山區敬業一路31~60號,0.0,商,,,1051230,土地0建物1車位0,二層,8,套房(1房1廳1衛),商業用,鋼筋混凝土造,0961206,58.96,1,1,1,有,有,無,37000,628,,0.0,0,,RPXNMLQKJHMFFCA38CC
中山區,建物,臺北市中山區新生北路三段31~60號,0.0,商,,,1051229,土地0建物1車位0,三層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0830926,33.28,1,1,1,有,有,有,11500,346,,0.0,0,,RPOOMLQKJHMFFCA57CC
中山區,建物,臺北市中山區敬業三路162巷91~120號,0.0,住,,,1051229,土地0建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890628,155.04,4,2,2,有,有,無,39000,252,坡道平面,0.0,0,,RPPOMLQKJHMFFCA67CC
內湖區,建物,臺北市內湖區南京東路六段451巷31~60號,0.0,其他,,,1051229,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971205,83.89,3,2,2,有,有,有,26000,310,,0.0,0,,RPWOMLQKJHMFFCA38CC
內湖區,房地(土地+建物),臺北市內湖區內湖路二段103巷119弄31~60號,19.52,住,,,1060113,土地2建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,152.13,4,3,2,有,有,有,30000,197,,0.0,0,,RPVPMLQKJHMFFCA38CC
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段181~210號,143.0,工,,,1060109,土地1建物1車位3,二層,12,廠辦,工業用,見使用執照,0910917,704.39,0,0,0,無,有,無,214500,305,坡道平面,25.26,0,,RPOQMLQKJHMFFCA77CC
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷1~30號,9.79,工,,,1051209,土地1建物1車位0,五層,12,辦公商業大樓,商業用,鋼筋混凝土造,0881102,86.46000000000001,0,0,0,無,有,有,26000,301,,0.0,0,,RPPQMLQKJHMFFCA87CC
