編號,車位類別,車位價格,車位面積平方公尺
RPSNMLOJJHMFFEA77CC,一樓平面,0,
RPPOMLQKJHMFFCA67CC,坡道平面,0,
RPOQMLQKJHMFFCA77CC,坡道平面,0,8.42
RPOQMLQKJHMFFCA77CC,坡道平面,0,8.42
RPOQMLQKJHMFFCA77CC,坡道平面,0,8.42
RPRQMLQKJHMFFCA08CC,坡道平面,0,
RPSQMLQKJHMFFCA18CC,坡道平面,0,46.96
RPSOMLQKJHMFFDA08CC,坡道平面,0,
RPTNMLRKJHMFFAA97DC,塔式車位,2500,24.57
RPXNMLRKJHMFFCA48CC,坡道平面,0,
RPOQMLRKJHMFFCA87CC,坡道平面,0,
RPOQMLRKJHMFFCA87CC,坡道平面,0,
RPOQMLRKJHMFFCA87CC,坡道平面,0,
RPUNMLSKJHMFFCA28CC,坡道平面,0,33.06
RPPOMLSKJHMFFCA87CC,坡道平面,0,
RPRNMLSKJHMFFEA18CC,升降機械,0,
RPOPMLSKJHMFFEA08CC,坡道平面,0,
RPOQMLSKJHMFFCA08DC,坡道平面,0,21.40
RPPNMLTKJHMFFFA18CC,坡道平面,0,
RPSPMLTKJHMFFCA48DC,坡道平面,0,
RPXVMLTKJHMFFEA17DC,坡道平面,0,
RPPNMLTKJHMFFCA87CC,升降平面,0,31.88
RPQNMLTKJHMFFCA97CC,坡道平面,0,
RPQNMLTKJHMFFCA97CC,坡道平面,0,
RPOPMLTKJHMFFCA97CC,坡道平面,0,33.38
RPQNMLKLJHMFFCA17CC,坡道平面,0,
RPXOMLKLJHMFFDA08CC,坡道平面,0,47.29
RPPPMLKLJHMFFDA37CC,坡道平面,0,
RPTNMLKLJHMFFEA67CC,升降機械,0,17.32
RPTNMLKLJHMFFEA67CC,升降機械,0,17.32
RPUNMLKLJHMFFEA77CC,坡道平面,0,45.98
RPVNMLKLJHMFFEA87CC,坡道平面,0,33.45
RPRNMLKLJHMFFFA57CC,坡道平面,0,
RPVNMLLLJHMFFCA77CC,坡道平面,0,
RPTNMLNLJHMFFCA77CC,坡道平面,0,
RPOPMLNLJHMFFCA47CC,坡道平面,0,
RPOPMLNLJHMFFCA47CC,坡道平面,0,
RPQPMLNLJHMFFDA77CC,坡道平面,0,37.42
RPQPMLNLJHMFFDA77CC,坡道平面,0,37.42
RPQPMLNLJHMFFDA77CC,坡道平面,0,37.42
RPQOMLNLJHMFFBA47CC,升降平面,0,
RPUSMLNLJHMFFEA58CC,坡道平面,0,19.26
RPSOMLNLJHMFFAA57CC,坡道機械,0,22.68
RPVOMLOLJHMFFEA38CC,坡道平面,0,29.80
RPVOMLOLJHMFFEA38CC,坡道平面,0,29.80
RPPNMLOLJHMFFDA57CC,坡道平面,0,47.05
RPPNMLOLJHMFFDA57CC,坡道平面,0,47.05
RPXNMLOLJHMFFDA38CC,坡道平面,0,59.69
RPVPMLOLJHMFFDA38CC,坡道平面,0,
RPROMLOLJHMFFCA77CC,坡道平面,3500,35.81
RPROMLOLJHMFFCA77CC,坡道平面,3500,35.81
RPWQMLOLJHMFFCA48CC,一樓平面,0,
RPWQMLOLJHMFFCA48CC,一樓平面,0,
RPQOMLQLJHMFFBA77CC,坡道平面,0,41.75
RPQOMLQLJHMFFBA77CC,坡道平面,0,41.75
RPOPMLQLJHMFFEA97CC,升降平面,0,
RPXPMLQLJHMFFEA88CC,坡道平面,0,
