編號,車位類別,車位價格,車位面積平方公尺
RPUNMLSJKILFFGL96CA,坡道機械,0,9.03
RPUPMLQKKILFFGL07CA,坡道平面,0,
RPTPMLKLKILFFBB57CA,坡道平面,0,23.48
RPVPMLKLKILFFBB77CA,坡道平面,0,23.48
RPVPMLQKKILFFGL17CA,坡道機械,0,
RPXSMLSJLHMFFCB09CA,坡道機械,0,
RPRNMLQLJHMFFGL56CA,其他,0,
RPVNMLQLJHMFFGL96CA,坡道平面,0,36.04
RPWOMLQLJHMFFGL17CA,坡道平面,0,23.66
RPRNMLKLJHMFFGL58CA,坡道機械,0,
RPUPMLKLJHMFFGL09CA,坡道平面,0,36.04
RPUPMLKLJHMFFGL09CA,坡道平面,0,36.04
RPVPMLKLJHMFFGL56CA,坡道平面,0,36.04
RPVPMLKLJHMFFGL56CA,坡道平面,0,36.04
RPWPMLKLJHMFFGL66CA,坡道平面,0,36.04
RPWPMLKLJHMFFGL66CA,坡道平面,0,36.04
RPSNMLQJKHMFFGL56CA,坡道平面,0,27.06
RPVNMLKLJHMFFFL88CA,坡道機械,0,13.23
RPVNMLNLJHMFFFL56CA,坡道平面,0,29.40
RPOPMLPLJHMFFFL88CA,坡道機械,0,
RPSOMLTJLHMFFCB28CA,坡道平面,0,
RPVNMLRKJHMFFAL98CA,坡道平面,0,
RPSOMLPLJHMFFAL68CA,坡道平面,0,
RPOOMLSJKHMFFCB67CA,坡道平面,0,28.90
RPOOMLSJKHMFFCB67CA,坡道平面,0,28.90
RPTNMLKKKHMFFCB37CA,坡道平面,0,23.80
RPTNMLKKKHMFFCB37CA,坡道平面,0,23.80
RPTOMLNKKHMFFCB77CA,坡道平面,0,19.49
RPTOMLNKKHMFFCB77CA,坡道平面,0,19.49
RPTOMLNKKHMFFCB77CA,坡道平面,0,19.49
RPQPMLNKKHMFFCB57CA,坡道平面,0,19.49
RPQPMLNKKHMFFCB57CA,坡道平面,0,19.49
RPQPMLNKKHMFFCB57CA,坡道平面,0,19.49
RPRQMLNKKHMFFCB77CA,坡道平面,0,18.56
RPTOMLOKKHMFFCB87CA,坡道平面,1300000,28.10
RPTOMLOKKHMFFCB87CA,坡道平面,1200000,25.79
SPTOMLOKKHMFFCB97CA,坡道平面,1300000,28.10
RPVOMLOKKHMFFCB08CA,坡道平面,1300000,28.10
RPWOMLOKKHMFFCB18CA,坡道平面,1100000,25.79
RPXOMLOKKHMFFCB28CA,坡道平面,1400000,28.10
RPOPMLOKKHMFFCB47CA,坡道平面,1300000,28.10
RPPPMLOKKHMFFCB57CA,坡道平面,1200000,28.10
RPQPMLOKKHMFFCB67CA,坡道平面,1200000,28.10
RPSPMLOKKHMFFCB87CA,坡道平面,1300000,28.10
RPUPMLOKKHMFFCB08CA,坡道平面,1300000,28.10
SPUPMLOKKHMFFCB18CA,坡道平面,1300000,28.10
RPVPMLOKKHMFFCB18CA,坡道平面,1200000,28.10
RPWPMLOKKHMFFCB28CA,坡道平面,1300000,28.10
RPXPMLOKKHMFFCB38CA,坡道平面,1200000,28.10
RPOQMLOKKHMFFCB57CA,坡道平面,1200000,25.79
RPPQMLOKKHMFFCB67CA,坡道平面,1200000,28.10
RPRQMLOKKHMFFCB87CA,坡道平面,1300000,28.10
RPSQMLOKKHMFFCB97CA,坡道平面,1300000,28.10
RPSQMLOKKHMFFCB97CA,坡道平面,1200000,25.79
RPXRMLOKKHMFFCB58CA,坡道平面,1300000,28.10
RPROMLSJKHMFFCL98CA,一樓平面,0,
RPSOMLQKJHMFFAB67CA,坡道平面,0,
RPSOMLQKJHMFFAB67CA,其他,0,
RPPNMLRKJHMFFAB37CA,坡道平面,0,
RPXPMLRKJHMFFAB38CA,坡道平面,0,25.68
RPXPMLTKJHMFFAB58CA,坡道平面,0,23.17
RPOTMLTKJHMFFAB08CA,坡道機械,0,
RPXQMLKLJHMFFAB87CA,坡道平面,0,19.84
RPXQMLKLJHMFFAB87CA,坡道平面,0,19.84
RPRNMLOLJHMFFAB37CA,坡道機械,0,14.89
RPSTMLNLJHMFFAB97CA,坡道平面,0,33.09
RPSTMLNLJHMFFAB97CA,坡道平面,0,33.09
RPWOMLOLJHMFFAB97CA,坡道機械,0,
RPUNMLPLJHMFFAB77CA,坡道平面,0,36.26
RPUNMLPLJHMFFAB77CA,坡道平面,0,36.26
RPVOMLQLJHMFFAB08CA,坡道平面,0,25.05
RPQNMLNJKHMFFAB07CA,坡道機械,0,2.94
RPSNMLNJKHMFFAB27CA,坡道平面,1200000,
RPXNMLNJKHMFFAB77CA,坡道平面,0,29.30
RPPOMLTJKHMFFAB67CA,坡道平面,0,
RPQOMLTJKHMFFAB77CA,坡道平面,1200000,19.84
RPOPMLTJKHMFFAB67CA,坡道平面,0,23.83
RPTOMLRKJHMFFBB97CA,坡道平面,800000,23.72
