編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLLLKILFFBB27CC,12,110.80,見其他登記事項,鋼筋混凝土造,94年5月20日,五層,
RPOOMLLLKILFFBB27CC,12,22.31,共有部分,鋼筋混凝土造,94年5月20日,五層,
RPXNMLLLKILFFCB18CC,28,351.50,住商用,鋼造,78年1月11日,一層,
RPRNMLNLKILFFIL86DC,2,217.50,住家用,鋼筋混凝土造,104年2月25日,四層,
RPROMLQLKILFFBB08CC,1,128.33,見其他登記事項,鋼筋混凝土造,105年4月27日,二十一層,
RPROMLQLKILFFBB08CC,1,75.59,見其他登記事項,鋼筋混凝土造,105年4月27日,二十一層,
RPTOMLRLKILFFCB48CC,41,61.60,住家用,加強磚造,64年8月6日,二層,
RPPPMLTLKILFFAB28DC,42,287.04,商業用,見其他登記事項,63年11月29日,四層,
RPXOMLNJJHMFFCB28DC,22,77.46,見其他登記事項,鋼筋混凝土造,84年4月14日,四層,
RPQOMLPJJHMFFCB67CC,17,2096.80,見其他登記事項,鋼筋混凝土造,88年6月1日,三層,
RPROMLQKJHMFFBB87CC,25,107.27,住家用,鋼筋混凝土造,81年6月27日,十四層,
RPROMLQKJHMFFBB87CC,25,10.61,共有部份,鋼筋混凝土造,81年6月27日,十四層,
RPSOMLQKJHMFFBB97CC,25,107.27,住家用,鋼筋混凝土造,81年6月27日,十四層,
RPSOMLQKJHMFFBB97CC,25,10.61,共有部份,鋼筋混凝土造,81年6月27日,十四層,
RPVOMLQKJHMFFBB28CC,49,192.64,住家用,鋼筋混凝土加強磚造,56年11月16日,三層,
RPWOMLQKJHMFFBB38CC,17,96.97,住家用,鋼筋混凝土造,89年2月18日,十四層,
RPWOMLQKJHMFFBB38CC,17,44.65,共有部份,鋼筋混凝土造,89年2月18日,十四層,
RPXOMLQKJHMFFBB48CC,17,62.26,住家用,鋼筋混凝土造,89年2月18日,十四層,
RPXOMLQKJHMFFBB48CC,17,22.19,共有部份,鋼筋混凝土造,89年2月18日,十四層,
