編號,車位類別,車位價格,車位面積平方公尺
RPROMLQLKILFFBB08CC,坡道平面,0,28.13
RPXOMLNJJHMFFCB28DC,其他,0,
RPWOMLQKJHMFFBB38CC,坡道機械,0,10.01
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPUPMLRKJHMFFAB28CC,坡道機械,0,
RPUPMLRKJHMFFAB28CC,坡道機械,0,
RPOPMLRKJHMFFBB77CC,坡道機械,0,22.50
RPXPMLRKJHMFFCB78CC,坡道機械,2100,
RPXPMLRKJHMFFCB78CC,坡道機械,2100,
RPXPMLRKJHMFFCB78CC,坡道機械,2100,
RPSRMLRKJHMFFCB48CC,坡道平面,0,
RPPQMLSKJHMFFHL07CC,坡道平面,0,12.23
RPQRMLTKJHMFFAB28CC,坡道平面,0,25.12
RPURMLTKJHMFFAB68CC,坡道平面,0,
RPQTMLTKJHMFFCB68CC,坡道平面,0,
RPQTMLTKJHMFFCB68CC,坡道機械,0,
RPRTMLTKJHMFFCB78CC,坡道平面,0,31.03
RPTTMLTKJHMFFCB98CC,坡道平面,0,29.75
RPTTMLTKJHMFFCB98CC,坡道平面,0,29.75
RPWTMLTKJHMFFCB66CC,坡道平面,0,33.09
RPWTMLTKJHMFFCB66CC,坡道平面,0,31.46
RPPUMLTKJHMFFCB68CC,坡道平面,0,26.42
RPRUMLTKJHMFFCB88CC,坡道機械,0,
RPVUMLTKJHMFFCB66CC,坡道平面,0,
RPVUMLTKJHMFFCB66CC,坡道平面,0,
RPVUMLTKJHMFFCB66CC,坡道機械,0,
RPVUMLTKJHMFFCB66CC,坡道機械,0,
RPVUMLTKJHMFFCB66CC,坡道機械,0,
RPVUMLTKJHMFFCB66CC,坡道機械,0,
RPROMLKLJHMFFBB37CC,坡道平面,0,
RPQPMLKLJHMFFBB37CC,坡道平面,0,
RPROMLKLJHMFFAB27CC,坡道平面,0,
RPQNMLLLJHMFFCB37CC,坡道平面,0,24.45
RPQNMLLLJHMFFCB37CC,坡道平面,0,24.45
RPRNMLLLJHMFFCB47CC,坡道機械,0,11.77
RPPPMLNLJHMFFCB67CC,坡道平面,0,
RPSPMLNLJHMFFCB97CC,坡道平面,0,14.92
RPSPMLNLJHMFFCB97CC,坡道平面,0,14.92
RPVOMLNLJHMFFBB08CC,坡道平面,0,
RPUQMLNLJHMFFBB18CC,坡道平面,3200,31.88
RPVQMLNLJHMFFBB28CC,坡道平面,3200,31.88
RPWQMLNLJHMFFBB38CC,坡道機械,2200,15.94
RPORMLNLJHMFFBB67CC,坡道機械,2000,13.61
RPUOMLOLJHMFFCB18CC,坡道平面,0,25.82
RPPQMLPLJHMFFCB97CC,坡道機械,0,
RPQRMLPLJHMFFCB18CC,坡道平面,3000,37.80
RPSQMLPLJHMFFBB18CC,坡道機械,0,
RPORMLPLJHMFFBB87CC,坡道平面,3000,27.89
RPTRMLPLJHMFFBB38CC,坡道平面,2500,13.61
RPVRMLPLJHMFFBB58CC,坡道機械,2000,20.15
RPPOMLPLJHMFFAB57CC,升降平面,0,53.32
RPPQMLPLJHMFFAB77CC,升降機械,0,6.52
RPWNMLPLJHMFFCB48DC,坡道平面,0,26.48
