鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,建物,基隆市仁愛區南新街51巷1~30號,0.0,,,,1051125,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700128,76.44,3,1,1,有,無,1400000,18315,,0.0,0,,RPUNMLNJJHMFFBC57CA
信義區,建物,基隆市信義區東明路181~210號,0.0,,,,1050726,土地0建物1車位0,一層,一層,其他,住家用,磚造,0440801,29.79,2,1,1,有,無,382715,12847,,0.0,0,政府和市民協議價購之案件,RPVNMLNJJHMFFBC67CA
仁愛區,建物,基隆市仁愛區仁二路137巷2弄1~30號,0.0,,,,1051220,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0651020,57.77,3,2,1,有,無,1000000,17310,,0.0,0,土地為市府租任契約無權狀,RPQNMLMKJHMFFBC17CA
仁愛區,建物,基隆市仁愛區南新街211~240號,0.0,,,,1051223,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680820,78.55,2,1,1,有,無,1800000,22915,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPTNMLMKJHMFFBC47CA
中正區,建物,基隆市中正區豐稔街91~120號,0.0,,,,1051214,土地0建物1車位0,,,住宅大樓(11層含以上有電梯),,,,11.96,0,0,0,無,有,200000,16722,,0.0,0,本交易為儲藏室(公設)之買賣。,RPOOMLNLJHMFFBC27CA
仁愛區,建物,基隆市仁愛區龍安街31~60號,0.0,,,,1051213,土地0建物1車位0,一層,一層,店面(店鋪),住家用,木造,0340101,70.52,0,0,0,無,無,2000000,28361,,0.0,0,土地向鐵路局承租,RPUNMLQKJHMFFBC97CA
信義區,建物,基隆市信義區義六路34巷61~90號,0.0,,,,1060104,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660730,53.59,2,2,1,有,無,1250000,23325,,0.0,0,含增建或未登記建物。,RPSNMLTKJHMFFBC18DA
中正區,房地(土地+建物),基隆市中正區新豐街303巷13弄1~30號,30.64,住,,,1051226,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,115.78999999999999,3,2,2,有,無,1500000,12954,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLQJKHMFFBC77DA
中正區,房地(土地+建物),基隆市中正區新豐街162巷91~120號,36.27,住,,,1051218,土地9建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980629,117.58,3,2,2,有,有,5500000,46777,,0.0,0,,RPPNMLTJKHMFFBC97EA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路31~60號,22.81,住,,,1051202,土地3建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811216,180.57999999999998,3,2,2,有,有,8350000,46240,坡道平面,0.0,0,,RPQOMLRKJHMFFCC08EA
信義區,房地(土地+建物),基隆市信義區東信路3巷61~90號,21.0,住,,,1051227,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0641002,56.46,2,1,1,有,無,2600000,46050,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLRKJHMFFBC28CA
信義區,房地(土地+建物),基隆市信義區孝東路1~30號,15.91,住,,,1051223,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831222,109.35,3,2,2,有,有,3730000,34111,,0.0,0,,RPXNMLRKJHMFFBC38CA
中正區,房地(土地+建物),基隆市中正區新豐街151~180號,30.81,住,,,1051122,土地11建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721224,100.02,3,2,1,有,無,2380000,23795,,0.0,0,,RPRNMLTKJHMFFBC97CA
信義區,房地(土地+建物),基隆市信義區福民街69巷1~30號,32.2,住,,,1060101,土地4建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740912,72.6,2,2,1,有,無,1600000,22039,,0.0,0,,RPROMLNLJHMFFBC57CA
中正區,房地(土地+建物),基隆市中正區中正路640巷1~30號,24.03,住,,,1051130,土地5建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691212,78.07,4,2,3,有,無,2300000,29461,,0.0,0,含增建或未登記建物。,RPSOMLPLJHMFFBC87CA
信義區,房地(土地+建物),基隆市信義區深澳坑路151~180號,20.91,住,,,1051212,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,115.91,3,2,2,有,有,2600000,22431,,0.0,0,親友、員工或其他特殊關係間之交易。受債權債務影響或債務抵償之交易。,RPQNMLQJKHMFFBC57CA
中正區,房地(土地+建物)+車位,基隆市中正區觀海街91~120號,16.76,住,,,1051206,土地2建物1車位3,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,225.59000000000003,2,2,1,有,有,3600000,15958,坡道平面,0.0,0,,RPTNMLTJKHMFFBC18CA
七堵區,房地(土地+建物),基隆市七堵區大華一路121~150號,38.76,住,,,1051223,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010613,141.64,3,2,2,有,有,7800000,55069,,0.0,0,,RPOOMLQKJHMFFCC57CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路135巷21弄31~60號,37.66,住,,,1051223,土地66建物2車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820902,178.70999999999998,2,1,2,有,有,6980000,39058,坡道平面,0.0,0,,RPROMLSKJHMFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區中和路85巷1~30號,23.31,其他,,,1051118,土地7建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,87.66,3,2,2,有,有,4000000,45631,,0.0,0,,RPUOMLSKJHMFFCC38CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路271~300號,10.39,住,,,1051216,土地3建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,86.16,2,1,1,有,有,6580000,76370,坡道平面,15.87,0,,RPRNMLKLJHMFFCC27CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街181~210號,22.63,住,,,1051130,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,107.35,3,2,2,有,無,2800000,26083,,0.0,0,,RPTNMLNJKHMFFCC67CA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街62巷121~150號,24.12,住,,,1051219,土地2建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050517,131.7,2,2,1,有,有,6700000,57355,坡道平面,33.19,1050000,,RPWNMLNKKHMFFCC08CA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街62巷91~120號,32.16,住,,,1051130,土地2建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050517,166.39999999999998,3,2,2,有,有,8750000,57428,坡道平面,33.19,1100000,,RPXNMLNKKHMFFCC18CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福一街31~60號,22.1,住,,,1051211,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821222,105.07,3,2,1,有,有,4700000,44732,坡道平面,0.0,0,,RPOOMLNKKHMFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區基金一路91~120號,18.45,住,,,1051118,土地4建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850406,105.66,3,2,2,有,有,4700000,44482,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLQJKHMFFCC18CA
安樂區,房地(土地+建物),基隆市安樂區安一路301~330號,24.75,住,,,1051222,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700930,98.88,3,2,2,有,無,1800000,18204,,0.0,0,,RPOQMLPLJHMFFCC77CA
安樂區,房地(土地+建物),基隆市安樂區中平街91~120號,30.0,住,,,1051121,土地5建物1車位0,一層,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0701228,68.31,2,2,1,有,無,2100000,30742,,0.0,0,含增建或未登記建物。,RPPNMLQLJHMFFCC67CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路31~60號,22.81,住,,,1051218,土地3建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811216,180.41000000000003,4,2,2,有,有,8600000,47669,坡道平面,33.62,0,,RPTOMLQLJHMFFCC18CA
中山區,土地,德育段781~810地號,12.96,住,,,1051229,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,42438,,0.0,0,現況停車使用,RPUNMLKLJHMFFCC57CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路331~360號,14.05,住,,,1051206,土地3建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,121.48,3,1,2,有,有,7400000,60915,坡道平面,0.0,0,,RPQNMLSKJHMFFCC87CA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路211~240號,16.05,住,,,1051214,土地3建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,142.01,3,2,2,有,有,9350000,65840,坡道平面,0.0,0,,RPOOMLSKJHMFFCC77CA
信義區,房地(土地+建物),基隆市信義區東信路35巷151~180號,25.0,住,,,1051226,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700602,79.74,3,2,2,有,無,3500000,43893,,0.0,0,含增建部份一併移轉。親友、員工或其他特殊關係間之交易。,RPVNMLPLJHMFFBC08CA
中正區,房地(土地+建物)+車位,基隆市中正區豐稔街91~120號,35.26,住,,,1051205,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041020,223.09,4,2,2,有,有,11000000,55277,坡道平面,39.47,850000,本交易共有二車位.其中一個為機車位。,RPWNMLNLJHMFFBC97CA
中正區,房地(土地+建物)+車位,基隆市中正區豐稔街91~120號,18.14,住,,,1051215,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041020,123.82000000000001,2,1,1,有,有,3900000,39466,坡道平面,37.67,500000,公司與員工間特殊關係之交易。,RPXNMLNLJHMFFBC08CA
信義區,房地(土地+建物),基隆市信義區正信路227巷23弄1~30號,13.91,住,,,1060102,土地6建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860607,53.06,1,1,1,有,無,1500000,28270,,0.0,0,,RPUOMLKLJHMFFBC57CA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街31~60號,20.84,住,,,1051010,土地7建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860117,125.31,3,2,2,有,有,4350000,34714,坡道機械,0.0,0,,RPOPMLPKKHMFFCC67CA
仁愛區,土地,德厚段751~780地號,53.0,住,,,1051209,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1757480,33160,,0.0,0,向政府機關承購之案件。權利人共2人,RPPNMLPKKHMFFBC57DA
中正區,房地(土地+建物),基隆市中正區觀海街61~90號,15.03,住,,,1051215,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,72.14,2,1,2,有,有,1500000,20793,,0.0,0,,RPXNMLTKJHMFFBC68DA
信義區,房地(土地+建物),基隆市信義區東光路1~30號,31.52,住,,,1060110,土地2建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781108,105.27,1,1,1,有,無,4620000,43887,,0.0,0,,RPOOMLTKJHMFFBC87DA
暖暖區,車位,基隆市暖暖區源遠路292巷91~120號,0.0,,,,1060107,土地0建物0車位1,,,其他,,,,35.67,0,0,0,有,有,650000,,坡道平面,35.67,650000,1.權利人共2人。2.單獨車位交易。,RPVNMLTKJHMFFCC68EA
七堵區,房地(土地+建物),基隆市七堵區長安街231巷31~60號,61.86,,鄉村區,乙種建築用地,1051224,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,96.18,3,2,2,有,無,4500000,46787,,0.0,0,,RPWNMLTKJHMFFCC78EA
七堵區,房地(土地+建物),基隆市七堵區長安街247巷31~60號,113.32,,鄉村區,乙種建築用地,1051226,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0710220,112.2,3,2,3,有,無,5200000,46346,,0.0,0,含增建或未登記建物。,RPTNMLQJKHMFFCC08DA
安樂區,房地(土地+建物),基隆市安樂區武隆街91~120號,33.23,商,,,1051214,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790523,100.41,3,2,2,有,無,5000000,49796,,0.0,0,,RPPOMLTJKHMFFCC08DA
中正區,房地(土地+建物),基隆市中正區新豐街161巷91~120號,31.79,住,,,1051117,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051007,121.37,3,2,2,有,有,7220000,59488,,0.0,0,,RPUNMLKLJHMFFBC47CA
信義區,房地(土地+建物),基隆市信義區深溪路36巷102弄61~90號,18.18,住,,,1051122,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880120,102.13,3,2,1,有,有,3450000,33780,,0.0,0,,RPOOMLKLJHMFFBC96CA
信義區,房地(土地+建物),基隆市信義區東信路55巷1~30號,22.0,住,,,1051212,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610120,66.22,3,2,1,有,無,3380000,51042,,0.0,0,有增建,RPQOMLKLJHMFFBC17CA
信義區,房地(土地+建物),基隆市信義區正信路1~30號,13.33,其他,,,1051226,土地2建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土加強磚造,0660730,43.09,1,1,1,有,無,2600000,60339,,0.0,0,,RPROMLKLJHMFFBC27CA
中正區,房地(土地+建物),基隆市中正區新豐街161巷61~90號,30.48,住,,,1051231,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720427,89.07000000000001,5,3,2,有,無,1280000,14371,,0.0,0,有增建 不堪居住,RPSOMLKLJHMFFBC37CA
