編號,車位類別,車位價格,車位面積平方公尺
RPQOMLRKJHMFFCC08EA,坡道平面,0,
RPTNMLTJKHMFFBC18CA,坡道平面,0,
RPTNMLTJKHMFFBC18CA,坡道平面,0,
RPTNMLTJKHMFFBC18CA,坡道平面,0,
RPROMLSKJHMFFCC08CA,坡道平面,0,
RPRNMLKLJHMFFCC27CA,坡道平面,0,15.87
RPWNMLNKKHMFFCC08CA,坡道平面,1050000,33.19
RPXNMLNKKHMFFCC18CA,坡道平面,1100000,33.19
RPOOMLNKKHMFFCC37CA,坡道平面,0,
RPTOMLQLJHMFFCC18CA,坡道平面,0,33.62
RPQNMLSKJHMFFCC87CA,坡道平面,0,
RPOOMLSKJHMFFCC77CA,坡道平面,0,
RPWNMLNLJHMFFBC97CA,坡道平面,800000,37.67
RPWNMLNLJHMFFBC97CA,坡道平面,50000,1.80
RPXNMLNLJHMFFBC08CA,坡道平面,500000,37.67
RPOPMLPKKHMFFCC67CA,坡道機械,0,
RPVNMLTKJHMFFCC68EA,坡道平面,650000,35.67
RPQOMLTKJHMFFBC97CA,坡道機械,0,
RPQOMLTKJHMFFBC97CA,坡道機械,0,
RPROMLTKJHMFFBC08CA,坡道平面,0,
RPXNMLTKJHMFFCC68CA,坡道平面,0,
RPPOMLKLJHMFFCC17CA,坡道平面,0,
RPRNMLRJKHMFFBC77CA,坡道平面,750000,23.69
RPRNMLRJKHMFFBC77CA,坡道平面,850000,37.22
RPUNMLKKKHMFFBC47CA,坡道平面,550000,40.41
RPPOMLOLJHMFFBC47CA,坡道平面,600000,34.17
RPSNMLKLJHMFFBC27CA,坡道平面,0,40.09
RPPNMLNLJHMFFBC27CA,坡道平面,0,
RPRNMLNLJHMFFBC47CA,坡道平面,0,
RPROMLPLJHMFFCC97DA,坡道平面,0,
RPSNMLRKKHMFFBC08DA,坡道平面,0,
RPTNMLRJKHMFFBC08DA,坡道機械,600000,12.77
RPTNMLQLJHMFFBC97CA,坡道平面,500000,38.72
RPPOMLQLJHMFFCC77CA,坡道平面,0,
RPPNMLSJKHMFFCC77CA,升降機械,0,
RPROMLOLJHMFFCC77CA,坡道平面,1100000,15.87
RPROMLOLJHMFFCC77CA,坡道平面,1100000,15.87
RPRPMLPLJHMFFCC97CA,坡道平面,1200000,15.87
RPRPMLPLJHMFFCC97CA,坡道平面,1200000,15.87
RPTPMLPLJHMFFCC18CA,坡道平面,1200000,13.47
RPTPMLPLJHMFFCC18CA,坡道平面,1200000,13.47
RPVPMLPLJHMFFCC38CA,坡道平面,1100000,15.87
RPVPMLPLJHMFFCC38CA,坡道平面,1100000,15.87
RPQNMLQLJHMFFCC77CA,坡道平面,0,
RPVNMLMJKHMFFCC77CA,坡道平面,930000,33.40
RPWNMLQJKHMFFBC18CA,坡道平面,0,
RPXNMLSJKHMFFCC58CA,坡道平面,0,
RPWOMLPLJHMFFCC38CA,坡道平面,1050000,36.40
RPWPMLPLJHMFFCC48CA,坡道平面,0,
RPSOMLQLJHMFFCC08CA,升降機械,0,11.85
RPQNMLMJKHMFFCC27CA,坡道平面,0,33.12
RPUNMLSJKHMFFBC18CA,坡道機械,0,
RPPNMLQKKHMFFBC57CA,坡道平面,500000,41.61
RPQNMLKLKHMFFBC17CA,坡道平面,0,
RPPOMLKLKHMFFCC27CA,坡道機械,0,
RPSNMLLLKHMFFCC57CA,坡道平面,0,33.19
RPSNMLLLKHMFFCC57CA,坡道平面,0,33.19
RPWNMLTJKHMFFCC68DA,坡道平面,1000000,33.06
RPTNMLLLKHMFFCC67CA,坡道平面,0,33.19
RPTNMLLLKHMFFCC67CA,坡道平面,0,33.19
RPQNMLNJKHMFFBC27CA,坡道平面,425000,33.40
RPQNMLNJKHMFFBC27CA,坡道平面,425000,33.41
RPQNMLMJKHMFFBC17CA,坡道平面,0,
RPPNMLTJKHMFFCC87CA,坡道平面,0,
