編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLSJKILFFCD68CC,50,273.29,住家用,加強磚造,55年8月5日,三層,
RPUOMLSJKILFFCD68CC,26,145.42,住商用,鋼筋混凝土構造,80年5月22日,三層,
RPUNMLMKKILFFCD08CC,44,99.22,住家用,加強磚造,61年12月11日,二層,
RPRNMLPKKILFFCD08CC,5,205.42,見其他登記事項,鋼筋混凝土構造,101年2月2日,四層,
RPRNMLPKKILFFCD08CC,5,.29,見其他登記事項,鋼筋混凝土構造,101年2月2日,四層,
RPTNMLPKKILFFCD28CC,44,232.89,住商用,加強磚造,61年6月22日,三層,
RPPNMLPKKILFFER86CC,39,100.80,住商用,加強磚造,67年3月10日,二層,
RPSNMLQKKILFFCD28CC,41,85.20,住家用,加強磚造,64年11月24日,二層,
RPTNMLQKKILFFCD38CC,18,224.68,見其他登記事項,鋼筋混凝土構造,87年10月7日,五層,
RPUNMLQKKILFFCD48CC,6,119.58,見其他登記事項,鋼筋混凝土構造,99年9月15日,二層,
RPUNMLLLKILFFAR76DC,24,133.09,住家用,鋼筋混凝土造,82年3月12日,三層,
RPUNMLMLKILFFCD18CC,41,226.14,住商用,鋼筋混凝土構造,64年8月7日,三層,
RPRQMLTLKILFFHR28DC,3,192.53,見其他登記事項,見其他登記事項,102年12月26日,四層,
RPTNMLTLKILFFFR87CC,35,95.63,住商用,加強磚造,71年5月8日,二層,
RPROMLKMKILFFFR96CC,8,344.03,住商用,鋼筋混凝土造,97年9月12日,四層,
RPQNMLMJJHMFFFR56CC,1,183.87,見其他登記事項,鋼筋混凝土造,104年7月22日,四層,
RPOQMLNJJHMFFHR96CC,41,89.93,住家用,加強磚造,64年11月1日,二層,
RPUNMLPJJHMFFER17CC,30,444.54,住家用,鋼筋混凝土造,75年12月5日,三層,
RPOOMLKKJHMFFHR56CC,5,208.05,見其他登記事項,見其他登記事項,100年11月28日,四層,
RPOOMLRKJHMFFAD77CC,38,139.44,住家用,加強磚造,67年9月8日,二層,
RPVOMLRKJHMFFCD68CC,9,27.58,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPVOMLRKJHMFFCD68CC,9,6.80,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPVOMLRKJHMFFCD68CC,9,9.00,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPVNMLSKJHMFFCD68CC,18,152.97,住家用,鋼筋混凝土構造,87年9月14日,九層,
RPXNMLSKJHMFFAD68CC,9,101.90,見其他登記事項,鋼筋混凝土構造,96年12月27日,十九層,
RPOOMLSKJHMFFER07CC,21,73.01,住家用,鋼筋混凝土造,84年10月17日,八層,
RPOOMLSKJHMFFER07CC,21,21.75,見其他登記事項,鋼筋混凝土造,84年10月17日,八層,
RPOOMLSKJHMFFER07CC,21,3.59,見其他登記事項,鋼筋混凝土造,84年10月17日,八層,
RPVOMLSKJHMFFHR08CC,21,123.22,住家用,鋼筋混凝土造,85年5月22日,十六層,
RPRPMLSKJHMFFHR77CC,24,127.18,住家用,鋼筋混凝土造,81年9月19日,二十層,
RPRPMLSKJHMFFHR77CC,24,7.53,共有部分,鋼筋混凝土造,81年9月19日,二十層,
RPRPMLSKJHMFFHR77CC,24,15.72,共有部分,鋼筋混凝土造,81年9月19日,二十層,
RPSNMLTKJHMFFHR77CC,26,23.50,見其他登記事項,見其他登記事項,79年6月26日,二層,
RPWNMLTKJHMFFAD68CC,21,692.88,商業用,見其他登記事項,85年3月4日,三層,
RPOTMLTKJHMFFCD68CC,16,101.76,住家用,鋼筋混凝土構造,89年11月28日,二十層,
RPOTMLTKJHMFFCD68CC,16,11.19,共有部分,鋼筋混凝土構造,89年11月28日,二十層,
RPOTMLTKJHMFFCD68CC,16,16.79,共有部分,鋼筋混凝土構造,89年11月28日,二十層,
RPOTMLTKJHMFFCD68CC,16,14.25,共有部分,鋼筋混凝土構造,89年11月28日,二十層,
RPSOMLNLJHMFFCD08CC,41,82.09,住家用,加強磚造,65年3月9日,二層,
RPSNMLOLJHMFFCD08CC,35,93.45,住家用,鋼筋混凝土構造,71年2月26日,五層,
RPQPMLOLJHMFFCD08CC,9,27.58,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPQPMLOLJHMFFCD08CC,9,6.80,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPQPMLOLJHMFFCD08CC,9,9.00,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPQOMLOLJHMFFAD77CC,31,113.13,住家用,鋼筋混凝土構造,74年12月26日,五層,
RPXNMLOLJHMFFAR17CC,24,10.32,住家用,鋼筋混凝土造,82年3月25日,七層,
RPOOMLOLJHMFFAR98CC,23,32.06,住家用,鋼筋混凝土造,83年2月28日,七層,
RPRQMLOLJHMFFHR57CC,36,97.81,住家用,加強磚造,69年11月11日,二層,
RPSPMLPLJHMFFHR67CC,22,70.11,住家用,鋼筋混凝土造,84年6月24日,八層,
RPSPMLPLJHMFFHR67CC,22,30.92,見其他登記事項,鋼筋混凝土造,84年6月24日,八層,
RPRTMLPLJHMFFHR97CC,21,124.20,住家用,鋼筋混凝土造,85年5月22日,十六層,
RPRTMLPLJHMFFHR97CC,21,.18,見其他登記事項,鋼筋混凝土造,85年5月22日,十六層,
RPRTMLPLJHMFFHR97CC,21,.57,見其他登記事項,鋼筋混凝土造,85年5月22日,十六層,
RPRTMLPLJHMFFHR97CC,21,.93,見其他登記事項,鋼筋混凝土造,85年5月22日,十六層,
RPROMLPLJHMFFAD97CC,45,54.06,住家用,加強磚造,61年6月5日,二層,
RPTOMLPLJHMFFAD18CC,20,82.83,住家用,鋼筋混凝土構造,85年9月7日,十七層,
RPTOMLPLJHMFFAD18CC,20,56.04,共有部分,鋼筋混凝土構造,85年9月7日,十七層,
RPSOMLPLJHMFFCD28CC,23,85.02,住家用,鋼筋混凝土構造,83年4月12日,六層,
RPSOMLPLJHMFFCD28CC,23,24.12,共有部分,鋼筋混凝土構造,83年4月12日,六層,
RPSOMLPLJHMFFFR37CC,24,161.20,住家用,鋼筋混凝土造,81年8月31日,三層,
RPXOMLQLJHMFFCD88CC,21,34.33,住家用,鋼筋混凝土構造,84年11月6日,二十層,
