編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLMJLHMFFAE67CA,1,130.07,住家用,鋼筋混凝土造,104年5月13日,二十四層,二十一層
RPSOMLMJLHMFFAE67CA,1,88.88,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPOOMLQKJHMFFCE87DA,23,32.37,住家用,鋼筋混凝土造,82年11月30日,七層,五層
RPOOMLQKJHMFFCE87DA,23,26.70,住家用,鋼筋混凝土造,82年11月30日,七層,五層
RPOOMLQKJHMFFCE87DA,23,24.16,見使用執照,鋼筋混凝土造,82年11月30日,七層,
RPQOMLQKJHMFFCE08DA,20,59.55,住家用,鋼筋混凝土造,85年7月8日,十一層,八層
RPQOMLQKJHMFFCE08DA,20,29.29,見使用執照,鋼筋混凝土造,85年7月8日,十一層,
RPOOMLNKKHMFFBE57DA,43,110.16,,鋼筋混凝土造,63年2月18日,三層,一層 二層 三層 騎樓
RPOOMLSKJHMFFEE28DA,43,70.88,,加強磚造,63年2月7日,二層,一層 二層
RPWNMLPLJHMFFLE76CA,43,48.51,住家用,加強磚造,62年6月10日,一層,一層
RPRNMLSJKHMFFLE09CA,23,112.15,住家用,鋼筋混凝土造,83年2月5日,十四層,三層
RPRNMLSJKHMFFLE09CA,23,14.81,共有部份,鋼筋混凝土造,83年2月5日,十四層,
RPRNMLTKJHMFFAE18DA,28,75.11,住家用,鋼筋混凝土造,78年3月31日,五層,五層
RPTNMLKLJHMFFAE57DA,22,111.79,住家用,鋼筋混凝土造,83年10月15日,十六層,九層 電梯樓梯間
RPTNMLKLJHMFFAE57DA,22,26.29,見使用執照,鋼筋混凝土造,83年10月15日,十六層,
RPTNMLNLJHMFFBE97DA,28,110.15,,鋼筋混凝土造,78年1月14日,十七層,四層
RPTNMLNLJHMFFBE97DA,28,26.39,,鋼筋混凝土造,78年1月14日,十七層,
RPTOMLRKJHMFFJE09CA,18,20.18,見其他登記事項,鋼筋混凝土造,88年2月24日,七層,三層
RPTOMLRKJHMFFJE09CA,18,10.42,見其他登記事項,鋼筋混凝土造,88年2月24日,七層,
RPPPMLOLJHMFFJE58CA,,373.27,住家用,鋼筋混凝土造,105年6月23日,四層,一層 二層 三層 四層
RPSNMLQKJHMFFLE98CA,38,69.48,住家用,加強磚造,68年4月1日,二層,一層 二層
RPSOMLQKJHMFFLE09CA,33,81.12,住家用,加強磚造,73年5月20日,二層,一層 二層
RPPOMLRKJHMFFLE88CA,21,183.99,見使用執照,鋼筋混凝土造,84年10月30日,四層,一層 二層 三層 四層 屋頂突出物
RPWNMLSKJHMFFLE96CA,27,261.55,住商用,鋼筋混凝土造,78年7月10日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPXNMLSKJHMFFLE07CA,27,258.52,住商用,鋼筋混凝土造,78年7月10日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPQNMLRKJHMFFFE28CA,3,345.29,住家用,鋼筋混凝土造,103年6月25日,四層,一層 二層 三層 四層 屋頂突出物
RPTNMLRKJHMFFFE58CA,23,79.50,住家用,鋼筋混凝土造,82年8月25日,六層,六層
RPTNMLRKJHMFFFE58CA,23,29.11,見其他登記事項,鋼筋混凝土造,82年8月25日,六層,
RPVNMLRKJHMFFFE78CA,1,233.43,住家用,鋼筋混凝土造,105年4月20日,三層,一層 二層 三層 屋頂突出物
RPUNMLQLJHMFFFE68CA,21,118.63,住家用,鋼筋混凝土造,85年4月25日,十三層,三層
RPUNMLQLJHMFFFE68CA,21,33.56,見其他登記事項,鋼筋混凝土造,85年4月25日,十三層,
RPWNMLQJKHMFFFE78CA,19,158.00,工業用,見其他登記事項,86年7月11日,一層,一層
RPXNMLRKJHMFFGE09CA,37,62.62,住家用,鋼筋混凝土造,68年10月18日,五層,三層
RPQOMLRKJHMFFGE48CA,21,351.61,住家用,鋼筋混凝土造,84年8月10日,二層,一層 二層
RPQPMLRKJHMFFGE58CA,32,86.39,住家用,鋼筋混凝土造,74年2月25日,五層,二層
RPQPMLRKJHMFFGE58CA,32,5.68,共有部份,鋼筋混凝土造,74年2月25日,五層,
RPVNMLTKJHMFFGE09CA,40,116.66,住商用,鋼筋混凝土造,66年1月24日,三層,一層 二層 三層 騎樓
RPROMLTKJHMFFGE78CA,11,84.56,見其他登記事項,見其他登記事項,94年6月30日,十四層,六層
RPROMLTKJHMFFGE78CA,11,57.68,見其他登記事項,見其他登記事項,94年6月30日,十四層,
RPVOMLKLJHMFFGE38CA,35,74.43,住家用,鋼筋混凝土造,70年11月10日,五層,四層
RPXOMLKLJHMFFGE58CA,19,84.92,住家用,鋼筋混凝土造,86年8月25日,二十四層,十二層
RPXOMLKLJHMFFGE58CA,19,25.69,共有部份,鋼筋混凝土造,86年8月25日,二十四層,
RPOPMLKLJHMFFGE77CA,23,104.86,住家用,鋼筋混凝土造,83年1月12日,十五層,十層
RPOPMLKLJHMFFGE77CA,23,14.08,住家用,鋼筋混凝土造,83年1月12日,十五層,地下層
RPOPMLKLJHMFFGE77CA,23,.01,共有部份,鋼筋混凝土造,83年1月12日,十五層,
RPOPMLKLJHMFFGE77CA,23,28.47,共有部份,鋼筋混凝土造,83年1月12日,十五層,
RPPPMLKLJHMFFGE87CA,33,66.71,住家用,鋼筋混凝土造,72年8月12日,五層,三層
RPWNMLNLJHMFFGE68CA,1,90.26,見其他登記事項,見其他登記事項,104年9月17日,十四層,三層
