編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLQKJHMFFBE68CC,20,135.64,商業用,鋼造,86年2月12日,二十七層,
RPXNMLQKJHMFFBE68CC,20,89.74,見使用執照,鋼造,86年2月12日,二十七層,
RPROMLQKJHMFFBE18CC,29,134.47,,鋼筋混凝土造,77年2月9日,十八層,
RPROMLQKJHMFFBE18CC,29,39.54,,鋼筋混凝土造,77年2月9日,十八層,
RPUOMLQKJHMFFBE48CC,40,49.70,,鋼筋混凝土造,66年7月8日,八層,
RPVNMLQKJHMFFDE68CC,10,272.92,見其它登記事項,鋼筋混凝土造,96年6月26日,二十四層,
RPSNMLQKJHMFFAE08CC,7,70.45,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,70.45,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,67.63,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,67.63,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,68.02,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,17.98,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,41.83,住商用,鋼筋混凝土造,98年7月16日,五層,
RPSNMLQKJHMFFAE08CC,7,2.43,住商用,鋼筋混凝土造,98年7月16日,五層,
RPVNMLQKJHMFFAE38CC,4,124.02,住商用,鋼筋混凝土造,102年3月13日,二十三層,
RPWOMLQKJHMFFEE98CC,37,79.02,,鋼筋混凝土造,68年12月6日,四層,
RPXOMLQKJHMFFEE09CC,26,533.63,住商用,鋼筋混凝土造,79年7月20日,五層,
RPQPMLQKJHMFFEE48CC,27,74.08,見其它登記事項,鋼筋混凝土造,79年3月26日,十九層,
RPPNMLQKJHMFFGE38CC,5,185.86,見其他登記事項,鋼筋混凝土造,100年12月15日,四層,
RPQNMLQKJHMFFGE48CC,27,170.08,住商用,鋼筋混凝土造,78年11月15日,七層,
RPWNMLQKJHMFFGE09CC,24,81.98,住商用,鋼筋混凝土造,81年11月10日,十三層,
RPWNMLQKJHMFFGE09CC,24,77.30,住商用,鋼筋混凝土造,81年11月10日,十三層,
RPUOMLQKJHMFFGE98CC,,54.08,見其他登記事項,見其他登記事項,105年11月1日,十五層,
RPTOMLQKJHMFFBE48DC,37,114.91,,鋼筋混凝土造,68年11月14日,五層,
RPRNMLQKJHMFFEE48DC,25,139.88,住家用,鋼筋混凝土造,81年5月18日,六層,
RPWOMLRKJHMFFIE86CC,9,133.61,見其他登記事項,鋼筋混凝土造,97年1月15日,十五層,
RPWOMLRKJHMFFIE86CC,9,24.53,見其他登記事項,鋼筋混凝土造,97年1月15日,十五層,
RPWOMLRKJHMFFIE86CC,9,93.95,共有部份,鋼筋混凝土造,97年1月15日,二十三層,
RPVNMLRKJHMFFGE09CC,30,222.95,見使用執照,鋼筋混凝土造,76年1月7日,四層,
RPQOMLRKJHMFFEE48CC,17,965.84,見使用執照,見使用執照,88年8月31日,二層,
RPQOMLRKJHMFFEE48CC,17,872.28,見使用執照,見使用執照,88年8月31日,二層,
RPQOMLRKJHMFFAE08CC,5,157.59,住家用,鋼筋混凝土造,101年4月19日,二十八層,
RPQOMLRKJHMFFAE08CC,5,19.00,住家用,鋼筋混凝土造,101年4月19日,二十八層,
RPQOMLRKJHMFFAE08CC,5,150.96,見其它登記事項,鋼筋混凝土造,101年4月19日,二十八層,
RPSOMLRKJHMFFDE58CC,4,75.79,住家用,鋼筋混凝土造,101年9月27日,十五層,
RPSOMLRKJHMFFDE58CC,4,10.26,住家用,鋼筋混凝土造,101年9月27日,十五層,
RPSOMLRKJHMFFDE58CC,4,63.52,共有部分,鋼筋混凝土造,101年9月27日,十五層,
RPQPMLRKJHMFFDE48CC,33,509.77,,鋼筋混凝土造,72年12月19日,二層,
RPSPMLRKJHMFFDE68CC,52,99.06,住家用,加強磚造,54年6月1日,二層,
RPUOMLRKJHMFFCE68CC,6,169.93,住家用,見其它登記事項,100年6月22日,二十七層,
RPUOMLRKJHMFFCE68CC,6,20.15,住家用,見其它登記事項,100年6月22日,二十七層,
RPUOMLRKJHMFFCE68CC,6,129.14,見其它登記事項,見其它登記事項,100年6月22日,二十七層,
RPROMLRKJHMFFBE28CC,27,32.12,,鋼筋混凝土造,79年7月13日,七層,
RPROMLRKJHMFFBE28CC,27,10.31,,鋼筋混凝土造,79年7月13日,七層,
RPSOMLRKJHMFFBE38CC,10,130.14,住家用,鋼骨鋼筋混凝土造,95年7月28日,十五層,
RPSOMLRKJHMFFBE38CC,10,25.59,住家用,鋼骨鋼筋混凝土造,95年7月28日,十五層,
RPSOMLRKJHMFFBE38CC,10,85.63,見其他登記事項,鋼骨鋼筋混凝土造,95年7月28日,十五層,
RPPNMLSKJHMFFBE08CC,10,81.27,住家用,鋼筋混凝土造,96年3月14日,二十八層,
RPPNMLSKJHMFFBE08CC,10,12.23,住家用,鋼筋混凝土造,96年3月14日,二十八層,
RPPNMLSKJHMFFBE08CC,10,52.03,共有部分,鋼筋混凝土造,96年3月14日,三十層,
RPRNMLSKJHMFFBE28CC,5,128.26,住家用,鋼筋混凝土造,101年7月5日,二十九層,
RPRNMLSKJHMFFBE28CC,5,38.04,住家用,鋼筋混凝土造,101年7月5日,二十九層,
RPRNMLSKJHMFFBE28CC,5,85.75,見其他登記事項,鋼筋混凝土造,101年7月5日,二十九層,
RPSNMLSKJHMFFBE38CC,14,97.56,住家用,鋼筋混凝土造,91年7月17日,十四層,
RPSNMLSKJHMFFBE38CC,14,14.74,住家用,鋼筋混凝土造,91年7月17日,十四層,
RPSNMLSKJHMFFBE38CC,14,63.21,見其他登記事項,鋼筋混凝土造,91年7月17日,十四層,
RPXNMLSKJHMFFBE88CC,20,147.13,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPOOMLSKJHMFFBE08CC,20,167.16,住商用,鋼筋混凝土造,86年4月21日,三十五層,
RPTOMLSKJHMFFBE58CC,32,102.59,,鋼筋混凝土造,73年9月19日,十二層,
RPTOMLSKJHMFFBE58CC,32,18.08,,鋼筋混凝土造,73年9月19日,十二層,
RPUOMLSKJHMFFBE68CC,51,400.38,,加強磚造,55年1月15日,三層,
RPVOMLSKJHMFFBE78CC,29,141.04,,鋼筋混凝土造,77年3月31日,七層,
RPTNMLSKJHMFFCE58CC,3,183.23,住家用,鋼筋混凝土造,103年7月15日,二十九層,
RPTNMLSKJHMFFCE58CC,3,23.60,住家用,鋼筋混凝土造,103年7月15日,二十九層,
RPTNMLSKJHMFFCE58CC,3,83.94,見其它登記事項,鋼筋混凝土造,103年7月15日,二十九層,
RPXNMLSKJHMFFCE98CC,33,82.91,,鋼筋混凝土造,72年11月4日,五層,
RPWQMLSKJHMFFCE56CC,18,168.94,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPWQMLSKJHMFFCE56CC,18,76.22,共有部份,鋼筋混凝土造,87年7月14日,二十八層,
RPRNMLSKJHMFFDE48CC,3,86.23,住家用,鋼筋混凝土造,102年10月3日,十五層,
RPRNMLSKJHMFFDE48CC,3,14.01,住家用,鋼筋混凝土造,102年10月3日,十五層,
RPRNMLSKJHMFFDE48CC,3,74.91,共有部分,鋼筋混凝土造,102年10月3日,十五層,
RPUNMLSKJHMFFDE78CC,12,217.30,住商用,鋼筋混凝土造,94年6月1日,十二層,
RPOOMLSKJHMFFDE28CC,32,259.21,,鋼筋混凝土造,73年12月19日,四層,
RPOOMLSKJHMFFDE28CC,32,259.21,,鋼筋混凝土造,73年12月19日,四層,
RPQOMLSKJHMFFDE48CC,31,86.30,,鋼筋混凝土造,74年7月22日,四層,
RPPNMLSKJHMFFAE97CC,3,155.62,住家用,見其它登記事項,103年5月8日,二十一層,
RPPNMLSKJHMFFAE97CC,3,30.07,住家用,見其它登記事項,103年5月8日,二十一層,
RPPNMLSKJHMFFAE97CC,3,144.66,見其它登記事項,見其它登記事項,103年5月8日,二十一層,
RPRNMLSKJHMFFAE18CC,3,121.10,住家用,見其它登記事項,103年5月8日,二十一層,
RPRNMLSKJHMFFAE18CC,3,21.47,住家用,見其它登記事項,103年5月8日,二十一層,
RPRNMLSKJHMFFAE18CC,3,99.80,見其它登記事項,見其它登記事項,103年5月8日,二十一層,
RPVNMLSKJHMFFAE58CC,10,121.23,住家用,鋼筋混凝土造,96年4月2日,十五層,
RPVNMLSKJHMFFAE58CC,10,62.96,見其它登記事項,鋼筋混凝土造,96年4月2日,十五層,
RPQNMLSKJHMFFEE48CC,3,42.90,住家用,鋼筋混凝土造,102年8月8日,十五層,
RPQNMLSKJHMFFEE48CC,3,10.37,住家用,鋼筋混凝土造,102年8月8日,十五層,
RPQNMLSKJHMFFEE48CC,3,28.83,見其它登記事項,鋼筋混凝土造,102年8月8日,十五層,
RPRNMLSKJHMFFEE58CC,3,70.99,住家用,鋼筋混凝土造,102年11月11日,十五層,
RPRNMLSKJHMFFEE58CC,3,12.14,住家用,鋼筋混凝土造,102年11月11日,十五層,
RPRNMLSKJHMFFEE58CC,3,60.87,見其它登記事項,鋼筋混凝土造,102年11月11日,十五層,
RPWOMLSKJHMFFEE56CC,26,42.43,住商用,鋼筋混凝土造,80年7月3日,十四層,
RPWOMLSKJHMFFEE56CC,26,42.43,住商用,鋼筋混凝土造,80年7月3日,十四層,
RPRPMLSKJHMFFGE98CC,6,391.97,見其他登記事項,見其他登記事項,100年5月10日,五層,
RPTPMLSKJHMFFGE56CC,16,53.62,見其他登記事項,鋼筋混凝土造,90年6月22日,十二層,
RPTPMLSKJHMFFGE56CC,16,17.89,見其他登記事項,鋼筋混凝土造,90年6月22日,十二層,
RPUNMLTKJHMFFGE56CC,20,46.49,住家用,鋼筋混凝土造,86年6月7日,二十三層,
RPOPMLTKJHMFFAE18CC,23,131.05,商業用,鋼筋混凝土造,83年4月22日,十三層,
RPOPMLTKJHMFFAE18CC,23,62.44,見使用執照,鋼筋混凝土造,83年4月22日,十三層,
RPRNMLTKJHMFFDE58CC,3,117.98,見其它登記事項,見其它登記事項,102年12月1日,一層,
RPPOMLTKJHMFFCE38CC,9,157.76,住家用,鋼筋混凝土造,97年3月7日,二十九層,
RPPOMLTKJHMFFCE38CC,9,22.36,住家用,鋼筋混凝土造,97年3月7日,二十九層,
RPPOMLTKJHMFFCE38CC,9,91.11,共有部份,鋼筋混凝土造,97年3月7日,二十九層,
RPWOMLTKJHMFFCE09CC,28,230.28,住商用,鋼筋混凝土造,77年9月30日,三層,
RPUOMLTKJHMFFBE78CC,20,142.51,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPXOMLTKJHMFFBE09CC,36,75.17,,鋼筋混凝土造,69年12月20日,五層,
RPOPMLTKJHMFFBE28CC,40,75.88,,鋼筋混凝土造,66年3月19日,十一層,
RPOPMLTKJHMFFBE28CC,40,15.24,見其他登記事項,鋼筋混凝土造,66年3月19日,十一層,
RPPPMLTKJHMFFBE38CC,51,79.84,住家用,加強磚造,55年5月28日,二層,
RPQPMLTKJHMFFBE48CC,40,154.20,,鋼筋混凝土造,66年3月28日,三層,
RPUNMLKLJHMFFBE87CC,41,100.48,,鋼筋混凝土造,64年7月21日,四層,
RPSPMLKLJHMFFDE08CC,38,62.69,,鋼筋混凝土造,68年4月16日,五層,
RPSPMLKLJHMFFDE08CC,38,53.51,,鋼筋混凝土造,68年4月16日,五層,
RPUOMLKLJHMFFEE28CC,2,112.59,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPSNMLKLJHMFFGE18CC,26,123.00,見使用執照,鋼筋混凝土造,80年2月20日,七層,
RPWNMLKLJHMFFGE58CC,21,154.56,住商用,鋼筋混凝土造,85年1月10日,十六層,
RPPNMLLLJHMFFAE37CC,11,192.21,住商用,鋼筋混凝土造,95年3月31日,五層,
RPOOMLNLJHMFFAE57CC,27,375.26,商業用,鋼筋混凝土造,78年12月22日,十二層,
RPOOMLNLJHMFFAE57CC,27,138.30,住商用,鋼筋混凝土造,78年12月22日,十二層,
RPTOMLNLJHMFFEE48CC,38,38.22,,鋼筋混凝土造,68年2月20日,三層,
RPXNMLNLJHMFFGE98CC,7,327.00,見其他登記事項,鋼筋混凝土造,99年1月20日,四層,
RPXOMLNLJHMFFLE07DC,45,26.44,住家用,加強磚造,61年2月10日,二層,
RPORMLNLJHMFFDE18CC,23,54.14,住商用,鋼筋混凝土造,83年2月8日,十三層,
RPORMLNLJHMFFDE18CC,23,22.08,見使用執照,鋼筋混凝土造,83年2月8日,十三層,
RPSOMLNLJHMFFBE08CC,49,214.50,住商用,加強磚造,56年12月27日,三層,
RPWOMLNLJHMFFBE48CC,35,120.28,,鋼筋混凝土造,70年8月15日,十二層,
RPRNMLOLJHMFFBE97CC,2,24.55,住家用,鋼筋混凝土造,104年2月24日,七層,
RPUNMLOLJHMFFBE28CC,33,57.18,,鋼筋混凝土造,72年10月29日,二十三層,
RPROMLOLJHMFFBE08CC,7,138.86,住家用,鋼筋混凝土造,98年10月5日,十五層,
RPROMLOLJHMFFBE08CC,,63.93,見其他登記事項,鋼筋混凝土造,,十五層,
RPUOMLOLJHMFFBE38CC,9,142.49,住家用,鋼筋混凝土造,96年8月13日,十五層,
RPUOMLOLJHMFFBE38CC,9,67.27,,鋼筋混凝土造,96年8月13日,十五層,
RPPPMLOLJHMFFBE97CC,2,85.92,住家用,鋼筋混凝土造,103年10月31日,二十四層,
RPPPMLOLJHMFFBE97CC,2,57.07,共有部分,鋼筋混凝土造,103年10月31日,二十四層,
RPUOMLOLJHMFFDE58CC,20,34.45,住家用,鋼筋混凝土造,85年7月29日,十六層,
RPXOMLOLJHMFFDE88CC,49,88.53,住商用,加強磚造,56年10月9日,二層,
RPSNMLOLJHMFFCE18CC,10,107.90,住家用,見其它登記事項,95年11月21日,十五層,
RPSNMLOLJHMFFCE18CC,10,12.55,住家用,見其它登記事項,95年11月21日,十五層,
RPSNMLOLJHMFFCE18CC,10,2.46,住家用,見其它登記事項,95年11月21日,十五層,
RPSNMLOLJHMFFCE18CC,10,66.55,共有部份,見其它登記事項,95年11月21日,十五層,
RPROMLOLJHMFFCE18CC,18,139.06,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLOLJHMFFCE18CC,18,3.65,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLOLJHMFFCE18CC,18,81.06,共有部份,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLOLJHMFFCE18CC,18,151.75,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLOLJHMFFCE18CC,18,13.08,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLOLJHMFFCE18CC,18,4.11,商業用,鋼筋混凝土造,87年7月14日,二十八層,
RPROMLOLJHMFFCE18CC,18,90.91,共有部份,鋼筋混凝土造,87年7月14日,二十八層,
RPSOMLOLJHMFFCE28CC,18,27.14,住家用,見其它登記事項,88年2月9日,三十九層,
RPSOMLOLJHMFFCE28CC,18,4.75,住家用,見其它登記事項,88年2月9日,三十九層,
RPSOMLOLJHMFFCE28CC,18,15.58,共有部份,見其它登記事項,88年2月9日,三十九層,
RPUOMLOLJHMFFCE48CC,6,50.04,住家用,鋼筋混凝土造,100年1月25日,十五層,
RPUOMLOLJHMFFCE48CC,6,26.92,見其它登記事項,鋼筋混凝土造,100年1月25日,十五層,
RPVOMLOLJHMFFCE58CC,7,63.08,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPVOMLOLJHMFFCE58CC,7,39.22,見其它登記事項,鋼筋混凝土造,98年12月24日,十九層,
RPXOMLOLJHMFFCE78CC,11,85.46,住家用,鋼筋混凝土造,95年3月14日,十四層,
RPXOMLOLJHMFFCE78CC,11,37.18,共有部份,鋼筋混凝土造,95年3月14日,十四層,
RPPPMLOLJHMFFCE08CC,18,31.89,住家用,見其它登記事項,88年2月9日,三十九層,
RPPPMLOLJHMFFCE08CC,18,15.58,共有部份,見其它登記事項,88年2月9日,三十九層,
RPQPMLOLJHMFFCE18CC,11,128.94,住家用,鋼筋混凝土造,94年12月28日,十五層,
RPQPMLOLJHMFFCE18CC,10,58.58,共有部份,鋼筋混凝土造,96年5月9日,二十七層,
RPSPMLOLJHMFFCE38CC,18,28.26,住家用,見其它登記事項,88年2月9日,三十九層,
RPSPMLOLJHMFFCE38CC,18,12.98,共有部份,見其它登記事項,88年2月9日,三十九層,
RPWNMLOLJHMFFFE88CC,23,203.76,工業用,鋼造,83年3月17日,二層,
RPWNMLOLJHMFFFE88CC,23,212.25,工業用,鋼造,83年3月17日,二層,
RPQOMLOLJHMFFGE48CC,37,133.98,住商用,鋼筋混凝土造,69年1月9日,三層,
RPOQMLOLJHMFFEE28CC,,53.05,見其它登記事項,見其它登記事項,105年8月19日,十五層,
RPOQMLOLJHMFFEE28CC,,5.13,見其它登記事項,見其它登記事項,105年8月19日,十五層,
RPOQMLOLJHMFFEE28CC,,31.05,見其它登記事項,見其它登記事項,105年8月19日,十五層,
RPUNMLOLJHMFFAE18CC,27,375.26,商業用,鋼筋混凝土造,78年12月22日,十二層,
RPUNMLOLJHMFFAE18CC,27,138.30,住商用,鋼筋混凝土造,78年12月22日,十二層,
RPVNMLPLJHMFFAE38CC,27,223.44,商業用,鋼筋混凝土造,79年1月22日,十四層,
RPVNMLPLJHMFFAE38CC,27,55.58,見使用執照,鋼筋混凝土造,79年1月22日,十四層,
RPQOMLPLJHMFFAE97CC,10,85.79,住家用,鋼筋混凝土造,95年11月1日,十五層,
RPPQMLPLJHMFFEE48CC,13,207.76,住商用,見使用執照,93年6月17日,四層,
RPVNMLPLJHMFFBE58DC,35,112.37,,鋼筋混凝土造,70年12月22日,七層,
RPVNMLPLJHMFFBE58DC,35,112.37,,鋼筋混凝土造,70年12月22日,七層,
RPWOMLPLJHMFFCE78CC,1,71.33,見其它登記事項,鋼筋混凝土造,104年12月16日,十三層,
RPPQMLPLJHMFFCE28CC,33,79.00,,鋼筋混凝土造,73年4月27日,五層,
RPUNMLPLJHMFFDE58CC,23,361.78,住商用,鋼筋混凝土造,82年8月13日,七層,
RPVQMLPLJHMFFDE98CC,18,39.78,商業用,鋼骨鋼筋混凝土造,87年9月29日,二十五層,
RPTNMLPLJHMFFBE28CC,25,177.97,商業用,鋼筋混凝土造,80年7月22日,十二層,
RPTNMLPLJHMFFBE28CC,25,67.99,見使用執照,鋼筋混凝土造,80年7月22日,十二層,
RPWNMLPLJHMFFBE58CC,24,152.89,商業用,鋼骨鋼筋混凝土造,81年7月25日,四十二層,
RPWNMLPLJHMFFBE58CC,24,70.20,見使用執照,鋼骨鋼筋混凝土造,81年7月25日,四十二層,
RPXNMLPLJHMFFBE68CC,26,164.14,,鋼筋混凝土造,79年8月18日,十一層,
RPXNMLPLJHMFFBE68CC,26,37.56,,鋼筋混凝土造,79年8月18日,十一層,
RPOPMLPLJHMFFBE97CC,25,138.91,商業用,鋼筋混凝土造,80年11月4日,十八層,
RPSNMLQLJHMFFBE28CC,20,73.27,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPSNMLQLJHMFFBE28CC,20,27.97,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPVNMLQLJHMFFBE58CC,20,296.59,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPTNMLQLJHMFFDE58CC,44,170.88,,加強磚造,62年4月7日,三層,
RPUNMLQLJHMFFJE66CC,34,189.21,住商用,鋼筋混凝土造,72年5月23日,三層,
RPWNMLQLJHMFFJE86CC,24,173.36,住商用,鋼筋混凝土造,81年12月4日,四層,
RPROMLQLJHMFFJE09CC,21,104.32,見其他登記事項,鋼筋混凝土造,85年7月8日,七層,
RPTOMLQLJHMFFEE78CC,18,61.00,住商用,鋼筋混凝土造,87年7月6日,十四層,
RPTOMLQLJHMFFEE78CC,18,26.29,見使用執照,鋼筋混凝土造,87年7月6日,十四層,
