編號,車位類別,車位價格,車位面積平方公尺
RPWOMLRKJHMFFIE86CC,坡道平面,0,27.72
RPUOMLRKJHMFFCE68CC,坡道平面,0,30.79
RPSOMLRKJHMFFBE38CC,坡道平面,0,18.87
RPPNMLSKJHMFFBE08CC,坡道平面,0,16.58
RPRNMLSKJHMFFBE28CC,坡道平面,0,16.55
RPSNMLSKJHMFFBE38CC,坡道平面,0,15.17
RPTNMLSKJHMFFCE58CC,坡道平面,0,41.03
RPRNMLSKJHMFFDE48CC,坡道平面,0,22.12
RPUNMLSKJHMFFDE78CC,坡道平面,0,
RPPNMLSKJHMFFAE97CC,坡道平面,0,22.97
RPPNMLSKJHMFFAE97CC,坡道平面,0,26.54
RPRNMLSKJHMFFAE18CC,坡道平面,0,26.54
RPVNMLSKJHMFFAE58CC,坡道機械,0,8.15
RPRNMLSKJHMFFEE58CC,坡道平面,0,18.64
RPPOMLTKJHMFFCE38CC,坡道平面,0,24.24
RPUOMLKLJHMFFEE28CC,坡道平面,0,19.65
RPWNMLOLJHMFFBE48CC,坡道平面,1800,13.32
RPPPMLOLJHMFFBE97CC,升降機械,0,
RPVOMLOLJHMFFCE58CC,升降機械,0,
RPVNMLPLJHMFFAE38CC,坡道平面,0,
RPSNMLQLJHMFFBE28CC,坡道平面,0,12.65
RPUNMLQLJHMFFBE48CC,坡道平面,1700,12.66
