編號,車位類別,車位價格,車位面積平方公尺
RPPNMLSKJHMFFCF28EA,坡道平面,0,29.08
RPQOMLLJLHMFFHF38EA,坡道平面,1950000,38.74
RPPNMLTJLHMFFAF28EA,坡道平面,2100000,36.97
RPQNMLQJLHMFFAF08EA,坡道平面,1800000,28.12
RPROMLOKKILFFCF08CA,坡道平面,0,29.10
RPQNMLPKKILFFCF97CA,坡道機械,0,26.50
RPTNMLTKKILFFCF68CA,升降機械,1500000,12.65
RPVQMLQLKILFFCF98CA,坡道平面,1720000,35.19
RPWQMLQLKILFFCF09CA,坡道平面,1800000,35.19
RPXQMLQLKILFFCF56CA,坡道平面,1800000,35.19
RPPRMLQLKILFFCF48CA,坡道平面,1800000,35.19
RPQRMLQLKILFFCF58CA,坡道平面,2000000,35.19
RPRRMLQLKILFFCF68CA,坡道平面,1900000,35.19
RPRRMLQLKILFFCF68CA,坡道平面,1950000,35.19
RPSRMLQLKILFFCF78CA,坡道平面,1800000,35.19
RPTRMLQLKILFFCF88CA,坡道平面,2000000,35.19
SPTRMLQLKILFFCF98CA,坡道平面,2000000,35.19
RPURMLQLKILFFCF98CA,坡道平面,1800000,35.19
RPVRMLQLKILFFCF09CA,坡道平面,1900000,35.19
RPWRMLQLKILFFCF56CA,坡道平面,1900000,35.19
SPWRMLQLKILFFCF66CA,坡道平面,1900000,35.19
RPXRMLQLKILFFCF66CA,坡道平面,1750000,35.19
RPOSMLQLKILFFCF48CA,坡道平面,1900000,35.19
RPPSMLQLKILFFCF58CA,坡道平面,1900000,35.19
RPQSMLQLKILFFCF68CA,坡道平面,1800000,35.19
RPRSMLQLKILFFCF78CA,坡道平面,1800000,35.19
RPSSMLQLKILFFCF88CA,坡道平面,1900000,35.19
RPTSMLQLKILFFCF98CA,坡道平面,1770000,35.19
RPTSMLQLKILFFCF98CA,坡道平面,1770000,35.19
RPUSMLQLKILFFCF09CA,坡道平面,2000000,35.19
RPUSMLQLKILFFCF09CA,坡道平面,2000000,35.19
RPVSMLQLKILFFCF56CA,坡道平面,2100000,35.19
RPWSMLQLKILFFCF66CA,坡道平面,1850000,35.19
RPWSMLQLKILFFCF66CA,坡道平面,1850000,35.19
RPXSMLQLKILFFCF76CA,坡道平面,2100000,35.19
RPOTMLQLKILFFCF58CA,坡道平面,1900000,35.19
RPOTMLQLKILFFCF58CA,坡道平面,1900000,35.19
RPPTMLQLKILFFCF68CA,坡道平面,1800000,35.19
RPRNMLLLKILFFCF77CA,坡道平面,0,26.88
RPXNMLNJLHMFFCF48CA,坡道平面,1700000,34.59
RPPOMLNJLHMFFCF77CA,坡道平面,2200000,34.59
RPPOMLNJLHMFFCF77CA,坡道平面,2200000,34.59
RPQOMLNJLHMFFCF87CA,坡道平面,2200000,34.59
RPQOMLNJLHMFFCF87CA,坡道平面,2200000,34.59
RPROMLNJLHMFFCF97CA,坡道平面,1900000,34.59
RPROMLNJLHMFFCF97CA,坡道平面,1750000,34.59
RPTOMLNJLHMFFCF18CA,坡道平面,1800000,34.59
RPTOMLNJLHMFFCF18CA,坡道平面,1700000,34.59
RPPNMLTJKILFFCF48CD,坡道平面,1900000,29.77
RPQNMLTJKILFFCF58CD,坡道平面,1800000,29.77
RPVNMLRJLHMFFCF88EA,坡道平面,800000,46.93
RPWNMLRJLHMFFCF98EA,坡道平面,1978360,34.18
RPOOMLPKKILFFCF97DA,坡道平面,0,40.93
RPSOMLLLKILFFCF08DA,坡道平面,1600000,29.87
RPPPMLNLKILFFCF08DA,坡道平面,2200000,25.49
RPWOMLOLKILFFCF78DA,坡道平面,1000000,40.28
RPPNMLNLKILFFCF77CA,坡道平面,2300000,23.73
RPQOMLPJJHMFFCF87CA,坡道平面,2000000,52.45
RPQOMLPJJHMFFCF87CA,坡道平面,2000000,52.45
RPVPMLTLKILFFBF09CA,坡道平面,0,
RPWOMLOJJHMFFBF28CA,坡道機械,0,
RPSOMLTJLHMFFBF58CA,坡道平面,1900000,23.64
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPUOMLKKJHMFFGF28CA,坡道平面,0,32.09
RPWOMLKKJHMFFGF48CA,坡道平面,0,32.09
