鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
汐止區,房地(土地+建物)+車位,大同段301~330地號,8.92,住,,,1050618,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.23,1,1,1,有,無,8280000,108619,坡道平面,19.8,0,,RPXNMLRKJHMFFDF98CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,8.97,住,,,1050823,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.84,1,1,1,有,無,9550000,119614,坡道平面,23.03,0,,RPOOMLRKJHMFFDF18CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,18.75,住,,,1050826,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.23,3,2,2,有,無,16480000,111179,坡道平面,23.03,0,,RPSOMLRKJHMFFDF58CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,18.75,住,,,1050630,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.0,3,2,2,有,無,15950000,110000,坡道平面,19.8,0,,RPWOMLRKJHMFFDF98CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,18.75,住,,,1050605,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.23,3,2,2,有,無,15880000,107131,坡道平面,23.03,0,,RPOPMLRKJHMFFDF28CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,18.75,住,,,1050831,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.23,3,2,2,有,無,17300000,116711,坡道平面,23.03,0,,RPQPMLRKJHMFFDF48CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,8.97,住,,,1050819,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.84,1,1,1,有,無,8880000,111222,坡道平面,23.03,0,,RPRPMLRKJHMFFDF58CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,8.97,住,,,1050814,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.84,1,1,1,有,無,8880000,111222,坡道平面,23.03,0,,RPUPMLRKJHMFFDF88CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,8.97,住,,,1050807,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.84,1,1,1,有,無,8880000,111222,坡道平面,23.03,0,,RPWPMLRKJHMFFDF09CB
汐止區,房地(土地+建物)+車位,大同段301~330地號,8.97,住,,,1050521,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.84,1,1,1,有,無,8350000,104584,坡道平面,23.03,0,,RPXPMLRKJHMFFDF56CB
