編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVUMLOKKILFFBF56CC,24,510.92,工業用,鋼造,81年10月15日,一層,
RPTNMLTKKILFFIF86CC,3,728.65,見其他登記事項,鋼筋混凝土造,103年1月21日,四層,
RPTNMLTKKILFFIF86CC,3,749.45,見其他登記事項,鋼筋混凝土造,103年1月21日,四層,
RPWNMLKLKILFFBF28CC,5,176.29,見其他登記事項,鋼筋混凝土造,100年9月15日,二層,
RPWNMLKLKILFFBF28CC,5,75.31,見其他登記事項,鋼筋混凝土造,100年9月15日,十九層,
RPUQMLLLKILFFGF98CC,33,219.09,見其他登記事項,鋼筋混凝土造,73年1月31日,三層,
RPUNMLRLKILFFIF86CC,3,1366.40,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPRNMLSLKILFFBF68DC,21,227.80,住商用,鋼筋混凝土造,84年7月19日,四層,
RPRNMLSLKILFFBF68DC,21,85.70,共有部份,鋼筋混凝土造,84年7月19日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPSQMLNJJHMFFBF18CC,10,1178.38,工業用,見其他登記事項,96年4月9日,二層,
RPVRMLTJJHMFFBF56CC,29,600.20,工業用,鋼造,77年5月4日,一層,
RPURMLKKJHMFFAF38EC,47,203.91,住家用,加強磚造,58年11月28日,三層,
RPRPMLMKJHMFFBF97CC,36,303.87,工業用,鋼筋混凝土造,69年10月14日,三層,
RPQPMLQKJHMFFBF28CC,25,1031.54,見其他登記事項,見其他登記事項,80年7月26日,一層,
RPQQMLQKJHMFFBF38CC,12,56.15,住家用,鋼筋混凝土造,94年1月24日,十層,
RPQQMLQKJHMFFBF38CC,12,13.47,共有部份,鋼筋混凝土造,94年1月24日,十層,
RPQQMLQKJHMFFBF38CC,12,41.26,共有部份,鋼筋混凝土造,94年1月24日,十層,
RPRNMLQKJHMFFAF08CC,19,26.46,見其他登記事項,鋼筋混凝土造,87年2月7日,十四層,
RPRNMLQKJHMFFAF08CC,19,85.85,住家用,鋼筋混凝土造,87年2月7日,十四層,
RPOOMLQKJHMFFCF08CC,34,81.19,住家用,鋼筋混凝土造,72年4月15日,五層,
RPPOMLQKJHMFFCF18CC,1,39.76,見其他登記事項,見其他登記事項,105年1月26日,七層,
RPPOMLQKJHMFFCF18CC,1,50.58,見其他登記事項,見其他登記事項,105年1月26日,七層,
RPSOMLQKJHMFFCF48CC,17,199.20,工業用,鋼筋混凝土造,88年10月4日,八層,
RPSOMLQKJHMFFCF48CC,17,33.85,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPSOMLQKJHMFFCF48CC,17,15.45,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPSOMLQKJHMFFCF48CC,17,70.38,共有部分,鋼筋混凝土造,88年10月4日,八層,
RPTOMLQKJHMFFCF58CC,1,39.76,見其他登記事項,見其他登記事項,105年1月26日,七層,
RPTOMLQKJHMFFCF58CC,1,50.58,見其他登記事項,見其他登記事項,105年1月26日,七層,
RPUOMLQKJHMFFCF68CC,28,268.28,見其他登記事項,鋼筋混凝土造,77年7月27日,五層,
RPUOMLQKJHMFFCF68CC,28,86.68,共有部分,鋼筋混凝土造,77年7月27日,五層,
RPVOMLQKJHMFFCF78CC,1,39.76,見其他登記事項,見其他登記事項,105年1月26日,七層,
RPVOMLQKJHMFFCF78CC,1,50.58,見其他登記事項,見其他登記事項,105年1月26日,七層,
RPWOMLQKJHMFFCF88CC,41,92.72,住家用,加強磚造,64年11月30日,四層,
RPPPMLQKJHMFFCF28CC,28,766.83,工業用,鋼筋混凝土造,78年5月13日,五層,
RPPPMLQKJHMFFCF28CC,28,149.98,共有部分,鋼筋混凝土造,78年5月13日,五層,
RPRQMLQKJHMFFGF98CC,29,128.25,見其他登記事項,加強磚造,76年6月11日,二層,
RPUNMLQKJHMFFDF68CC,20,117.50,住家用,鋼筋混凝土造,85年8月14日,二十六層,
RPPOMLQKJHMFFDF28CC,,257.00,住家用,加強磚造,,000,
RPWOMLQKJHMFFDF98CC,41,64.96,住家用,鋼筋混凝土造,65年4月19日,四層,
RPPUMLQKJHMFFEF98CC,9,84.18,住家用,鋼筋混凝土造,97年4月30日,十層,
RPPUMLQKJHMFFEF98CC,9,32.54,共有部份,鋼筋混凝土造,97年4月30日,十層,
RPSOMLQKJHMFFAF48EC,22,131.36,商業用,鋼筋混凝土造,84年1月17日,十二層,
RPSOMLQKJHMFFAF48EC,22,131.35,住家用,鋼筋混凝土造,84年1月17日,十二層,
RPTOMLQKJHMFFAF58EC,36,94.38,住商用,鋼筋混凝土造,69年11月3日,三層,
RPUOMLQKJHMFFAF68EC,32,74.59,見使用執照,鋼筋混凝土造,73年7月20日,五層,
RPXOMLQKJHMFFAF98EC,3,162.99,住家用,鋼骨鋼筋混凝土造,102年12月26日,十七層,
RPXOMLQKJHMFFAF98EC,3,74.65,共有部份,鋼骨鋼筋混凝土造,102年12月26日,十九層,
RPXNMLQKJHMFFIF86CC,25,102.51,住家用,鋼筋混凝土造,80年9月3日,五層,
RPTQMLQKJHMFFHF66CC,16,151.01,見其他登記事項,見其他登記事項,89年9月30日,十七層,
RPTQMLQKJHMFFHF66CC,16,66.38,共有部分,見其他登記事項,89年9月30日,十七層,
RPUQMLQKJHMFFHF76CC,16,151.01,見其他登記事項,見其他登記事項,89年9月30日,十七層,
RPUQMLQKJHMFFHF76CC,16,66.38,共有部分,見其他登記事項,89年9月30日,十七層,
RPOPMLRKJHMFFHF78CC,11,218.09,見其他登記事項,鋼骨鋼筋混凝土造,94年6月30日,十九層,
RPOPMLRKJHMFFHF78CC,11,77.09,共有部分,鋼骨鋼筋混凝土造,94年6月30日,十九層,
RPOPMLRKJHMFFHF78CC,11,34.87,共有部分,鋼骨鋼筋混凝土造,94年6月30日,十九層,
RPQPMLRKJHMFFHF98CC,18,270.26,工商用,鋼筋混凝土造,88年2月27日,十八層,
RPQPMLRKJHMFFHF98CC,18,155.94,工業用,鋼筋混凝土造,88年2月27日,十八層,
RPQPMLRKJHMFFHF98CC,18,39.41,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPQPMLRKJHMFFHF98CC,18,85.79,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPQPMLRKJHMFFHF98CC,18,22.81,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPQPMLRKJHMFFHF98CC,18,49.50,共有部分,鋼筋混凝土造,88年2月27日,十八層,
RPSPMLRKJHMFFHF56CC,7,156.25,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPSPMLRKJHMFFHF56CC,7,32.53,共有部分,見其他登記事項,98年10月15日,十八層,
RPSPMLRKJHMFFHF56CC,7,16.07,共有部分,見其他登記事項,98年10月15日,十八層,
RPSPMLRKJHMFFHF56CC,7,25.34,共有部分,見其他登記事項,98年10月15日,十八層,
RPUPMLRKJHMFFHF76CC,37,86.56,商業用,鋼筋混凝土造,68年12月21日,四層,
RPPOMLRKJHMFFIF88CC,8,112.07,住家用,鋼筋混凝土造,98年1月8日,十九層,
RPROMLRKJHMFFIF09CC,8,95.73,住家用,鋼筋混凝土造,97年10月30日,二十七層,
RPSOMLRKJHMFFIF56CC,22,129.68,住家用,鋼筋混凝土造,84年1月4日,五層,
RPUOMLRKJHMFFIF76CC,8,141.49,住家用,鋼筋混凝土造,97年11月26日,十四層,
RPVQMLRKJHMFFBF09DC,4,116.83,見其他登記事項,見其他登記事項,101年12月28日,二十八層,
RPVQMLRKJHMFFBF09DC,4,4.86,見其他登記事項,見其他登記事項,101年12月28日,二十八層,
RPVQMLRKJHMFFBF09DC,4,114.38,見其他登記事項,見其他登記事項,101年12月28日,二十八層,
RPRRMLRKJHMFFEF98CC,2,90.15,住家用,鋼筋混凝土造,103年8月7日,十四層,
RPRRMLRKJHMFFEF98CC,2,73.37,見其他登記事項,鋼筋混凝土造,103年8月7日,十四層,
RPPVMLRKJHMFFEF56CC,8,51.88,見其他登記事項,鋼筋混凝土造,97年12月23日,二十四層,
