編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLOLKHMFFAG97CA,,40.72,住家用,見其他登記事項,105年8月17日,三層,一層
RPQOMLOLKHMFFAG97CA,,7.08,見其他登記事項,見其他登記事項,105年8月17日,三層,
RPROMLOLKHMFFAG08CA,,44.11,住家用,見其他登記事項,105年8月17日,三層,二層
RPROMLOLKHMFFAG08CA,,7.08,見其他登記事項,見其他登記事項,105年8月17日,三層,
RPXNMLOLKHMFFAG58CA,,43.49,住家用,見其他登記事項,105年8月17日,三層,二層
RPXNMLOLKHMFFAG58CA,,7.08,見其他登記事項,見其他登記事項,105年8月17日,三層,
RPOOMLOLKHMFFAG77CA,,41.34,住家用,見其他登記事項,105年8月17日,三層,一層
RPOOMLOLKHMFFAG77CA,,7.08,見其他登記事項,見其他登記事項,105年8月17日,三層,
RPSOMLOLKHMFFAG18CA,,44.11,住家用,見其他登記事項,105年8月17日,三層,三層
RPSOMLOLKHMFFAG18CA,,7.08,見其他登記事項,見其他登記事項,105年8月17日,三層,
RPPOMLOLKHMFFAG87CA,,43.49,住家用,見其他登記事項,105年8月17日,三層,三層
RPPOMLOLKHMFFAG87CA,,7.08,見其他登記事項,見其他登記事項,105年8月17日,三層,
RPWOMLTKJHMFFBG98CA,35,161.15,住家用,鋼筋混凝土加強磚造,70年11月17日,三層,一層 二層 三層
RPPOMLSKJHMFFBG18CA,1,36.73,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,三層
RPPOMLSKJHMFFBG18CA,1,25.34,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,
RPQQMLKLJHMFFBG77CA,1,79.77,見其他登記事項,鋼筋混凝土造,105年1月30日,五層,一層
RPQQMLKLJHMFFBG77CA,1,41.33,見其他登記事項,鋼筋混凝土造,105年1月30日,五層,
RPQQMLKLJHMFFBG77CA,1,20.18,見其他登記事項,鋼筋混凝土造,105年1月30日,五層,
RPTNMLNLJHMFFBG08CA,23,29.51,住家用,鋼筋混凝土造,82年10月30日,八層,八層
RPTNMLNLJHMFFBG08CA,23,5.68,共有部分,鋼筋混凝土造,82年10月30日,八層,
RPTNMLNLJHMFFBG08CA,23,12.86,共有部分,鋼筋混凝土造,82年10月30日,八層,
RPPNMLRKJHMFFBG97CA,,228.65,見其他登記事項,鋼筋混凝土造,105年9月14日,四層,一層 二層 三層 四層
RPTNMLNJKHMFFAG87CA,35,95.68,住家用,鋼筋混凝土加強磚造,71年2月8日,一層,一層 騎樓
RPPOMLRKJHMFFAG97CA,,302.60,見其他登記事項,見其他登記事項,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPQOMLRKJHMFFAG08CA,,326.17,見其他登記事項,見其他登記事項,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPSOMLRKJHMFFAG28CA,21,69.37,住家用,鋼筋混凝土造,85年6月7日,六層,六層
RPSOMLRKJHMFFAG28CA,21,30.72,見其他登記事項,鋼筋混凝土造,85年6月7日,六層,
RPSNMLSKJHMFFAG28CA,35,126.56,住家用,鋼筋混凝土加強磚造,70年7月28日,二層,一層 二層
RPROMLNLJHMFFAG87CA,1,303.77,農舍,見其他登記事項,104年11月11日,二層,一層 二層 見其他登記事項
RPURMLNLJHMFFBG58CA,22,97.00,住家用,鋼筋混凝土造,84年4月26日,七層,四層
RPURMLNLJHMFFBG58CA,22,15.62,共有部分,鋼筋混凝土造,84年4月26日,七層,
RPURMLNLJHMFFBG58CA,22,9.42,共有部分,鋼筋混凝土造,84年4月26日,七層,
RPWRNLOLJHMFFBG98CA,4,210.56,住家用,鋼筋混凝土造,102年5月21日,四層,一層 二層 三層 四層
RPXOMLPLJHMFFBG78CA,17,193.12,住家用,鋼筋混凝土造,89年2月23日,三層,一層 二層 三層
RPQTMLPLJHMFFBG58CA,25,15.29,住家用,鋼筋混凝土造,80年11月21日,七層,七層
RPQTMLPLJHMFFBG58CA,25,5.87,共有部分,鋼筋混凝土造,80年11月21日,七層,
RPSTMLPLJHMFFBG78CA,28,1037.08,住家用,鋼筋混凝土造,77年9月5日,四層,一層 二層 三層 四層 地下層
RPQPMLNJKHMFFBG87CA,23,81.21,住家用,鋼筋混凝土造,82年10月1日,七層,四層
RPQPMLNJKHMFFBG87CA,23,34.74,共有部分,鋼筋混凝土造,82年10月1日,七層,
RPVNMLOKKHMFFBG38CA,1,202.88,見其他登記事項,鋼筋混凝土造,105年4月14日,三層,一層 二層 三層 見其他登記事項
RPSPMLQLJHMFFBG68EA,22,100.51,住家用,鋼筋混凝土造,83年12月17日,八層,四層
RPSPMLQLJHMFFBG68EA,22,49.14,共有部分,鋼筋混凝土造,83年12月17日,八層,
RPVNMLSKJHMFFBG88EA,1,180.11,住家用,鋼筋混凝土造,104年10月21日,三層,一層 二層 三層
RPPPMLNJKHMFFBG77CA,1,271.16,住家用,鋼筋混凝土造,104年9月8日,三層,一層 二層 三層 夾層 見其他登記事項
RPXOMLOLJHMFFBG78DA,40,133.96,住家用,鋼筋混凝土加強磚造,66年3月18日,三層,一層 二層
RPSPMLPLJHMFFBG38CA,20,236.23,見其他登記事項,鋼筋混凝土造,85年12月16日,五層,一層 二層 三層 四層 五層
RPSPMLPLJHMFFBG38CA,20,1.48,共有部分,鋼筋混凝土造,85年12月16日,五層,
RPOQMLOLJHMFFBG97CA,22,70.57,住家用,鋼筋混凝土加強磚造,83年9月30日,四層,四層
RPOQMLOLJHMFFBG97CA,22,10.00,共有部分,鋼筋混凝土加強磚造,83年9月30日,四層,
RPTOMLKLJHMFFAG77CA,9,321.91,見其他登記事項,鋼筋混凝土造,96年10月19日,二層,一層 二層
RPQPMLRKJHMFFBG28CA,1,142.35,見其他登記事項,鋼筋混凝土造,105年3月28日,三層,一層 二層 三層 見其他登記事項
RPQPMLRKJHMFFBG28CA,1,142.35,見其他登記事項,鋼筋混凝土造,105年3月28日,三層,一層 二層 三層 見其他登記事項
RPWNMLNLJHMFFBG38CA,21,163.14,住家用,鋼筋混凝土造,84年7月21日,四層,一層 二層 三層 四層
RPWPMLKLJHMFFBG28CA,18,184.40,住家用,鋼筋混凝土造,87年7月13日,四層,一層 二層 三層 四層
