編號,車位類別,車位價格,車位面積平方公尺
RPQQMLKLJHMFFBG77CA,坡道平面,0,
RPSOMLRKJHMFFAG28CA,升降機械,0,
RPTQMLNLJHMFFBG38CA,坡道平面,0,
RPPPMLOLJHMFFAG87CA,坡道平面,0,
RPXOMLOLJHMFFAG58CA,升降平面,0,
RPVNMLTJKHMFFBG78CA,坡道平面,700000,
RPPNMLLLJHMFFAG37CA,其他,0,
RPTNMLLLJHMFFAG77CA,坡道機械,0,
RPOOMLNLJHMFFAG57CA,坡道平面,0,
RPOOMLSJKHMFFBG08CA,坡道平面,0,
RPOPMLNLJHMFFBG77CA,一樓平面,0,
RPRNMLPLJHMFFBG28EA,坡道機械,0,
RPRNMLRJKHMFFBG18CA,一樓平面,0,
RPRNMLNJKHMFFBG87DA,坡道平面,850000,
RPVNMLNJKHMFFBG28DA,坡道平面,850000,
SPVNMLNJKHMFFBG38DA,坡道平面,850000,
