編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLLLKILFFBG88CC,7,125.47,農舍,見其他登記事項,98年12月3日,二層,
RPTNMLRLKILFFAG68CC,48,180.32,住家用,鋼筋混凝土加強磚造,57年11月15日,三層,
RPOPMLQKJHMFFBG18CC,1,22.00,見其他登記事項,鋼筋混凝土造,105年1月30日,三層,
RPSNMLLLJHMFFAG87CC,48,124.09,住家用,加強磚造,58年1月1日,二層,
RPUNMLNLJHMFFAG28CC,28,132.20,住家用,鋼筋混凝土造,77年11月17日,二層,
RPUOMLNLJHMFFAG38CC,22,49.39,住家用,鋼筋混凝土造,84年6月29日,十層,
RPWOMLNLJHMFFAG58CC,20,76.18,住家用,鋼筋混凝土造,85年10月3日,十二層,
RPOPMLNLJHMFFAG87CC,20,128.45,住家用,鋼筋混凝土造,85年8月27日,二十四層,
RPSOMLNLJHMFFAG38EC,22,58.42,住家用,鋼筋混凝土造,83年12月27日,六層,
RPSOMLNLJHMFFAG38EC,22,8.69,見其他登記事項,鋼筋混凝土造,83年12月27日,六層,
RPWNMLOLJHMFFAG58CC,22,35.85,住家用,鋼筋混凝土造,84年5月5日,七層,
RPWNMLOLJHMFFAG58CC,22,7.50,住家用,鋼筋混凝土造,84年5月5日,七層,
RPWNMLOLJHMFFAG58CC,22,8.04,見其他登記事項,鋼筋混凝土造,84年5月5日,七層,
RPQNMLPLJHMFFAG08CC,22,84.72,見其他登記事項,鋼筋混凝土造,83年11月14日,五層,
RPOTMLPLJHMFFBG58CC,22,123.78,住家用,鋼筋混凝土造,83年10月22日,十一層,
