編號,車位類別,車位價格,車位面積平方公尺
RPQNMLTKKILFFFH09CC,一樓平面,0,
RPQNMLTKKILFFFH09CC,其他,0,
RPPQMLQKJHMFFBH48CC,坡道平面,0,36.01
RPPQMLQKJHMFFBH48CC,坡道平面,0,36.01
RPQOMLQKJHMFFAH28CC,坡道平面,0,29.82
RPQOMLQKJHMFFAH28CC,坡道平面,0,27.45
RPQOMLQKJHMFFAH28CC,坡道平面,0,
RPQOMLQKJHMFFAH28CC,坡道平面,0,
RPRNMLRKJHMFFEH88DC,坡道平面,20000,
RPOOMLSKJHMFFFH88DC,坡道平面,0,37.11
RPWOMLSKJHMFFEH86CC,坡道平面,0,
RPPOMLSKJHMFFGH56EC,坡道平面,0,
RPSUMLTKJHMFFBH86CC,坡道平面,0,28.51
RPUUMLTKJHMFFBH07CC,坡道平面,0,
RPPRMLTKJHMFFDH09CC,坡道平面,0,34.25
RPPPMLTKJHMFFEH09DC,坡道平面,0,25.81
RPUNMLKLJHMFFFH58CC,坡道平面,0,33.06
RPWNMLKLJHMFFFH78CC,坡道平面,0,22.51
RPROMLKLJHMFFBH97CC,坡道平面,0,32.58
RPTOMLKLJHMFFBH18CC,坡道平面,0,30.55
RPUOMLKLJHMFFBH28CC,坡道平面,0,62.23
RPVOMLKLJHMFFBH38CC,坡道平面,0,34.62
RPXSMLNLJHMFFBH76DC,坡道平面,0,26.62
RPTOMLOLJHMFFFH98CC,坡道平面,0,33.06
RPUOMLOLJHMFFFH09CC,坡道平面,0,
RPXPMLOLJHMFFBH56DC,坡道平面,0,26.62
RPXPMLOLJHMFFBH56DC,坡道平面,0,26.62
RPOTMLOLJHMFFBH58CC,坡道平面,0,28.51
RPPTMLOLJHMFFBH68CC,坡道平面,0,28.51
RPROMLQLJHMFFFH98CC,坡道平面,0,25.78
