編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRLKILFFAI48EA,21,101.94,住家用,鋼筋混凝土造,84年8月3日,十二層,七層 走廊
RPPNMLRLKILFFAI48EA,21,28.18,共有部份,鋼筋混凝土造,84年8月3日,十二層,
RPOOMLTLKILFFAI68EA,36,55.90,住家用,鋼筋混凝土加強磚造,70年4月7日,二層,一層 二層
RPVNMLTLKILFFAI09CA,23,95.54,住家用,鋼筋混凝土造,82年7月6日,七層,四層
RPVNMLTLKILFFAI09CA,23,39.81,共有部份,鋼筋混凝土造,82年7月6日,七層,
RPQOMLTLKILFFAI68CA,12,192.21,見其他登記事項,鋼筋混凝土造,93年10月21日,3,一層 二層 三層 見其他登記事項
RPPNMLLLJHMFFAI57CA,21,33.32,住家用,鋼筋混凝土造,84年10月13日,八層,五層
RPPNMLLLJHMFFAI57CA,21,9.53,共有部份,鋼筋混凝土造,84年10月13日,八層,
RPRNMLSJKHMFFAI38CA,,206.59,見其他登記事項,見其他登記事項,105年7月11日,三層,一層 二層 三層 見其他登記事項
RPROMLMKJHMFFAI87CA,22,84.55,住家用,鋼筋混凝土造,83年7月14日,三層,一層 二層 三層
RPOOMLQKJHMFFAI97CA,1,310.03,住家用,見其他登記事項,105年4月14日,四層,一層 二層 三層 四層
RPQOMLQKJHMFFAI18CA,1,175.10,見其他登記事項,見其他登記事項,104年5月26日,五層,一層 二層 三層 四層 五層
RPQOMLQKJHMFFAI18CA,1,175.10,見其他登記事項,見其他登記事項,104年5月26日,五層,一層 二層 三層 四層 五層
RPRNMLLLJHMFFAI77CA,23,89.76,住家用,鋼筋混凝土造,82年6月23日,十二層,九層
RPRNMLLLJHMFFAI77CA,23,14.91,共有部份,鋼筋混凝土造,82年6月23日,十三層,
RPRNMLLLJHMFFAI77CA,23,12.78,共有部份,鋼筋混凝土造,82年6月23日,十二層,
RPQNMLTKJHMFFAI38CA,36,144.96,住商用,鋼筋混凝土造,69年9月16日,四層,一層 二層 三層 四層
RPWOMLKLJHMFFAI28CA,23,26.86,住家用,鋼筋混凝土造,82年8月24日,九層,八層
RPWOMLKLJHMFFAI28CA,23,7.46,共有部份,鋼筋混凝土造,82年8月24日,九層,
RPWNMLQJKHMFFAI68CA,12,115.04,住家用,鋼筋混凝土造,93年10月28日,十二層,十二層
RPWNMLQJKHMFFAI68CA,12,72.28,共有部份,鋼筋混凝土造,93年10月28日,十二層,
RPXNMLQJKHMFFAI78CA,4,187.34,住家用,見其他登記事項,101年11月21日,四層,一層 二層 三層 四層
RPXNMLQJKHMFFAI78CA,4,.35,見其他登記事項,見其他登記事項,101年11月21日,一層,
RPPOMLQJKHMFFAI08CA,23,56.61,住家用,鋼筋混凝土造,82年6月23日,十二層,一層
RPPOMLQJKHMFFAI08CA,23,7.74,共有部份,鋼筋混凝土造,82年6月23日,十二層,
RPPOMLQJKHMFFAI08CA,23,8.94,共有部份,鋼筋混凝土造,82年6月23日,十三層,
RPQOMLRJKHMFFAI28CA,27,123.37,住家用,鋼筋混凝土造,78年11月27日,七層,七層
RPQOMLRJKHMFFAI28CA,27,20.48,共有部份,鋼筋混凝土造,78年11月27日,七層,
RPPNMLSKJHMFFAI38EA,36,83.17,見其他登記事項,鋼筋混凝土加強磚造,69年9月17日,四層,二層
RPPNMLSKJHMFFAI38EA,36,9.09,共有部份,鋼筋混凝土加強磚造,69年9月17日,四層,
RPPNMLMKKHMFFAI67CA,37,210.90,住商用,鋼筋混凝土造,68年11月17日,四層,一層 二層 三層 四層 防空避難室 騎樓
RPPNMLMKKHMFFAI67CA,37,208.26,住商用,鋼筋混凝土造,68年11月17日,四層,一層 二層 三層 四層 防空避難室 騎樓
RPVNMLQJKHMFFAI58CA,12,115.36,住家用,鋼筋混凝土造,93年11月3日,十四層,九層
RPVNMLQJKHMFFAI58CA,12,89.47,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPRNMLKLJHMFFAI67CA,22,20.01,住家用,鋼筋混凝土造,84年1月24日,七層,五層
RPRNMLKLJHMFFAI67CA,22,12.72,共有部份,鋼筋混凝土造,84年1月24日,七層,
