編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLTLKILFFAI76EA,湖子內段湖美小段,74.07,都市：住
RPSNMLTLKILFFAI98EA,湖東段,3.00,都市：住
RPSNMLTLKILFFAI98EA,湖東段,11.00,都市：住
RPTNMLTLKILFFAI09EA,元段二小段,34.00,都市：商
RPXNMLTLKILFFAI86EA,大溪段,111.28,都市：住
RPXNMLTLKILFFAI86EA,大溪段,195.00,都市：住
RPOOMLTLKILFFAI68EA,下路頭段,42.00,都市：住
RPVNMLTLKILFFAI09CA,堀川段,24.05,都市：住
RPPOMLTLKILFFAI58CA,湖子內段湖美小段,92.05,都市：住
RPQOMLTLKILFFAI68CA,車店段車店小段,91.00,都市：住
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,4.17,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.67,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,5.83,都市：商
RPPNMLLLJHMFFAI57CA,劉厝段劉厝小段,5.22,都市：住
RPRNMLSJKHMFFAI38CA,港子坪段,94.00,都市：住
RPRNMLSJKHMFFAI38CA,港子坪段,10.00,都市：住
RPRNMLSJKHMFFAI38CA,港子坪段,28.00,都市：住
RPROMLMKJHMFFAI87CA,玉川段,53.00,都市：住
RPOOMLQKJHMFFAI97CA,劉厝段玉山小段,165.01,都市：住
RPQOMLQKJHMFFAI18CA,竹圍子段,78.00,都市：住
RPQOMLQKJHMFFAI18CA,竹圍子段,78.00,都市：住
RPRNMLLLJHMFFAI77CA,同興段,20.50,都市：住
RPQNMLTKJHMFFAI38CA,檜段三小段,58.00,都市：住
RPWOMLKLJHMFFAI28CA,竹圍子段二小段,3.56,都市：商
RPWNMLQJKHMFFAI68CA,白川段,32.98,都市：住
RPXNMLQJKHMFFAI78CA,盧東段,81.50,都市：農
RPXNMLQJKHMFFAI78CA,盧東段,2.81,都市：農
RPXNMLQJKHMFFAI78CA,盧東段,24.75,都市：農
RPPOMLQJKHMFFAI08CA,同興段,12.30,都市：住
RPQOMLRJKHMFFAI28CA,埤子頭段,23.26,都市：住
RPQOMLRJKHMFFAI28CA,埤子頭段,5.33,都市：住
RPQNMLTJKHMFFAI48DA,東門段四小段,16.38,都市：住
RPPNMLSKJHMFFAI38EA,中庄段,54.05,都市：住
RPSNMLSKJHMFFAI68EA,湖子內段興安小段,691.93,都市：住
RPUNMLSKJHMFFAI88EA,長竹段,19.00,都市：農
RPUNMLSKJHMFFAI88EA,長竹段,19.00,都市：農
RPROMLKLJHMFFAI97EA,頂庄段,87.00,都市：住
RPPNMLMKKHMFFAI67CA,埤子頭段,11.00,都市：住
RPPNMLMKKHMFFAI67CA,埤子頭段,80.00,都市：住
RPPNMLMKKHMFFAI67CA,埤子頭段,61.00,都市：住
RPVNMLQJKHMFFAI58CA,白川段,48.63,都市：住
RPVNMLTKJHMFFAI88CA,湖子內段興安小段,99.88,都市：住
RPRNMLKLJHMFFAI67CA,埤子頭段,7.70,都市：住
RPPNMLNLJHMFFAI77CA,車店段,4.05,都市：住
RPPNMLNLJHMFFAI77CA,白川段,42.09,都市：住
RPQNMLNLJHMFFAI87CA,竹村段,13.30,都市：住
RPQNMLNLJHMFFAI87CA,竹村段,67.31,都市：住
RPQNMLNLJHMFFAI87CA,竹村段,339.00,都市：住
