編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLTJJHMFFBJ88CA,1,419.20,住商用,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPTNMLTJJHMFFDJ09DA,,47.10,住家用,加強磚造,,三層,一層
RPQNMLQLJHMFFCJ48CA,12,202.88,住家用,鋼筋混凝土造,94年4月29日,四層,一層 二層 三層 四層
RPPNMLPKJHMFFCJ18CA,,14888.08,見其他登記事項,鋼筋混凝土造,,七層,一層 二層 三層 四層 五層 六層 七層 地下一層 地下二層
RPPOMLSJLHMFFCJ68CA,40,57.60,住家用,加強磚造,66年1月15日,二層,一層 二層
RPPNMLRKJHMFFDJ48CA,,42.58,見其他登記事項,鋼筋混凝土造,105年6月13日,五層,四層
RPQNMLRKJHMFFDJ58CA,,48.31,見其他登記事項,鋼筋混凝土造,105年6月13日,五層,三層
RPWNMLRKJHMFFDJ56CA,5,235.08,見其他登記事項,鋼筋混凝土造,100年7月15日,三層,一層 二層 三層 屋頂突出物 地下一層
RPPOMLRKJHMFFDJ58CA,2,210.92,見其他登記事項,鋼筋混凝土造,103年8月28日,三層,二層 三層 一層 屋頂突出物
RPXNMLOLJHMFFDJ09CA,,180.42,見其他登記事項,鋼筋混凝土造,105年6月29日,三層,二層 三層 屋頂突出物 一層
RPOOMLPLJHMFFDJ38CA,13,76.88,住家用,鋼筋混凝土造,92年12月5日,四層,二層 三層 四層
RPOOMLPLJHMFFDJ38CA,13,76.88,住家用,鋼筋混凝土造,92年12月5日,四層,二層 三層 四層
RPPOMLPLJHMFFDJ48CA,22,85.44,住商用,鋼筋混凝土造,84年6月6日,五層,一層
RPPOMLPLJHMFFDJ48CA,22,3.41,共有部份,鋼筋混凝土造,84年6月6日,五層,
RPPOMLPLJHMFFDJ48CA,22,1.95,共有部份,鋼筋混凝土造,84年6月6日,五層,
RPRNMLMJKHMFFDJ18CA,2,224.23,見其他登記事項,鋼筋混凝土造,103年9月10日,四層,屋頂突出物 一層 二層 三層 四層
RPVRMLNJKHMFFCJ98CA,1,71.18,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,三層
RPVRMLNJKHMFFCJ98CA,1,15.42,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,
RPVRMLNJKHMFFCJ98CA,1,52.85,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,
RPWRMLNJKHMFFCJ09CA,1,71.18,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,四層
RPWRMLNJKHMFFCJ09CA,1,15.42,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,
RPWRMLNJKHMFFCJ09CA,1,52.85,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,
RPXRMLNJKHMFFCJ56CA,1,71.18,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,六層
RPXRMLNJKHMFFCJ56CA,1,15.42,見其他登記事項,鋼筋混凝土造,105年6月24日,七層,
