鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,65.6,住,,,1051001,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,168.61,3,2,3,有,無,5600000,33213,一樓平面,0.0,0,,RPSNMLNKLHMFFDK68CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,52.46,住,,,1050501,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,135.03,3,2,2,有,無,4580000,33918,一樓平面,0.0,0,,RPTNMLNKLHMFFDK78CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,52.46,住,,,1050201,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,135.03,2,2,2,有,無,4380000,32437,一樓平面,0.0,0,,RPVNMLNKLHMFFDK98CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,52.46,住,,,1050201,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,135.03,2,2,2,有,無,4480000,33178,一樓平面,0.0,0,,RPWNMLNKLHMFFDK09CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,70.94,住,,,1051001,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,182.54000000000002,3,2,3,有,無,6100000,33417,一樓平面,0.0,0,,RPXNMLNKLHMFFDK56CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,70.94,住,,,1050101,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,182.54000000000002,3,2,2,有,無,5880000,32212,一樓平面,0.0,0,,RPOOMLNKLHMFFDK38CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,70.94,住,,,1051001,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,182.54000000000002,3,2,3,有,無,6070000,33253,一樓平面,0.0,0,,RPPOMLNKLHMFFDK48CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,70.94,住,,,1050901,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,182.54000000000002,3,2,3,有,無,6070000,33253,一樓平面,0.0,0,,RPQOMLNKLHMFFDK58CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,65.6,住,,,1051001,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,168.61,3,2,3,有,無,5680000,33687,一樓平面,0.0,0,,RPROMLNKLHMFFDK68CA
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮南龍里22鄰勝利街241~270號,65.6,住,,,1050701,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050826,168.61,3,2,3,有,無,5600000,33213,一樓平面,0.0,0,,RPSOMLNKLHMFFDK78CA
