編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNJJHMFFBK97CA,78,50.00,住家用,木造,28年3月10日,一層,一層
RPWNMLNLJHMFFCK88CA,1,185.52,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
SPWNMLNLJHMFFCK98CA,1,185.54,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
TPWNMLNLJHMFFCK09CA,1,158.89,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
RPSNMLKMKILFFBK38DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPPNMLNJJHMFFBK97DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPWNMLTKJHMFFBK66CA,40,268.32,住商用,加強磚造,66年6月29日,,一層 二層 三層 四層 地下層 見其他登記事項
RPQOMLSJLHMFFDK98CA,,92.32,見其他登記事項,鋼筋混凝土造,105年10月28日,四層,一層 二層 三層 四層
RPQOMLSJLHMFFDK98CA,,92.32,見其他登記事項,鋼筋混凝土造,105年10月28日,四層,一層 二層 三層 四層
RPPNMLNKKHMFFDK28CA,12,15.79,住家用,鋼筋混凝土造,93年6月23日,三層,三層
RPPNMLNKKHMFFDK28CA,12,4.62,見其他登記事項,鋼筋混凝土造,93年6月23日,三層,
RPPNMLSKJHMFFEK78CA,23,158.25,住家用,鋼筋混凝土造,82年8月10日,三層,一層 二層 三層
RPTNMLQLJHMFFDK98CA,,98.97,住家用,鋼筋混凝土造,105年10月20日,五層,五層
RPTNMLQLJHMFFDK98CA,,38.91,共有部分,鋼筋混凝土造,105年10月20日,五層,
RPSNMLMJKHMFFDK38CA,,247.23,住家用,鋼筋混凝土造,105年8月11日,四層,一層 二層 三層 四層
RPTNMLMJKHMFFDK48CA,,223.66,住家用,鋼筋混凝土造,105年8月15日,三層,一層 二層 三層
RPPNMLNKKHMFFEK38CA,2,13.17,見其他登記事項,見其他登記事項,104年1月23日,一層,一層
RPUNMLQKJHMFFFK56CA,,89.43,見其他登記事項,鋼筋混凝土造,105年7月18日,五層,二層
RPUNMLQKJHMFFFK56CA,,36.41,見其他登記事項,鋼筋混凝土造,105年7月18日,五層,
