編號,車位類別,車位價格,車位面積平方公尺
RPTNMLQLJHMFFDK98CA,一樓平面,0,
RPUNMLQKJHMFFFK56CA,一樓平面,0,
RPVNMLQKJHMFFFK66CA,坡道機械,0,
RPWNMLQKJHMFFFK76CA,坡道平面,0,
RPXNMLQKJHMFFFK86CA,坡道平面,0,
RPVNMLSKJHMFFDK66CA,坡道平面,0,28.93
RPWNMLSKJHMFFDK76CA,坡道機械,0,14.48
RPXNMLSKJHMFFDK86CA,坡道機械,0,14.48
RPPNMLOLJHMFFFK58CA,坡道機械,0,19.56
RPPOMLSKJHMFFDK78CA,坡道平面,0,28.93
RPSOMLSKJHMFFFK66CA,坡道平面,0,
RPSNMLSKJHMFFFK56CA,一樓平面,0,
RPVNMLPLJHMFFDK09CA,坡道平面,1100000,30.00
RPVNMLPLJHMFFDK09CA,坡道平面,1100000,33.68
RPWNMLPLJHMFFDK56CA,坡道平面,1200000,33.68
RPWNMLPLJHMFFDK56CA,坡道平面,1200000,33.68
RPWNMLPLJHMFFDK56CA,坡道平面,1200000,33.68
RPWNMLPLJHMFFDK56CA,坡道平面,1200000,33.68
RPRNMLLKKHMFFBK08CA,坡道平面,0,26.85
RPQNMLKLJHMFFDK08CA,升降機械,0,
RPRNMLNLJHMFFDK48CA,一樓平面,0,
RPQOMLKLJHMFFDK18CA,一樓平面,0,
RPUNMLMJKHMFFDK58CA,坡道平面,0,
RPUNMLMJKHMFFDK58CA,坡道平面,0,
RPUNMLMJKHMFFDK58CA,坡道平面,0,
RPUNMLMJKHMFFDK58CA,坡道平面,0,
RPVNMLOLJHMFFFK56CA,其他,630000,
RPOOMLOLJHMFFFK58CA,其他,800000,
RPPOMLOLJHMFFFK68CA,其他,600000,
RPROMLOLJHMFFFK88CA,其他,840000,
RPTOMLKKKHMFFDK48CA,坡道平面,940000,32.12
RPUOMLKKKHMFFDK58CA,坡道平面,0,32.12
RPUOMLKKKHMFFDK58CA,坡道平面,0,32.12
RPXOMLKKKHMFFDK88CA,坡道平面,0,32.12
RPXOMLKKKHMFFDK88CA,坡道平面,0,32.12
RPOPMLKKKHMFFDK08CA,坡道平面,0,32.12
RPOPMLKKKHMFFDK08CA,坡道平面,0,32.12
RPSNMLSKKHMFFBK88CA,坡道平面,0,26.85
RPUNMLSKKHMFFBK09CA,坡道平面,0,26.85
RPWNMLSKKHMFFBK66CA,坡道平面,0,26.85
RPPNMLRJLHMFFBK48CA,升降機械,0,8.16
RPPNMLNLJHMFFDK28CA,坡道機械,0,14.48
RPRNMLPLJHMFFDK68CA,坡道平面,0,
RPROMLKKKHMFFFK48CA,坡道平面,800000,
RPQNMLQJKHMFFFK78CA,坡道平面,800000,41.12
RPVOMLNJKHMFFFK09CA,坡道平面,950000,41.12
RPWOMLNJKHMFFFK56CA,坡道平面,950000,41.12
RPPPMLNJKHMFFFK58CA,坡道平面,900000,41.12
RPXNMLQJKHMFFFK86CA,坡道平面,900000,41.12
RPRNMLMJKHMFFFK48CA,坡道平面,850000,41.12
RPSNMLMJKHMFFFK58CA,坡道平面,900000,41.12
RPTNMLMJKHMFFFK68CA,坡道平面,950000,41.12
RPUNMLMJKHMFFFK78CA,坡道平面,950000,41.12
RPRNMLNJKHMFFFK58CA,坡道平面,0,41.12
RPSNMLNJKHMFFFK68CA,坡道平面,950000,41.12
RPTNMLNJKHMFFFK78CA,坡道平面,850000,41.12
RPVNMLNJKHMFFFK98CA,坡道平面,850000,41.12
RPWNMLNJKHMFFFK09CA,坡道平面,950000,41.12
RPOOMLNJKHMFFFK38CA,坡道平面,950000,41.12
RPPOMLNJKHMFFFK48CA,坡道平面,900000,41.12
RPQOMLNJKHMFFFK58CA,坡道平面,950000,41.12
RPQPMLPLJHMFFFK98CA,坡道平面,950000,41.12
RPRPMLPLJHMFFFK09CA,坡道平面,850000,41.12
RPTPMLPLJHMFFFK66CA,坡道平面,1000000,41.52
RPUPMLPLJHMFFFK76CA,坡道平面,800000,41.12
RPPOMLNLJHMFFFK58CA,坡道機械,0,
RPVNMLPLJHMFFFK66CA,其他,800000,
RPWNMLPLJHMFFFK76CA,其他,840000,
RPXNMLPLJHMFFFK86CA,其他,840000,
RPOOMLPLJHMFFFK68CA,其他,650000,
RPSNMLOLJHMFFBK48CA,一樓平面,0,
RPSNMLRJLHMFFFK56CA,坡道平面,0,
RPSNMLRJLHMFFFK56CA,坡道機械,0,
RPVPMLPLJHMFFFK86CA,坡道機械,620000,16.66
RPTOMLNJKHMFFFK88CA,一樓平面,0,
RPWNMLQJKHMFFFK76CA,坡道平面,0,
RPXNMLRKKHMFFFK07CA,坡道平面,0,
RPPOMLQKKHMFFFK88CA,坡道平面,0,
RPXNMLNKKHMFFFK66CA,坡道機械,0,
RPXPMLPLJHMFFFK07CA,坡道機械,500000,13.34
RPOQMLPLJHMFFFK88CA,坡道平面,950000,30.12
RPPQMLPLJHMFFFK98CA,坡道平面,900000,30.12
RPXNMLNJKHMFFDK98CA,坡道機械,350000,10.67
RPQNMLQLJHMFFDK68CA,坡道機械,0,
RPSNMLQLJHMFFDK88CA,一樓平面,0,
RPWNMLQJKHMFFDK56CA,一樓平面,800000,19.84
RPVOMLQJKHMFFFK76CA,坡道平面,950000,41.12
RPWOMLQJKHMFFFK86CA,坡道平面,950000,41.12
RPXOMLQJKHMFFFK96CA,坡道平面,850000,41.12
RPOPMLQJKHMFFFK78CA,坡道平面,850000,41.12
RPPPMLQJKHMFFFK88CA,坡道平面,950000,41.12
RPQPMLQJKHMFFFK98CA,坡道平面,800000,41.12
