鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
集集鎮,建物,南投縣集集鎮文昌巷1~30號,0.0,,,,1051001,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880115,271.75,4,2,3,有,無,4000000,14719,,0.0,0,,RPPNMLQKKILFFEM88CA
竹山鎮,建物,南投縣竹山鎮前山路橫巷1~30號,0.0,,,,1051201,土地0建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840408,118.81,3,2,2,有,有,1120000,9427,,0.0,0,,RPSNMLOLJHMFFDM88CA
南投市,建物,南投縣南投市信義街152巷9弄61~90號,0.0,,,,1060101,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0740426,107.1,4,2,2,有,無,1500000,14006,,0.0,0,親友間之交易。,RPQNMLNKJHMFFAM18CA
南投市,土地,新生段751~780地號,2668.0,農,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,4498,,0.0,0,,RPXNMLQKJHMFFAM56CA
南投市,房地(土地+建物),南投縣南投市彰南路三段1211巷1弄1~30號,108.38,住,,,1051201,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050726,147.96,4,2,3,有,無,6700000,45283,,0.0,0,,RPQOMLRKJHMFFAM68CA
中寮鄉,土地,仙鹿段61~90地號,814.9,,山坡地保育區,農牧用地,1050801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,519000,637,,0.0,0,,RPPNMLNLJHMFFAM18CA
南投市,土地,三塊厝段181~210地號,91.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,49451,,0.0,0,,RPXNMLOLJHMFFAM09CA
南投市,土地,南山段121~150地號,783.0,商,,,1051101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27500000,35121,,0.0,0,,RPUNMLQLJHMFFAM98CA
南投市,房地(土地+建物)+車位,南投縣南投市忠孝八街1~30號,18.92,住,,,1051201,土地2建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830617,132.3,3,2,2,有,無,3950000,29856,坡道機械,0.0,0,,RPVNMLSJKHMFFAM56CA
草屯鎮,土地,南坪段1081~1110地號,1663.72,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,1683,,0.0,0,,RPUNMLQKJHMFFBM98CA
