鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
二林鎮,土地,萬合段151~180地號,6764.0,,特定農業區,農牧用地,1041211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19380000,2865,,0.0,0,,RPUNMLKMKIKFFGN56CA
竹塘鄉,土地,新田段1051~1080地號,1666.0,,特定農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2765560,1660,,0.0,0,,RPROMLQKJHMFFGN76CA
竹塘鄉,土地,新田段1831~1860地號,1764.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3404520,1930,,0.0,0,,RPSOMLQKJHMFFGN86CA
竹塘鄉,土地,新田段1801~1830地號,3430.0,,特定農業區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6791400,1980,,0.0,0,,RPTOMLQKJHMFFGN96CA
二林鎮,土地,東勢段1021~1050地號,2010.5,,特定農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3015750,1500,,0.0,0,,RPUOMLQKJHMFFGN07CA
二林鎮,房地(土地+建物),彰化縣二林鎮斗苑路五段29巷1~30號,71.16,住,,,1060101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0650520,140.6,3,2,3,有,無,2900000,20626,,0.0,0,,RPSNMLRKJHMFFGN86CA
溪州鄉,土地,瓦厝段391~420地號,26.4,農,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000,1515,,0.0,0,,RPRNMLQJKHMFFFN56CA
二林鎮,土地,儒林段361~390地號,156.01,其他,,,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1746142,11193,,0.0,0,,RPWNMLTKJHMFFGN47CA
二林鎮,土地,香田段691~720地號,1508.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,1890,,0.0,0,,RPXNMLTKJHMFFGN57CA
二林鎮,土地,原斗段1201~1230地號,2710.73,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1845,,0.0,0,,RPPNMLLLJHMFFGN68CA
