鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,建物,新竹市新竹市公道五路二段91~120號,0.0,工,,,1051101,土地0建物4車位0,見其他登記事項,16,廠辦,見其他登記事項,見其他登記事項,0990607,1152.95,0,0,0,無,有,無,435963,378,,0.0,0,,RPXQMLTJKILFFAO57CC
新竹市,建物,新竹市新竹市埔前路271~300號,0.0,工,,,1051101,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0980325,334.1,2,1,2,有,無,無,47000,141,,0.0,0,,RPTOMLOKKILFFAO56CC
新竹市,建物,新竹市新竹市中華路六段335巷31~60號,0.0,,山坡地保育區,丙種建築用地,1051201,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1041130,308.54,4,2,3,有,有,無,19000,62,,0.0,0,,RPOOMLOLKILFFAO78CC
新竹市,建物,新竹市新竹市力行六路1~30號,0.0,其他,,,1051101,土地0建物0車位0,見其他登記事項,10,廠辦,見其他登記事項,鋼筋混凝土造,0930305,7017.1,0,0,0,無,無,無,2423962,345,,0.0,0,租賃層次:3樓.5樓.6樓.7樓.8樓170個坡道平面車位,RPXNMLQLKILFFAO17CC
新竹市,建物,新竹市新竹市西大路780巷13弄1~30號,0.0,住,,,1051201,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,95.85,5,2,3,有,無,有,15000,156,,0.0,0,,RPUOMLLKJHMFFAO88CC
新竹市,房地(土地+建物),新竹市新竹市和福街1~30號,61.0,住,,,1060101,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0500401,91.82,0,0,0,無,無,無,50000,545,,0.0,0,,RPUOMLMKJHMFFAO98CC
新竹市,建物,新竹市新竹市振興一街121~150號,0.0,住,,,1060101,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860203,26.63,1,1,1,有,無,有,6000,225,,0.0,0,,RPRNMLKLJHMFFAO48CC
新竹市,建物,新竹市新竹市中正路157巷1~30號,0.0,商,,,1060101,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790503,27.69,1,1,1,有,無,有,5500,199,,0.0,0,,RPSNMLKLJHMFFAO58CC
新竹市,建物,新竹市新竹市西門街232巷1~30號,0.0,住,,,1051201,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690820,97.41,3,2,1,有,無,有,11000,113,,0.0,0,,RPUOMLKLJHMFFAO88CC
新竹市,建物,新竹市新竹市民主路57巷5弄1~30號,0.0,住,,,1051201,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801120,69.69,2,2,1,有,有,無,12000,172,,0.0,0,租金含管理費500元,RPVOMLKLJHMFFAO98CC
新竹市,建物,新竹市新竹市明湖路1050巷211~240號,0.0,,山坡地保育區,丙種建築用地,1051201,土地0建物1車位1,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860515,140.07,3,2,2,有,無,有,13000,93,坡道平面,38.96,0,,RPXOMLKLJHMFFAO56CC
新竹市,建物,新竹市新竹市光華二街72巷25弄1~30號,0.0,住,,,1051201,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840121,130.85,3,2,2,有,有,有,18000,138,,0.0,0,租金含管理費1200元,RPOPMLKLJHMFFAO38CC
新竹市,建物,新竹市新竹市明湖路112巷1~30號,0.0,其他,,,1060101,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.89,3,2,2,有,無,有,10000,132,,0.0,0,,RPVPMLLLJHMFFAO56CC
新竹市,建物,新竹市新竹市境福街176巷1~30號,0.0,,鄉村區,乙種建築用地,1060101,土地0建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831114,92.25,3,2,2,有,無,有,10000,108,坡道平面,0.0,0,,RPWPMLLLJHMFFAO66CC
新竹市,建物,新竹市新竹市東明街31~60號,0.0,住,,,1060101,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.97,4,2,2,有,有,無,15000,107,,0.0,0,,RPPOMLNLJHMFFAO68CC
新竹市,建物,新竹市新竹市振興一街61~90號,0.0,住,,,1060101,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810603,95.88999999999999,3,2,2,有,有,無,10500,110,,0.0,0,,RPROMLNLJHMFFAO88CC
新竹市,房地(土地+建物),新竹市新竹市中山路40巷1~30號,2077.0,商,,,1051201,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800603,170.98,0,0,0,無,有,無,23000,135,,0.0,0,租方同意三月讓租客進行裝修尺寸丈量五月起算租約日管理費租方負擔租賃範圍不含車位，且無法區分車位面積。,RPPNMLPLJHMFFAO98EC
新竹市,建物,新竹市新竹市經國路二段181~210號,0.0,商,,,1051201,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971108,108.49000000000001,1,1,1,有,有,有,15347,141,,0.0,0,含二代健保,RPVNMLQLJHMFFAO86CC
新竹市,建物,新竹市新竹市北門街151~180號,0.0,商,,,1060101,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040720,179.41,3,2,2,有,有,有,34000,190,,0.0,0,,RPROMLQLJHMFFAO56CC
