鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
斗六市,房地(土地+建物),光明段361~390地號,95.37,,工業區,丁種建築用地,1050401,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.42,4,2,3,有,無,5980000,35719,,0.0,0,,RPPNMLNJJHMFFAP58EB
斗六市,房地(土地+建物),光明段361~390地號,94.15,,工業區,丁種建築用地,1050401,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.84,4,2,3,有,無,5980000,35210,,0.0,0,,RPRNMLNJJHMFFAP78EB
斗六市,房地(土地+建物),光明段361~390地號,94.15,,工業區,丁種建築用地,1050301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.84,3,2,3,有,無,5980000,35210,,0.0,0,,RPSNMLNJJHMFFAP88EB
斗六市,房地(土地+建物),光明段361~390地號,94.15,,工業區,丁種建築用地,1050301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.84,3,2,3,有,無,5980000,35210,,0.0,0,,RPUNMLNJJHMFFAP09EB
斗六市,房地(土地+建物),光明段421~450地號,93.62,,工業區,丁種建築用地,1050301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.91,4,2,3,有,無,5980000,35403,,0.0,0,,RPWNMLNJJHMFFAP66EB
斗六市,房地(土地+建物),光明段421~450地號,108.14,,工業區,丁種建築用地,1050401,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,169.01,4,2,3,有,無,5980000,35383,,0.0,0,,RPXNMLNJJHMFFAP76EB
斗六市,房地(土地+建物),光明段421~450地號,92.61,,工業區,丁種建築用地,1050301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.37,4,2,3,有,無,5980000,35729,,0.0,0,,RPOOMLNJJHMFFAP58EB
斗六市,房地(土地+建物),光明段421~450地號,95.38,,工業區,丁種建築用地,1050201,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.47,4,2,3,有,無,5980000,35708,,0.0,0,,RPPOMLNJJHMFFAP68EB
斗六市,房地(土地+建物),光明段421~450地號,98.44,,工業區,丁種建築用地,1050401,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.0,4,2,3,有,無,6200000,37126,,0.0,0,,RPQNMLOJJHMFFAP78EB
斗六市,房地(土地+建物),光明段421~450地號,96.25,,工業區,丁種建築用地,1050301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.95,4,2,3,有,無,5980000,35395,,0.0,0,,RPRNMLOJJHMFFAP88EB
