鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
花蓮市,房地(土地+建物),花蓮縣花蓮市民孝街31~60號,111.0,住,,,1051101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010323,190.48,4,2,4,有,無,10080000,52919,,0.0,0,,RPSNMLMJLHMFFAU56CA
鳳林鎮,土地,鳳榮段121~150地號,17.58,,鄉村區,乙種建築用地,1050901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152946,8700,,0.0,0,協議價購案,RPPNMLRJKHMFFBU76CA
鳳林鎮,土地,中心埔段901~930地號,4243.47,,一般農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,1532,,0.0,0,,RPPNMLNLJHMFFBU09CA
富里鄉,土地,學園段1141~1170地號,2962.39,,特定農業區,農牧用地,1060101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,169,,0.0,0,親友特殊關係間之交易。,RPRNMLPJKHMFFCU86CA
秀林鄉,土地,格督尚段391~420地號,4501.76,,一般農業區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4760000,1057,,0.0,0,,RPQOMLNKKHMFFAU56CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南濱路一段481~510號,159.01,,工業區,丁種建築用地,1051201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020116,245.6,5,2,5,有,無,15200000,61889,,0.0,0,,RPQOMLKKKHMFFAU88CA
花蓮市,房地(土地+建物),花蓮縣花蓮市華安街11巷1~30號,63.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690502,72.9,4,1,1,有,無,6650000,91221,,0.0,0,,RPSNMLSKJHMFFAU07CA
秀林鄉,土地,帛士林段901~930地號,2090.52,,一般農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,454,,0.0,0,原住民保留地,RPROMLSKJHMFFAU07CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興一街1~30號,140.0,其他,,,1051201,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050401,248.6,5,2,5,有,無,15000000,60338,,0.0,0,,RPVOMLSKJHMFFAU47CA
花蓮市,房地(土地+建物),花蓮縣花蓮市自強路507巷31~60號,32.34,住,,,1051201,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771125,97.34,2,1,2,有,無,4550000,46743,,0.0,0,,RPOPMLSKJHMFFAU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮市民族路1~30號,3.18,商,,,1051201,土地1建物1車位0,八層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850202,36.769999999999996,1,1,1,有,有,1500000,40794,,0.0,0,,RPUNMLTKJHMFFAU37CA
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民權九街31~60號,31.44,商,,,1060101,土地2建物2車位1,一層，二層，三層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820109,203.1,3,2,3,有,有,8000000,39391,坡道平面,0.28,0,,RPROMLKLJHMFFAU98CA
秀林鄉,土地,玻士岸段331~360地號,714.83,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,560,,0.0,0,,RPRNMLTKJHMFFAU07CA
