編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPSNMLMJLHMFFAU56CA,民意段,111.00,都市：住
RPPNMLRJKHMFFBU76CA,鳳榮段,17.58,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNLJHMFFBU09CA,中心埔段,4243.47,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPJKHMFFCU86CA,學園段,798.30,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLPJKHMFFCU86CA,學園段,1149.53,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLPJKHMFFCU86CA,新興段,1014.56,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLNKKHMFFAU56CA,格督尚段,4501.76,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLKKKHMFFAU88CA,光華段二小段,159.01,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLSKJHMFFAU07CA,民意段,63.00,都市：住
RPROMLSKJHMFFAU07CA,帛士林段,2090.52,非都市：一般農業區 ; 非都市編定：農牧用地
RPVOMLSKJHMFFAU47CA,福興段,129.00,都市：其他
RPVOMLSKJHMFFAU47CA,福興段,11.00,都市：住
RPOPMLSKJHMFFAU86CA,自強段,32.34,都市：住
RPUNMLTKJHMFFAU37CA,民享段,3.18,都市：商
RPROMLKLJHMFFAU98CA,樹人段,16.27,都市：商
RPROMLKLJHMFFAU98CA,樹人段,15.17,都市：住
RPRNMLTKJHMFFAU07CA,玻士岸段,714.83,都市：其他
RPPOMLQLJHMFFAU76CA,莊敬段,15.76,都市：住
RPUOMLMJKHMFFAU76CA,慈惠段,2.74,都市：住
RPQNMLRKJHMFFAU86DA,路內段,52.75,都市：住
RPOOMLRKJHMFFCU96DA,富安段,76.83,都市：住
RPPNMLTKJHMFFCU17DA,古風段,1350.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTKJHMFFCU17DA,古風段,5230.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLRKJHMFFBU96EA,石門段,9.64,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLRJKHMFFBU07EA,大豐段,1019.90,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLSKJHMFFAU07DA,北濱段,12.00,都市：商
RPRNMLSKJHMFFAU07DA,北濱段,31.00,都市：商
RPTPMLQLJHMFFAU27CA,民享段,3.39,都市：住
RPQOMLNLJHMFFAU56CA,仁廉段,73.00,都市：住
RPPPMLSKJHMFFAU96CA,福興段,75.00,都市：商
RPTOMLSKJHMFFAU27CA,福祥段,17.50,都市：住
RPUNMLOLJHMFFAU96CA,國光段,9.24,都市：住
RPTNMLPKKHMFFAU96CA,路內段,120.02,都市：農
RPTNMLPKKHMFFAU96CA,路內段,6.00,都市：農
RPVOMLKKKHMFFAU76CA,永興段,104.17,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWOMLKKKHMFFAU86CA,民德段,26.00,都市：其他
RPXOMLKKKHMFFAU96CA,莊敬段,221.00,都市：住
RPQNMLKLJHMFFCU98CA,富安段,46.33,都市：住
RPPNMLNLJHMFFCU56CA,明里段,4871.12,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTKJHMFFCU17CA,古風段,350.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTKJHMFFBU07CA,萬利段,1045.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPLJHMFFBU66CA,阿托莫段,4654.26,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPWNMLTJKHMFFAU57CA,四維段,117.99,都市：農
RPWNMLTJKHMFFAU57CA,四維段,273.57,都市：農
RPWNMLTJKHMFFAU57CA,四維段,302.44,都市：農
RPOOMLPKKHMFFAU56CA,樹人段,8.83,都市：商
RPOOMLPKKHMFFAU56CA,樹人段,8.23,都市：住
RPPOMLKKKHMFFAU78CA,林森段,129.00,都市：住
RPWNMLTKJHMFFAU57CA,富國段,14.80,都市：住
RPXNMLTKJHMFFAU67CA,北濱段,11.00,都市：住
RPQNMLKLJHMFFAU78CA,民意段,40.42,都市：住
