編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLQKJHMFFAV37CA,中清段,6.42,都市：住
RPWNMLQKJHMFFAV37CA,中清段,40.38,都市：住
RPWNMLQKJHMFFAV37CA,中清段,24.87,都市：住
RPWNMLQKJHMFFAV37CA,中清段,6.42,都市：住
RPWNMLQKJHMFFAV37CA,中清段,40.38,都市：住
RPWNMLQKJHMFFAV37CA,中清段,24.87,都市：住
RPQNMLRKJHMFFAV86CA,泰安段,101.97,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRKJHMFFAV47CA,東海段,155.11,都市：住
RPTOMLSKJHMFFAV37CA,東海段,14.93,都市：住
RPTOMLSKJHMFFAV37CA,東海段,.96,都市：住
RPPOMLKLJHMFFAV88CA,建樂段,8.95,都市：住
RPPOMLKLJHMFFAV88CA,建樂段,1.03,都市：住
RPQNMLRJKHMFFAV86CA,豐谷段,111.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,111.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,37.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,37.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,53.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,53.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,717.50,都市：其他
RPQNMLRJKHMFFAV86CA,豐谷段,717.50,都市：其他
RPPNMLRKJHMFFBV86CA,高台段,1975.08,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLRKJHMFFBV86CA,高台段,1975.08,非都市：風景區 ; 非都市編定：農牧用地
RPQNMLRKJHMFFBV96CA,忠勇段,129.55,都市：住
RPQNMLRKJHMFFBV96CA,忠勇段,115.25,都市：住
RPQNMLRKJHMFFBV96CA,忠勇段,78.83,都市：住
RPRNMLRKJHMFFBV07CA,寧埔段石寧埔小段,4586.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLSKJHMFFBV96CA,南八里段,224.82,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLKLJHMFFCV09CA,溪埔段,82.53,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLSKJHMFFDV17CA,復興段,180.22,都市：住
RPQNMLTKJHMFFDV37CA,蘭里段,437.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRKJHMFFAV27DA,台東段,233.00,都市：住
RPOOMLSKJHMFFAV96DA,台東段,66.00,都市：住
RPOOMLSKJHMFFAV96DA,台東段,6.00,都市：住
RPOOMLSKJHMFFAV96DA,台東段,7.00,都市：住
RPPNMLTKJHMFFCV27DA,萬朝段,1476.76,非都市：山坡地保育區 ; 非都市編定：農牧用地
