鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
烈嶼鄉,土地,陵水湖測段1021~1050地號,116.1,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75465,650,,0.0,0,當初登記錯誤、現用買賣返還。,RPPNMLRKKHMFFAW07DA
金沙鎮,土地,洋山測段301~330地號,320.0,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,820000,2563,,0.0,0,,RPQNMLRKJHMFFAW96CA
金湖鎮,土地,料羅段1501~1530地號,266.0,其他,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,9023,,0.0,0,,RPWNMLTJKHMFFAW77CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖南1~30號,47.1,其他,,,1051201,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050830,75.12,3,2,2,有,無,5300000,70554,,0.0,0,,RPXNMLSKJHMFFAW77CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,20.99,住,,,1050901,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050421,101.33,3,2,2,有,無,8300000,81911,,0.0,0,,RPRNMLTKJHMFFAW27CA
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路211~240號,20.99,住,,,1051001,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050421,106.1,3,2,2,有,無,7950000,74929,,0.0,0,,RPTNMLTKJHMFFAW47CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖南1~30號,51.05,其他,,,1051101,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050830,83.66,1,2,2,有,無,5200000,62156,,0.0,0,,RPPOMLSKJHMFFAW07CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村511~540號,168.0,住,,,1051201,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051006,208.78,6,2,4,有,無,9250000,44305,,0.0,0,,RPQNMLNJKHMFFAW56CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村541~570號,168.0,住,,,1051201,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051006,208.78,6,2,4,有,無,9200000,44066,,0.0,0,,RPRNMLNJKHMFFAW66CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村541~570號,168.0,住,,,1051201,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051006,208.78,6,2,4,有,無,9150000,43826,,0.0,0,,RPSNMLNJKHMFFAW76CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村541~570號,168.0,住,,,1051201,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051006,208.78,6,2,4,有,無,9150000,43826,,0.0,0,,RPTNMLNJKHMFFAW86CA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,二層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051019,25.439999999999998,1,1,1,有,無,510000,20047,,0.0,0,建商與地主合建案。,RPRNMLTJKHMFFAW37DA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,二層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051019,30.09,1,1,1,有,無,600000,19940,,0.0,0,建商與地主合建案。,SPRNMLTJKHMFFAW47DA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,三層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051019,25.55,1,1,1,有,無,540000,21135,,0.0,0,建商與地主合建案。,TPRNMLTJKHMFFAW57DA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,三層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051019,25.439999999999998,1,1,1,有,無,540000,21226,,0.0,0,建商與地主合建案。,UPRNMLTJKHMFFAW67DA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,三層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051019,29.910000000000004,1,1,1,有,無,600000,20060,,0.0,0,建商與地主合建案。,VPRNMLTJKHMFFAW77DA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,三層,三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1051019,40.65,1,1,1,有,無,750000,18450,,0.0,0,建商與地主合建案。,WPRNMLTJKHMFFAW87DA
金沙鎮,土地,呂厝村段1~30地號,450.0,農,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,3556,,0.0,0,,RPRNMLRJKHMFFAW07CA
金湖鎮,建物,金門縣金湖鎮環島南路塔后段2巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051019,180.59,5,2,5,有,無,3600000,19935,,0.0,0,建商與地主合建案。,RPSNMLQJKHMFFAW17DA
金湖鎮,土地,湖前段871~900地號,131.47,其他,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8190000,62296,,0.0,0,建商與地主合建案。,RPPNMLTJKHMFFAW17DA
烈嶼鄉,土地,南塘段31~60地號,512.0,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,977,,0.0,0,,RPVNMLNJKHMFFAW07CA
金沙鎮,土地,青嶼段781~810地號,187.0,住,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,9091,,0.0,0,,RPQNMLRJKHMFFAW96CA
金寧鄉,房地(土地+建物),金門縣金寧鄉中堡1~30號,24.0,其他,,,1060101,土地1建物1車位0,一層,一層,其他,住家用,見其他登記事項,0151015,20.86,0,0,0,無,無,1200000,57526,,0.0,0,一樓平房,RPPNMLNLJHMFFAW56CA
金寧鄉,房地(土地+建物),金門縣金寧鄉湖南1~30號,53.75,其他,,,1051101,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050830,83.77,3,2,2,有,無,5180000,61836,,0.0,0,,RPTNMLNLJHMFFAW96CA
金城鎮,房地(土地+建物),金門縣金城鎮伯玉路一段211~240號,95.45,其他,,,1051201,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051027,245.98,4,2,5,有,無,7200000,29271,,0.0,0,84年間已付訂金及議定總價款。,RPUNMLNLJHMFFAW07CA
金寧鄉,土地,寧湖三劃段631~660地號,15.0,農,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000,1000,,0.0,0,,RPPNMLOKKHMFFAW76DA
金湖鎮,土地,新頭段211~240地號,2148.52,其他,,,1060101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,4654,,0.0,0,,RPPNMLQKKHMFFAW96DA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村511~540號,42.43,住,,,1051201,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041230,69.32000000000001,2,2,2,有,無,3900000,56261,,0.0,0,,RPQNMLNKKHMFFAW66CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村511~540號,42.43,住,,,1051201,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041230,71.66,2,2,2,有,無,3700000,51633,,0.0,0,,SPQNMLNKKHMFFAW76CA
金湖鎮,房地(土地+建物),金門縣金湖鎮料羅新村511~540號,42.43,住,,,1051201,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1041230,71.66,2,2,2,有,無,3700000,51633,,0.0,0,,TPQNMLNKKHMFFAW86CA
金寧鄉,房地(土地+建物),金門縣金寧鄉盤果路1~30號,59.71,住,,,1060101,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051123,94.99,3,2,2,有,無,6390000,67270,,0.0,0,,RPQNMLOKKHMFFAW76CA
金沙鎮,房地(土地+建物),金門縣金沙鎮沙美181~210號,32.77,住,,,1060101,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051018,50.91,2,1,1,有,無,2750000,54017,,0.0,0,,RPQNMLQJKHMFFAW96DA
金城鎮,土地,吳厝村段121~150地號,49.67,其他,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,496700,10000,,0.0,0,,RPOOMLPLJHMFFAW86DA
金寧鄉,房地(土地+建物),金門縣金寧鄉盤果路1~30號,59.71,住,,,1060101,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051123,107.86,3,1,2,有,無,5880000,54515,,0.0,0,,RPPNMLNJKHMFFAW09CA
金寧鄉,土地,北二三劃測段241~270地號,969.8,農,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,4125,,0.0,0,,RPPNMLQLJHMFFAW86CA
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐331~360號,45.6,其他,,,1051201,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051017,87.91000000000001,3,1,2,有,無,5200000,59151,,0.0,0,,RPQOMLPLJHMFFAW96CA
金湖鎮,車位,金門縣金湖鎮市港三路211~240號,0.0,,,,1051201,土地0建物0車位1,,,其他,,,,32.4,0,0,0,有,無,900000,,坡道平面,32.4,900000,,RPTOMLPLJHMFFAW27CA
金湖鎮,房地(土地+建物),金門縣金湖鎮湖前31~60號,106.25,其他,,,1051201,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051018,146.57,4,2,4,有,無,8000000,54581,,0.0,0,,RPRNMLSJLHMFFAW37DA
金湖鎮,房地(土地+建物),金門縣金湖鎮塔后31~60號,44.33,其他,,,1060101,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0961024,90.94999999999999,3,2,2,有,無,5200000,57174,,0.0,0,,RPRNMLQJKHMFFAW07DA
金湖鎮,房地(土地+建物),金門縣金湖鎮湖前31~60號,106.25,其他,,,1051201,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051018,146.85,4,2,4,有,無,8000000,54477,,0.0,0,,RPUOMLPLJHMFFAW37CA
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡151~180號,83.0,其他,,,1051201,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050413,130.9,3,2,2,有,無,10000000,76394,,0.0,0,,RPWOMLPLJHMFFAW57CA
金湖鎮,土地,湖前段1321~1350地號,212.5,其他,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9600000,45176,,0.0,0,,RPSOMLPLJHMFFAW17CA
金寧鄉,房地(土地+建物),金門縣金寧鄉安岐121~150號,249.88,農,,,1060101,土地1建物1車位0,一層，二層，屋頂突出物,二層,農舍,農舍,鋼筋混凝土造,1031106,146.99,5,1,4,有,無,1158868,,,0.0,0,二親等買賣,RPPNMLMJKHMFFAW98CA
金城鎮,土地,吳厝村段121~150地號,116.3,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,8598,,0.0,0,,RPSNMLMJKHMFFAW66CA
金湖鎮,房地(土地+建物),金門縣金湖鎮山外里下莊光武路1~30號,64.0,其他,,,1060101,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0690226,134.82,4,2,2,有,無,4399000,32629,,0.0,0,買賣雙方之仲介費皆由買方付買方支付總金額為460萬含稅及代書費,RPPNMLQJKHMFFAW76CA
金沙鎮,房地(土地+建物),金門縣金沙鎮沙美181~210號,43.36,住,,,1060101,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1051018,67.42,2,2,1,有,無,3800000,56363,,0.0,0,,RPQNMLMJKHMFFAW56DA
金城鎮,土地,水頭段961~990地號,277.12,農,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,2346,,0.0,0,,RPRNMLMJKHMFFAW66DA
金湖鎮,土地,小徑段181~210地號,1354.48,其他,,,1060101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1847418,1364,,0.0,0,,RPPNMLKKKHMFFAW88CA
金沙鎮,土地,擎天段1021~1050地號,1494.78,農,,,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2242185,1500,,0.0,0,,RPQNMLKKKHMFFAW98CA
金沙鎮,土地,擎天段1111~1140地號,450.15,其他,,,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,805428,1789,,0.0,0,,RPRNMLKKKHMFFAW09CA
