編號,車位類別,車位價格,車位面積平方公尺
RPPNMLMJJHMFFCA07CC,升降機械,0,
RPRNMLMJJHMFFCA27CC,坡道平面,3000,30.48
RPRNMLMJJHMFFCA27CC,坡道平面,3000,30.48
RPRNMLMJJHMFFCA27CC,坡道平面,3000,30.48
RPUOMLNJJHMFFCA77CC,坡道平面,0,34.48
RPUOMLNJJHMFFCA77CC,坡道平面,0,34.48
RPUOMLNJJHMFFCA77CC,坡道平面,0,34.48
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPQOMLNJJHMFFDA47CC,坡道平面,0,
RPOPMLNJJHMFFDA37CC,坡道平面,0,
RPSNMLOJJHMFFEA77CC,一樓平面,0,
RPPOMLOJJHMFFEA57CC,坡道平面,0,
RPOOMLOJJHMFFDA37CC,坡道平面,0,39.68
RPSNMLOJJHMFFCA57CC,坡道平面,0,43.78
RPQPMLOJJHMFFCA57CC,坡道平面,0,40.70
RPQPMLOJJHMFFCA57CC,坡道平面,0,40.70
RPQPMLOJJHMFFCA57CC,坡道平面,0,40.83
RPQPMLOJJHMFFCA57CC,坡道平面,0,40.83
RPTOMLPJJHMFFCA87CC,坡道平面,0,
RPTOMLPJJHMFFCA87CC,坡道平面,0,
RPTOMLPJJHMFFCA87CC,坡道平面,0,
RPTOMLPJJHMFFCA87CC,坡道平面,0,
RPTOMLPJJHMFFCA87CC,坡道平面,0,
RPRNMLPJJHMFFFA87CC,坡道平面,0,
RPROMLQJJHMFFAA57CC,坡道平面,0,37.30
RPTNMLSJJHMFFDA18CC,升降平面,0,33.48
RPOOMLTJJHMFFCA77CC,坡道平面,0,24.33
RPOOMLTJJHMFFCA77CC,坡道平面,0,24.33
RPWOMLTJJHMFFCA58CC,升降機械,0,28.15
RPRPMLTJJHMFFCA18CC,坡道平面,0,21.40
RPWNMLTJJHMFFFA78CC,升降機械,0,14.90
RPWNMLTJJHMFFFA78CC,升降機械,0,14.90
RPTOMLKKJHMFFEA67CC,坡道平面,0,36.19
RPUPMLKKJHMFFEA87CC,坡道平面,0,48.50
RPXOMLKKJHMFFCA97DC,坡道平面,0,33.00
RPXOMLKKJHMFFCA97DC,坡道平面,0,33.00
RPXOMLKKJHMFFCA97DC,坡道平面,0,33.00
RPOOMLKKJHMFFCA96CC,坡道平面,0,40.83
RPOOMLKKJHMFFCA96CC,坡道平面,0,40.83
RPTNMLKKJHMFFDA47CC,坡道平面,0,
RPVNMLLKJHMFFDA77CC,坡道平面,0,
RPVNMLLKJHMFFDA77CC,坡道平面,0,
RPTNMLLKJHMFFCA47CC,坡道平面,0,29.77
RPTNMLLKJHMFFCA47CC,坡道平面,0,29.77
RPXOMLLKJHMFFCA97CC,坡道平面,0,
RPXPMLLKJHMFFCA08CC,坡道平面,0,12.87
RPSNMLMKJHMFFBA37CC,坡道機械,0,
RPTQMLMKJHMFFEA08CC,升降平面,0,
RPROMLMKJHMFFCA47CC,坡道平面,0,39.20
RPSOMLMKJHMFFCA57CC,坡道平面,0,52.12
RPSOMLMKJHMFFCA57CC,坡道平面,0,52.12
RPSOMLMKJHMFFCA57CC,坡道平面,0,52.12
RPVOMLMKJHMFFCA87CC,坡道平面,0,
RPPPMLMKJHMFFCA37CC,坡道平面,0,33.76
RPROMLMKJHMFFDA57CC,坡道平面,0,
RPTOMLMKJHMFFDA77CC,坡道平面,5000,10.57
RPPPMLNKJHMFFDA57CC,坡道平面,0,
RPPPMLNKJHMFFDA57CC,坡道平面,0,
RPRNMLNKJHMFFCA47CC,坡道機械,0,32.70
RPPOMLNKJHMFFCA37CC,坡道平面,0,
RPPOMLNKJHMFFCA37CC,坡道平面,0,
RPPOMLNKJHMFFCA37CC,坡道平面,0,
RPWOMLNKJHMFFFA38CC,升降機械,0,16.35
RPRPMLNKJHMFFFA97CC,坡道平面,8000,35.01
RPTNMLNKJHMFFEA87CC,坡道平面,0,
RPWNMLNKJHMFFEA18CC,升降機械,0,5.60
RPWNMLNKJHMFFEA18CC,升降機械,0,3.02
RPSOMLQKJHMFFDA08CC,坡道平面,0,
RPOQMLQKJHMFFCA77CC,坡道平面,0,8.42
RPOQMLQKJHMFFCA77CC,坡道平面,0,8.42
RPOQMLQKJHMFFCA77CC,坡道平面,0,8.42
RPXNMLRKJHMFFCA48CC,坡道平面,0,
RPOPMLSKJHMFFEA08CC,坡道平面,0,
RPOPMLQLJHMFFDA87CC,升降機械,0,16.90
RPXPMLQLJHMFFEA88CC,坡道平面,0,
RPRPMLMJKHMFFCA57CC,坡道平面,0,39.18
RPUNMLNJKHMFFAA57CC,坡道平面,0,52.02
RPXNMLQJKHMFFEA58CC,坡道平面,0,36.91
RPPPMLRJKHMFFFA18CC,坡道平面,0,38.90
RPPPMLRJKHMFFFA18CC,坡道平面,0,38.90
