編號,車位類別,車位價格,車位面積平方公尺
RPQNMLNLKHMFFHL98CA,坡道平面,0,
RPROMLRKJHMFFAB67CA,坡道平面,0,42.17
RPROMLRKJHMFFAB67CA,坡道平面,0,42.17
RPROMLRKJHMFFAB67CA,坡道平面,0,42.17
RPUOMLRKJHMFFAB97CA,坡道平面,0,42.17
RPUOMLRKJHMFFAB97CA,坡道平面,0,42.17
RPUOMLRKJHMFFAB97CA,坡道平面,0,42.17
RPRNMLKKKHMFFHL68CA,坡道平面,0,17.88
RPOPMLPLJHMFFHL09CA,坡道機械,0,
RPQPMLPJJHMFFBB57DA,坡道平面,0,
RPQPMLPJJHMFFBB57DA,坡道平面,0,
RPWNMLLKJHMFFBB67DA,升降機械,0,
RPTNMLMJKHMFFCB57DA,坡道平面,0,21.49
RPWRMLRKJHMFFAB48CA,坡道平面,1200000,35.38
RPVSMLRKJHMFFAB48CA,坡道平面,1200000,35.38
RPPOMLSKJHMFFAB57CA,坡道平面,0,34.22
RPPOMLSKJHMFFAB57CA,坡道平面,0,35.38
RPQOMLSKJHMFFAB67CA,坡道平面,1200000,35.38
RPROMLSKJHMFFAB77CA,坡道平面,1200000,35.38
RPTPMLSKJHMFFAB08CA,坡道平面,1050000,35.38
RPQNMLPKJHMFFAB27CA,升降機械,0,
RPTNMLKKJHMFFAB07CA,坡道平面,0,29.78
RPQOMLLKJHMFFAB96CA,坡道平面,1300000,19.84
RPROMLLKJHMFFAB07CA,坡道平面,1100000,29.77
RPSOMLLKJHMFFAB17CA,坡道平面,1000000,29.77
RPXNMLMKJHMFFAB67CA,坡道機械,0,9.99
RPTPMLOJJHMFFBB67CA,坡道平面,0,23.72
RPTPMLOJJHMFFBB67CA,坡道平面,0,23.72
RPUPMLOJJHMFFBB77CA,坡道機械,450000,15.55
RPWPMLOJJHMFFBB97CA,坡道機械,0,
RPXQMLOJJHMFFBB18CA,坡道平面,0,34.09
RPQOMLPJJHMFFBB37CA,升降機械,0,
RPSNMLTJJHMFFBB87CA,坡道平面,0,
RPRQMLQJJHMFFBB77CA,坡道機械,600000,
RPSOMLKKJHMFFBB17CA,坡道平面,0,
RPTOMLQKJHMFFBB87CA,坡道平面,0,32.04
RPXPMLTKJHMFFBB68CA,坡道平面,0,35.62
RPXPMLTKJHMFFBB68CA,坡道平面,0,35.62
RPSTMLTKJHMFFBB58CA,坡道平面,1400000,34.09
RPUOMLOLJHMFFBB87CA,坡道平面,1300000,42.99
RPQPMLNJJHMFFCB37CA,坡道平面,0,24.42
RPUNMLQJJHMFFCB87CA,坡道平面,0,31.42
RPXPMLTJJHMFFCB68CA,坡道平面,1000000,23.61
RPXNMLTJJHMFFCB48CA,坡道平面,0,39.32
RPROMLLKJHMFFCB27CA,坡道平面,0,
RPWSMLTKJHMFFCB98CA,坡道平面,0,23.99
RPTNMLOKJHMFFAL48CA,坡道平面,1200000,
RPUNMLOKJHMFFAL58CA,坡道平面,1200000,
RPVNMLOKJHMFFAL68CA,坡道平面,1100000,
RPWNMLOKJHMFFAL78CA,坡道平面,1100000,
RPXNMLOKJHMFFAL88CA,坡道平面,1100000,
RPOOMLOKJHMFFAL08CA,坡道平面,1200000,
RPPOMLOKJHMFFAL18CA,坡道平面,1100000,
RPTNMLLLJHMFFAL28CA,坡道機械,0,
RPRNMLQJJHMFFBL48CA,坡道平面,0,
RPROMLQKJHMFFAL58CA,坡道平面,0,
RPROMLQKJHMFFAL58CA,坡道平面,0,
RPRNMLPKJHMFFAL38CA,坡道平面,1100000,
RPROMLOKJHMFFAL38CA,坡道平面,1300000,
RPSOMLOKJHMFFAL48CA,坡道平面,1100000,
RPTOMLOKJHMFFAL58CA,坡道平面,1100000,
RPUOMLOKJHMFFAL68CA,坡道平面,1100000,
RPVOMLOKJHMFFAL78CA,坡道平面,1100000,
RPWOMLOKJHMFFAL88CA,坡道平面,1200000,
RPXOMLOKJHMFFAL98CA,坡道平面,1100000,
RPOPMLOKJHMFFAL18CA,坡道平面,1100000,
RPPPMLOKJHMFFAL28CA,坡道平面,1200000,
RPQPMLOKJHMFFAL38CA,坡道平面,1200000,
RPRPMLOKJHMFFAL48CA,坡道平面,1200000,
RPUPMLOKJHMFFAL78CA,坡道平面,1200000,
RPSNMLPJJHMFFAL38CA,坡道機械,400000,
RPROMLQKJHMFFGL56CA,坡道平面,0,
RPXNMLMKJHMFFGL66CA,坡道平面,1250000,36.04
RPOOMLMKJHMFFGL48CA,坡道平面,1110000,36.04
RPPOMLMKJHMFFGL58CA,坡道平面,1180000,36.04
RPQOMLMKJHMFFGL68CA,坡道平面,0,36.04
RPQOMLMKJHMFFGL68CA,坡道平面,0,36.04
RPROMLMKJHMFFGL78CA,坡道平面,1180000,36.04
RPSOMLMKJHMFFGL88CA,坡道平面,0,36.04
RPSOMLMKJHMFFGL88CA,坡道平面,0,36.04
RPTOMLMKJHMFFGL98CA,坡道平面,0,36.04
RPTOMLMKJHMFFGL98CA,坡道平面,0,36.04
RPUOMLMKJHMFFGL09CA,坡道平面,0,36.04
RPUOMLMKJHMFFGL09CA,坡道平面,0,36.04
RPVOMLMKJHMFFGL56CA,坡道平面,0,36.04
RPVOMLMKJHMFFGL56CA,坡道平面,0,36.04
RPWOMLMKJHMFFGL66CA,坡道平面,0,36.04
RPWOMLMKJHMFFGL66CA,坡道平面,0,36.04
RPXOMLMKJHMFFGL76CA,坡道平面,1250000,36.04
RPOPMLMKJHMFFGL58CA,坡道平面,0,36.04
RPOPMLMKJHMFFGL58CA,坡道平面,0,36.04
RPPPMLMKJHMFFGL68CA,坡道平面,1250000,36.04
RPQPMLMKJHMFFGL78CA,坡道平面,1110000,36.04
RPRPMLMKJHMFFGL88CA,坡道平面,1110000,36.04
RPSPMLMKJHMFFGL98CA,坡道平面,1250000,36.04
RPROMLPJJHMFFGL98CA,坡道平面,0,30.51
RPROMLPJJHMFFGL98CA,坡道平面,0,30.51
RPROMLPJJHMFFFL88CA,坡道機械,0,
RPUNMLKLJHMFFCL48CA,一樓平面,0,
RPVNMLKLJHMFFCL58CA,一樓平面,0,
RPOOMLKLJHMFFCL97CA,一樓平面,0,
RPPNMLKKJHMFFEL08CA,坡道平面,0,23.19
RPVQMLNLJHMFFCB18CA,坡道平面,0,22.57
RPTPMLOLJHMFFCB97CA,坡道平面,0,34.99
RPTQMLOLJHMFFCB08CA,坡道平面,0,34.30
RPTQMLOLJHMFFCB08CA,坡道機械,0,27.22
RPTQMLOLJHMFFCB08CA,坡道機械,0,27.22
RPSOMLTKJHMFFCB18CA,坡道平面,4800000,38.40
RPWPMLTJJHMFFCB58CA,坡道機械,700000,13.92
RPWOMLTJJHMFFCB48CA,坡道平面,0,23.80
RPWOMLTJJHMFFCB48CA,坡道平面,0,23.80
RPPQMLLKJHMFFCB27CA,坡道平面,600000,20.47
RPRNMLMKJHMFFCB27CA,坡道平面,0,16.55
RPRNMLMKJHMFFCB27CA,坡道平面,0,16.55
RPRNMLMKJHMFFCB27CA,坡道平面,0,16.55
RPWOMLQKJHMFFCB28CA,坡道平面,0,23.60
RPPOMLQJJHMFFCB47CA,升降機械,0,13.25
RPXPMLQJJHMFFCB38CA,坡道機械,0,16.10
RPXPMLQJJHMFFCB38CA,坡道機械,0,16.10
RPOQMLQJJHMFFCB57CA,坡道平面,0,16.10
RPPQMLQJJHMFFCB67CA,坡道平面,0,16.10
RPQQMLQJJHMFFCB77CA,坡道平面,0,16.10
RPTNMLPJJHMFFCB67CA,坡道平面,0,16.55
RPWQMLOLJHMFFBB28CA,坡道機械,580000,13.32
RPXQMLOLJHMFFBB38CA,坡道機械,580000,13.32
RPXNMLPLJHMFFBB18CA,坡道機械,0,
RPXNMLPLJHMFFBB18CA,坡道平面,0,
RPXNMLPLJHMFFBB18CA,坡道平面,0,
RPQQMLOLJHMFFBB67CA,坡道平面,1300000,32.82
RPQQMLOLJHMFFBB67CA,坡道平面,1300000,32.82
RPRQMLOLJHMFFBB77CA,坡道平面,1200000,32.82
