鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,房地(土地+建物),基隆市仁愛區獅球路53巷1~30號,30.75,住,,,1051113,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840914,74.68,0,0,0,無,無,2500000,33476,,0.0,0,,RPQNMLSKKHMFFBC08EA
仁愛區,房地(土地+建物),基隆市仁愛區獅球路53巷1~30號,30.75,住,,,1051113,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840914,74.68,0,0,0,無,無,2100000,28120,,0.0,0,,SPQNMLSKKHMFFBC18EA
安樂區,土地,大武崙段內寮小段751~780地號,188.0,住,,,1051114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8814850,46888,,0.0,0,,RPQNMLPJJHMFFCC67EA
暖暖區,房地(土地+建物),基隆市暖暖區東碇路511~540號,20.79,住,,,1051206,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861117,103.78,2,1,1,有,有,4300000,41434,,0.0,0,,RPPNMLTJJHMFFCC97EA
中正區,房地(土地+建物),基隆市中正區新豐街91~120號,27.97,住,,,1051221,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820921,148.43,6,0,6,有,無,5000000,33686,,0.0,0,,RPSNMLPJJHMFFBC57CA
中正區,房地(土地+建物),基隆市中正區義二路179巷1~30號,21.0,商,,,1051207,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600621,37.8,2,1,1,有,無,3600000,95238,,0.0,0,頂樓增建,RPTNMLPJJHMFFBC67CA
中正區,房地(土地+建物),基隆市中正區新豐街91~120號,27.97,住,,,1051221,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820921,146.96,5,0,5,有,無,5000000,34023,,0.0,0,,RPVNMLPJJHMFFBC87CA
中正區,房地(土地+建物),基隆市中正區正義路2巷31~60號,29.78,住,,,1051216,土地5建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740126,123.03,3,2,1,有,無,2200000,17882,,0.0,0,含增建或未登記建物。,RPPNMLQJJHMFFBC37CA
中正區,房地(土地+建物),基隆市中正區中正路271~300號,12.83,商,,,1050808,土地5建物1車位0,六層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691125,52.6,0,0,1,無,無,1080000,20532,,0.0,0,含增建或未登記建物。,RPSNMLQJJHMFFBC67CA
中正區,房地(土地+建物),基隆市中正區中正路121~150號,13.24,商,,,1051214,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741219,119.19,3,2,2,有,有,3500000,29365,,0.0,0,,RPTNMLRKJHMFFBC97CA
中正區,房地(土地+建物),基隆市中正區中正路91~120號,4.45,商,,,1051215,土地2建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0670626,46.63,1,1,1,有,有,1410000,30238,,0.0,0,,RPPNMLSKJHMFFBC67CA
仁愛區,建物,基隆市仁愛區南新街51巷31~60號,0.0,,,,1051216,土地0建物1車位0,一層，停車場,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700611,79.34,3,2,2,有,無,2152600,27131,,0.0,0,,RPPOMLKLJHMFFBC07CA
安樂區,房地(土地+建物),基隆市安樂區中和路85巷31~60號,19.57,其他,,,1051202,土地6建物1車位0,十九層，二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,85.78999999999999,3,1,1,有,有,2300000,26810,,0.0,0,,RPWNMLOJJHMFFCC97CA
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷138弄1~30號,9.95,住,,,1051216,土地2建物1車位0,五層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840811,41.64,1,1,1,有,有,850000,20413,,0.0,0,,RPWNMLPJJHMFFCC08CA
