編號,車位類別,車位價格,車位面積平方公尺
RPPNMLPKKHMFFEE97CA,坡道平面,0,
RPQNMLPKKHMFFEE08CA,坡道平面,0,
RPRNMLPKKHMFFEE18CA,坡道平面,0,
RPSNMLPKKHMFFEE28CA,坡道平面,0,
RPTNMLPKKHMFFEE38CA,坡道平面,0,
RPUNMLPKKHMFFEE48CA,坡道平面,0,
RPVNMLPKKHMFFEE58CA,坡道平面,0,
RPUNMLOLJHMFFEE38CA,坡道機械,1050000,10.55
RPPNMLLLJHMFFEE57CA,坡道平面,0,
RPQNMLLLJHMFFEE67CA,坡道平面,0,
RPRNMLLLJHMFFEE77CA,坡道平面,0,
RPQOMLNLJHMFFEE97CA,坡道平面,0,
RPROMLNLJHMFFEE08CA,坡道平面,0,
RPUOMLNLJHMFFEE38CA,坡道平面,0,
RPWOMLNLJHMFFEE58CA,坡道平面,0,
RPOPMLNLJHMFFEE87CA,坡道平面,0,
RPSOMLRKJHMFFFE58CA,坡道平面,0,
RPQNMLOJJHMFFGE97CA,坡道平面,0,
RPWNMLOJJHMFFGE58CA,坡道平面,0,28.35
RPTNMLOJJHMFFIE48CA,坡道平面,0,
RPSNMLMJKHMFFIE28CA,坡道機械,0,6.85
RPOOMLKKJHMFFLE08CA,坡道機械,0,
RPPNMLOLJHMFFLE58CA,坡道平面,0,
RPWOMLOJJHMFFAE08CA,坡道機械,0,
RPUNMLPJJHMFFAE87CA,坡道平面,0,19.19
RPUNMLPJJHMFFAE87CA,坡道平面,0,19.19
RPUNMLPJJHMFFAE87CA,坡道平面,0,19.19
RPQOMLPJJHMFFAE57CA,升降機械,0,6.01
RPOOMLQJJHMFFAE47CA,坡道平面,0,18.03
RPXNMLMKJHMFFAE97CA,坡道平面,0,
RPSNMLNLJHMFFAE67CA,坡道機械,0,
RPUNMLNLJHMFFAE87CA,坡道平面,0,
RPVNMLNLJHMFFAE97CA,坡道平面,0,
RPRNMLOLJHMFFAE67CA,坡道平面,0,
RPPNMLPJJHMFFBE47CA,坡道平面,0,
RPOOMLKKJHMFFBE07CA,坡道平面,0,34.49
RPOPMLOJJHMFFCE57CA,坡道平面,0,
RPQOMLKKJHMFFCE37CA,坡道平面,0,18.34
RPQNMLMKJHMFFCE47CA,坡道平面,0,20.51
RPRNMLMKJHMFFCE57CA,坡道機械,0,13.32
RPUOMLSKJHMFFCE58CA,坡道平面,0,
RPVNMLOJJHMFFDE18CA,坡道機械,0,
RPQOMLOJJHMFFDE77CA,坡道平面,0,
RPQOMLOJJHMFFDE77CA,坡道機械,0,
RPOPMLRKJHMFFDE08CA,坡道平面,0,21.10
RPSOMLQJJHMFFEE28CA,坡道平面,0,20.16
RPRNMLPJJHMFFEE97CA,坡道平面,1280000,17.81
RPTNMLTJJHMFFEE58CA,坡道平面,0,
RPUNMLTJJHMFFEE68CA,坡道平面,0,20.18
RPXOMLTJJHMFFEE09CA,坡道機械,0,
RPPNMLKKJHMFFEE37CA,坡道平面,0,18.16
RPXNMLKKJHMFFEE18CA,坡道平面,0,
RPSOMLKKJHMFFEE77CA,坡道平面,0,
RPVNMLMKJHMFFEE18CA,坡道機械,0,
RPUNMLRKJHMFFEE58CA,坡道平面,0,15.49
RPQOMLSKJHMFFEE38CA,坡道機械,0,
RPVOMLOJJHMFFEE48DA,一樓平面,0,
RPVNMLQJJHMFFEE58DA,坡道平面,1320000,14.99
RPPOMLPJJHMFFGE18DA,坡道平面,0,
RPVOMLTKJHMFFEE98CA,坡道機械,0,
RPRPMLQKJHMFFEE38CA,坡道機械,0,
RPWPMLMKJHMFFEE48CA,坡道機械,850000,11.76
RPUOMLTJJHMFFEE78CA,坡道機械,0,
RPQNMLTJJHMFFEE28CA,坡道機械,0,
RPRNMLTJJHMFFEE38CA,坡道機械,0,
RPRPMLOJJHMFFEE08CA,坡道平面,0,
RPXOMLOJJHMFFEE58CA,升降機械,0,
RPRRMLNLJHMFFDE28CA,坡道機械,0,
RPOPMLNLJHMFFDE77CA,坡道平面,0,
RPPPMLNLJHMFFDE87CA,坡道機械,0,
