鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
前鎮區,建物,高雄市前鎮區鎮東一街406巷1~30號,0.0,,,,1051203,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671016,56.12,3,2,1,有,無,無,8500,151,,0.0,0,,RPPNMLLJJHMFFCE37CC
前鎮區,房地(土地+建物),高雄市前鎮區瑞吉街1~30號,10.93,住,,,1051205,土地1建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941227,87.1,2,1,1,有,有,無,10000,115,,0.0,0,,RPQNMLMJJHMFFCE57CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路91~120號,33.25,住,,,1051229,土地1建物1車位1,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0930610,217.21,0,0,0,無,有,無,83000,382,坡道平面,16.21,0,,RPPNMLMJJHMFFAE27CC
三民區,土地,鼎泰段一小段331~360地號,230.35,住,,,1051219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,75000,326,,0.0,0,含增建或未登記建物。,RPPNMLMJJHMFFDE57CC
左營區,房地(土地+建物)+車位,高雄市左營區文康路31~60號,15.09,住,,,1051221,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030429,145.72,3,2,2,有,有,有,25000,172,坡道平面,19.8,0,,RPROMLNJJHMFFEE08CC
左營區,房地(土地+建物),高雄市左營區大中二路571~600號,9.98,住,,,1051223,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030528,87.84,2,1,1,有,無,有,15000,171,,0.0,0,,RPSOMLNJJHMFFEE18CC
左營區,房地(土地+建物),高雄市左營區城峰路1~30號,9.24,住,,,1051221,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,92.5,3,2,1,有,有,有,12000,130,,0.0,0,,RPTOMLNJJHMFFEE28CC
左營區,土地,福山段391~420地號,265.95,住,,,1051230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,113,,0.0,0,,RPPPMLNJJHMFFEE97CC
鳳山區,房地(土地+建物),高雄市鳳山區瑞進路35巷9弄1~30號,26.69,住,,,1051225,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750325,79.44,3,2,1,有,無,無,7000,88,,0.0,0,,RPSRMLNJJHMFFGE68CC
鳳山區,房地(土地+建物),高雄市鳳山區國興街1~30號,26.9,住,,,1060102,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,73.65,3,2,2,有,無,有,8000,109,,0.0,0,,RPQSMLNJJHMFFGE58CC
岡山區,房地(土地+建物),高雄市岡山區後興北路39巷1~30號,74.0,商,,,1051225,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0770115,273.95,5,2,4,有,無,無,23000,84,,0.0,0,,RPVNMLNJJHMFFFE48CC
大社區,土地,興農段391~420地號,363.64,農,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,82,,0.0,0,含增建或未登記建物。,RPTNMLNJJHMFFIE58CC
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路31~60號,8.37,商,,,1051221,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050803,84.92,2,1,1,有,無,有,23000,271,,0.0,0,,RPRNMLNJJHMFFAE57CC
