編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLLJJHMFFCE37CC,38,56.12,,鋼筋混凝土造,67年10月16日,五層,
RPQNMLMJJHMFFCE57CC,11,87.10,住家用,鋼筋混凝土造,94年12月27日,十三層,
RPPNMLMJJHMFFAE27CC,13,161.09,商業用,鋼筋混凝土造,93年6月10日,十四層,
RPPNMLMJJHMFFAE27CC,13,56.12,共有部分,鋼筋混凝土造,93年6月10日,十四層,
RPROMLNJJHMFFEE08CC,3,67.17,住家用,鋼筋混凝土造,103年4月29日,十三層,
RPROMLNJJHMFFEE08CC,3,10.35,住家用,鋼筋混凝土造,103年4月29日,十三層,
RPROMLNJJHMFFEE08CC,3,68.20,見其它登記事項,鋼筋混凝土造,103年4月29日,十三層,
RPSOMLNJJHMFFEE18CC,3,49.75,住家用,見其它登記事項,103年5月28日,十五層,
RPSOMLNJJHMFFEE18CC,3,7.28,住家用,見其它登記事項,103年5月28日,十五層,
RPSOMLNJJHMFFEE18CC,3,30.81,見其它登記事項,見其它登記事項,103年5月28日,十五層,
RPTOMLNJJHMFFEE28CC,9,55.95,住家用,鋼筋混凝土造,97年4月10日,十五層,
RPTOMLNJJHMFFEE28CC,9,8.84,住家用,鋼筋混凝土造,97年4月10日,十五層,
RPTOMLNJJHMFFEE28CC,9,27.71,共有部分,鋼筋混凝土造,97年4月10日,十五層,
RPSRMLNJJHMFFGE68CC,31,79.44,住家用,鋼筋混凝土造,75年3月25日,五層,
RPQSMLNJJHMFFGE58CC,35,73.65,住家用,鋼筋混凝土造,70年12月30日,五層,
RPVNMLNJJHMFFFE48CC,29,273.95,住商用,鋼筋混凝土造,77年1月15日,四層,
RPRNMLNJJHMFFAE57CC,,51.85,見其它登記事項,見其它登記事項,105年8月3日,十三層,
RPRNMLNJJHMFFAE57CC,,4.20,見其它登記事項,見其它登記事項,105年8月3日,十三層,
RPRNMLNJJHMFFAE57CC,,28.87,見其它登記事項,見其它登記事項,105年8月3日,十三層,
RPSNMLNJJHMFFAE67CC,3,120.05,住家用,鋼筋混凝土造,102年8月5日,二十四層,
RPSNMLNJJHMFFAE67CC,3,16.03,住家用,鋼筋混凝土造,102年8月5日,二十四層,
RPSNMLNJJHMFFAE67CC,3,80.68,見其它登記事項,鋼筋混凝土造,102年8月5日,二十四層,
RPOOMLNJJHMFFAE37CC,28,49.28,住家用,鋼筋混凝土造,77年12月19日,十二層,
RPRNMLNJJHMFFCE77CC,39,157.22,住家用,鋼筋混凝土造,67年6月1日,四層,
RPVNMLNJJHMFFCE18CC,7,58.22,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPVNMLNJJHMFFCE18CC,7,10.74,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPVNMLNJJHMFFCE18CC,7,42.01,見其它登記事項,鋼筋混凝土造,98年12月24日,十九層,
RPQNMLNJJHMFFBE57CC,1,57.67,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPQNMLNJJHMFFBE57CC,1,3.76,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPQNMLNJJHMFFBE57CC,1,63.33,共有部分,鋼筋混凝土造,104年10月23日,十五層,
RPRNMLNJJHMFFBE67CC,8,34.10,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPRNMLNJJHMFFBE67CC,8,3.74,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPRNMLNJJHMFFBE67CC,8,9.40,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPSNMLNJJHMFFBE77CC,20,239.20,住家用,鋼筋混凝土造,86年4月30日,二十八層,
RPSNMLNJJHMFFBE77CC,20,16.86,住家用,鋼筋混凝土造,86年4月30日,二十八層,
RPSNMLNJJHMFFBE77CC,20,131.84,見使用執照,鋼筋混凝土造,86年4月30日,二十八層,
