編號,車位類別,車位價格,車位面積平方公尺
SPSUMLLLKHMFFEF09EA,坡道平面,1000000,39.34
TPSUMLLLKHMFFEF56EA,坡道平面,900000,39.34
VPSUMLLLKHMFFEF76EA,坡道平面,1100000,39.34
VPSUMLLLKHMFFEF76EA,坡道平面,1000000,39.34
WPSUMLLLKHMFFEF86EA,坡道平面,700000,39.34
XPSUMLLLKHMFFEF96EA,坡道平面,1450000,39.34
RPQNMLPKKHMFFHF68EA,坡道平面,0,32.61
RPWQNLRKKHMFFBF09CA,坡道平面,0,
RPQPMLOKJILFFBF87CA,坡道平面,0,45.22
RPQPMLOKJILFFBF87CA,坡道平面,0,45.22
RPORMLNKKHMFFBF87CA,坡道平面,0,26.80
RPSOMLRKKHMFFAF48EA,坡道平面,0,33.95
SPSOMLRKKHMFFAF58EA,坡道平面,0,33.95
TPSOMLRKKHMFFAF68EA,坡道平面,0,33.95
UPSOMLRKKHMFFAF78EA,坡道平面,0,33.95
VPSOMLRKKHMFFAF88EA,坡道平面,0,33.95
RPTPMLNKKILFFEF68EA,坡道平面,1300000,21.77
RPTPMLNKKILFFEF68EA,坡道平面,1200000,20.74
RPUPMLNKKILFFEF78EA,坡道平面,1300000,21.77
RPUPMLNKKILFFEF78EA,坡道平面,1200000,20.74
RPVPMLNKKILFFEF88EA,坡道平面,1200000,21.77
RPVPMLNKKILFFEF88EA,坡道平面,1200000,21.77
RPWPMLNKKILFFEF98EA,坡道平面,1300000,21.77
RPWPMLNKKILFFEF98EA,坡道平面,1200000,20.74
RPXPMLNKKILFFEF09EA,坡道平面,1300000,21.77
RPXPMLNKKILFFEF09EA,坡道平面,1200000,20.74
RPOQMLNKKILFFEF28EA,坡道平面,1200000,20.74
RPOQMLNKKILFFEF28EA,坡道平面,1300000,21.77
RPVPMLKKKILFFEF38CA,坡道平面,1200000,21.77
RPVPMLKKKILFFEF38CA,坡道平面,1100000,20.74
RPQQMLKKKILFFEF97CA,坡道平面,1300000,21.77
RPQQMLKKKILFFEF97CA,坡道平面,1300000,21.77
RPRQMLKKKILFFEF08CA,坡道平面,1200000,21.77
RPRQMLKKKILFFEF08CA,坡道平面,1200000,21.77
RPSQMLKKKILFFEF18CA,坡道平面,1100000,20.74
RPSQMLKKKILFFEF18CA,坡道平面,1200000,21.77
RPTQMLKKKILFFEF28CA,坡道平面,1200000,21.77
RPTQMLKKKILFFEF28CA,坡道平面,1200000,21.77
RPUQMLKKKILFFEF38CA,坡道平面,1100000,20.74
RPUQMLKKKILFFEF38CA,坡道平面,1100000,20.74
RPVRMLKKKILFFEF58CA,坡道平面,1300000,21.77
RPVRMLKKKILFFEF58CA,坡道平面,1300000,21.77
RPWRMLKKKILFFEF68CA,坡道平面,1200000,20.74
RPWRMLKKKILFFEF68CA,坡道平面,1200000,20.74
RPXRMLKKKILFFEF78CA,坡道平面,1200000,21.77
RPXRMLKKKILFFEF78CA,坡道平面,1200000,21.77
RPOSMLKKKILFFEF97CA,坡道平面,1200000,21.77
RPOSMLKKKILFFEF97CA,坡道平面,1200000,21.77
RPPSMLKKKILFFEF08CA,坡道平面,1200000,21.77
RPPSMLKKKILFFEF08CA,坡道平面,1200000,21.77
RPWTMLKKKILFFEF88CA,坡道平面,1300000,21.77
RPWTMLKKKILFFEF88CA,坡道平面,1300000,21.77
