鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.73,住,,,1050119,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.4,3,2,2,有,無,8800000,58526,坡道平面,21.96,1400000,,RPUNMLMKJHMFFIF68CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1050423,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8360000,54421,坡道平面,21.96,1350000,,RPVNMLMKJHMFFIF78CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1050403,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8500000,55508,坡道平面,21.96,1350000,,RPWNMLMKJHMFFIF88CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1050508,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8500000,55508,坡道平面,21.96,1350000,,RPXNMLMKJHMFFIF98CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1050626,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8850000,57837,坡道平面,21.96,1400000,,RPOOMLMKJHMFFIF18CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1041026,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8750000,57449,坡道平面,21.96,1350000,,RPQOMLMKJHMFFIF38CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1041010,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8880000,58070,坡道平面,21.96,1400000,,RPROMLMKJHMFFIF48CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1050528,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,9100000,60166,坡道平面,21.96,1350000,,RPOPMLMKJHMFFIF28CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1041226,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.77,3,2,2,有,無,8950000,59002,坡道平面,21.96,1350000,,RPOPMLNKJHMFFIF38CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,23.96,住,,,1050521,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.51,2,1,1,有,無,7780000,60445,坡道平面,21.96,1400000,,RPUPMLNKJHMFFIF98CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.3,住,,,1050619,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.58,3,2,2,有,無,8200000,53675,坡道平面,21.96,1350000,,RPVPMLNKJHMFFIF09CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.3,住,,,1050501,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.51,3,2,2,有,無,8100000,53283,坡道平面,19.89,1300000,,RPWPMLNKJHMFFIF56CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.3,住,,,1050306,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.51,3,2,2,有,無,8030000,52343,坡道平面,19.89,1350000,,RPXPMLNKJHMFFIF66CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.3,住,,,1050528,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.58,3,2,2,有,無,8250000,54067,坡道平面,21.96,1350000,,RPQQMLNKJHMFFIF68CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.58,住,,,1050515,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.7,3,2,2,有,無,9030000,59623,坡道平面,19.89,1350000,,RPSQMLNKJHMFFIF88CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.3,住,,,1050110,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.58,3,2,2,有,無,8200000,53675,坡道平面,21.96,1350000,,RPTQMLNKJHMFFIF98CB
三峽區,房地(土地+建物)+車位,中園段31~60地號,29.3,住,,,1050508,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.58,3,2,2,有,無,8400000,55242,坡道平面,21.96,1350000,,RPUQMLNKJHMFFIF09CB
