編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLMKJHMFFIF68CB,中園段,29.73,都市：住
RPVNMLMKJHMFFIF78CB,中園段,29.58,都市：住
RPWNMLMKJHMFFIF88CB,中園段,29.58,都市：住
RPXNMLMKJHMFFIF98CB,中園段,29.58,都市：住
RPOOMLMKJHMFFIF18CB,中園段,29.58,都市：住
RPQOMLMKJHMFFIF38CB,中園段,29.58,都市：住
RPROMLMKJHMFFIF48CB,中園段,29.58,都市：住
RPOPMLMKJHMFFIF28CB,中園段,29.58,都市：住
RPOPMLNKJHMFFIF38CB,中園段,29.58,都市：住
RPUPMLNKJHMFFIF98CB,中園段,23.96,都市：住
RPVPMLNKJHMFFIF09CB,中園段,29.30,都市：住
RPWPMLNKJHMFFIF56CB,中園段,29.30,都市：住
RPXPMLNKJHMFFIF66CB,中園段,29.30,都市：住
RPQQMLNKJHMFFIF68CB,中園段,29.30,都市：住
RPSQMLNKJHMFFIF88CB,中園段,29.58,都市：住
RPTQMLNKJHMFFIF98CB,中園段,29.30,都市：住
RPUQMLNKJHMFFIF09CB,中園段,29.30,都市：住
RPVQMLNKJHMFFIF56CB,中園段,29.30,都市：住
RPWQMLNKJHMFFIF66CB,中園段,29.30,都市：住
RPORMLNKJHMFFIF58CB,中園段,29.30,都市：住
RPPRMLNKJHMFFIF68CB,中園段,29.15,都市：住
RPRRMLNKJHMFFIF88CB,中園段,23.67,都市：住
RPTRMLNKJHMFFIF09CB,中園段,29.30,都市：住
RPWRMLNKJHMFFIF76CB,中園段,29.30,都市：住
RPXRMLNKJHMFFIF86CB,中園段,29.15,都市：住
RPOSMLNKJHMFFIF68CB,中園段,29.30,都市：住
RPQSMLNKJHMFFIF88CB,中園段,29.30,都市：住
RPRSMLNKJHMFFIF98CB,中園段,29.30,都市：住
RPSSMLNKJHMFFIF09CB,中園段,29.30,都市：住
RPWSMLNKJHMFFIF86CB,中園段,29.15,都市：住
