編號,車位類別,車位價格,車位面積平方公尺
RPUNMLMKJHMFFIF68CB,坡道平面,1400000,21.96
RPVNMLMKJHMFFIF78CB,坡道平面,1350000,21.96
RPWNMLMKJHMFFIF88CB,坡道平面,1350000,21.96
RPXNMLMKJHMFFIF98CB,坡道平面,1350000,21.96
RPOOMLMKJHMFFIF18CB,坡道平面,1400000,21.96
RPQOMLMKJHMFFIF38CB,坡道平面,1350000,21.96
RPROMLMKJHMFFIF48CB,坡道平面,1400000,21.96
RPOPMLMKJHMFFIF28CB,坡道平面,1350000,21.96
RPOPMLNKJHMFFIF38CB,坡道平面,1350000,21.96
RPUPMLNKJHMFFIF98CB,坡道平面,1400000,21.96
RPVPMLNKJHMFFIF09CB,坡道平面,1350000,21.96
RPWPMLNKJHMFFIF56CB,坡道平面,1300000,19.89
RPXPMLNKJHMFFIF66CB,坡道平面,1350000,19.89
RPQQMLNKJHMFFIF68CB,坡道平面,1350000,21.96
RPSQMLNKJHMFFIF88CB,坡道平面,1350000,19.89
RPTQMLNKJHMFFIF98CB,坡道平面,1350000,21.96
RPUQMLNKJHMFFIF09CB,坡道平面,1350000,21.96
RPVQMLNKJHMFFIF56CB,坡道平面,1350000,21.96
RPWQMLNKJHMFFIF66CB,坡道平面,1350000,21.96
RPORMLNKJHMFFIF58CB,坡道平面,1300000,19.89
RPPRMLNKJHMFFIF68CB,坡道平面,1400000,21.96
RPRRMLNKJHMFFIF88CB,坡道平面,1350000,21.96
RPTRMLNKJHMFFIF09CB,坡道平面,1300000,19.89
RPWRMLNKJHMFFIF76CB,坡道平面,1350000,21.96
RPOSMLNKJHMFFIF68CB,坡道平面,1350000,21.96
RPQSMLNKJHMFFIF88CB,坡道平面,1400000,21.96
RPRSMLNKJHMFFIF98CB,坡道平面,1400000,21.96
RPSSMLNKJHMFFIF09CB,坡道平面,1300000,19.89
RPWSMLNKJHMFFIF86CB,坡道平面,1400000,21.96
