鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
三重區,建物,新北市三重區重陽路一段121~150號,0.0,商,,,1051115,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670601,164.0,4,2,2,有,無,無,25000,152,,0.0,0,,RPQOMLRJKILFFGF78CC
永和區,建物,新北市永和區仁愛路91~120號,0.0,住,,,1051014,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住家用,鋼筋混凝土造,0651022,118.06,2,1,2,有,無,無,55000,466,,0.0,0,,RPRPMLSJKILFFHF56CC
新莊區,房地(土地+建物),新北市新莊區建安街91~120號,483.54,住,,,1051129,土地4建物6車位0,見其他登記事項,2,店面(店鋪),商業用,鋼筋混凝土造,0690123,770.79,0,0,0,無,無,無,230000,298,,0.0,0,,RPQPMLMKKILFFBF08DC
永和區,房地(土地+建物),新北市永和區永和路一段61~90號,119.59,商,,,1051212,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0570313,234.89,0,0,0,無,無,無,70000,298,,0.0,0,,RPSOMLNKKILFFHF88DC
樹林區,房地(土地+建物),新北市樹林區保安街一段211~240號,155.95,工,,,1051201,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0741216,361.92,0,0,0,無,無,無,50000,138,,0.0,0,增建約10坪(謄本登記總面積317.34平方公尺)105.12.23起租,RPWNMLNKKILFFIF76EC
淡水區,房地(土地+建物),新北市淡水區民權路1~30號,6.69,工,,,1051203,土地1建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,63.42,0,0,0,無,有,有,18000,284,,0.0,0,,RPRNMLLJJHMFFEF87CC
淡水區,房地(土地+建物),新北市淡水區新民街76巷31~60號,21.49,住,,,1051217,土地2建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870901,113.71,3,2,2,有,有,無,13000,114,,0.0,0,,RPSNMLLJJHMFFEF97CC
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路二段1~30號,14.86,住,,,1051220,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010731,115.8,2,2,1,有,有,無,15000,130,坡道平面,31.45,0,,RPTNMLLJJHMFFEF08CC
淡水區,房地(土地+建物),新北市淡水區民族路151~180號,30.62,住,,,1051220,土地5建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971016,121.04,3,2,2,有,無,有,21000,173,,0.0,0,,RPUNMLLJJHMFFEF18CC
板橋區,房地(土地+建物),新北市板橋區中山路二段148巷1~30號,0.0,住,,,1051229,土地1建物1車位0,全,2,透天厝,住家用,磚造,0570401,124.66,0,0,0,無,無,無,28000,225,,0.0,0,,RPQNMLMJJHMFFAF47CC
汐止區,房地(土地+建物),新北市汐止區大同路二段184巷1~30號,0.0,住,,,1051231,土地2建物1車位0,八層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,92.49,1,2,1,有,有,有,16500,178,,0.0,0,,RPPNMLMJJHMFFDF67CC
汐止區,房地(土地+建物),新北市汐止區中興路31~60號,60.0,工,,,1060101,土地1建物2車位0,七層,8,工廠,工業用,鋼筋混凝土造,0780606,1004.02,0,0,0,無,無,無,151000,,,0.0,0,,RPQNMLMJJHMFFDF77CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段91~120號,29.68,工,,,1060101,土地1建物1車位1,十五層,36,廠辦,工業用,見其他登記事項,1031013,409.55,0,0,0,無,有,無,79000,203,坡道平面,37.1,3500,,RPRNMLMJJHMFFDF87CC
汐止區,建物,新北市汐止區大同路一段211~240號,0.0,其他,,,1051026,土地0建物1車位0,七層,17,廠辦,工業用,鋼筋混凝土造,1010919,334.32,0,0,0,無,有,無,63711,191,,0.0,0,,RPSNMLNJJHMFFDF08CC
汐止區,房地(土地+建物),新北市汐止區大同路二段184巷1~30號,0.0,住,,,1060102,土地2建物1車位0,十八層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,92.49,2,2,1,有,有,有,18000,195,,0.0,0,,RPUNMLNJJHMFFDF28CC
汐止區,房地(土地+建物),新北市汐止區大同路二段241~270號,0.0,住,,,1060102,土地1建物1車位0,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,124.89,3,2,2,有,有,無,25000,200,,0.0,0,,RPWNMLNJJHMFFDF48CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,17.45,工,,,1051230,土地1建物1車位2,九層,20,廠辦,工商用,鋼造,0830330,262.44,0,0,0,無,有,有,45000,171,坡道平面,0.0,0,,RPTRMLNJJHMFFDF58CC
汐止區,房地(土地+建物)+車位,新北市汐止區大同路一段151~180號,16.51,工,,,1051208,土地1建物1車位1,三層,14,廠辦,工業用,鋼筋混凝土造,0830115,134.76999999999998,0,0,0,無,有,有,25000,186,坡道平面,0.0,0,分租,RPURMLNJJHMFFDF68CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段91~120號,6.19,工,,,1051205,土地1建物1車位0,十六層,26,廠辦,工業用,鋼造,0831222,89.26,0,0,0,無,有,無,15000,168,,0.0,0,分租,RPVRMLNJJHMFFDF78CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,17.45,工,,,1051228,土地1建物1車位2,十六層,20,廠辦,工商用,鋼造,0830330,267.18,0,0,0,無,有,無,46876,175,坡道平面,0.0,0,,RPWRMLNJJHMFFDF88CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段481~510號,20.11,商,,,1051213,土地1建物1車位1,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960705,216.45999999999998,0,0,0,無,有,無,70000,323,坡道平面,27.19,0,含管理費、稅金等費用。,RPXPMLNJJHMFFBF58CC
林口區,房地(土地+建物),新北市林口區文化二路一段68巷1~30號,10.65,住,,,1051205,土地1建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840705,71.96000000000001,1,2,1,有,有,有,11000,153,,0.0,0,,RPQQMLNJJHMFFBF97CC
五股區,房地(土地+建物),新北市五股區五工三路91~120號,2586.99,,工業區,丁種建築用地,1051221,土地1建物1車位0,見其他登記事項,2,工廠,工業用,見其他登記事項,0960409,1178.38,0,0,0,無,有,無,340000,,,0.0,0,,RPSQMLNJJHMFFBF18CC
新店區,建物,新北市新店區中正路631~660號,0.0,住,,,1051228,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880804,38.97,2,1,1,有,有,無,18500,475,,0.0,0,,RPOPMLNJJHMFFCF77CC
中和區,建物,新北市中和區連勝街1~30號,0.0,住,,,1051224,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891115,154.14,4,2,2,有,有,無,33488,217,,0.0,0,,RPTPMLNJJHMFFHF78CC
永和區,建物,新北市永和區中和路421~450號,0.0,商,,,1051225,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900430,112.14,3,2,2,有,有,無,24000,214,,0.0,0,,RPVPMLNJJHMFFHF98CC
中和區,房地(土地+建物)+車位,新北市中和區中原五街31~60號,24.96,住,,,1051228,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1040721,129.26999999999998,2,1,1,有,有,無,35000,271,升降機械,21.39,0,,RPPQMLNJJHMFFHF48CC
板橋區,房地(土地+建物)+車位,新北市板橋區龍泉街90巷1~30號,18.13,住,,,1051125,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870402,114.67,2,2,1,有,有,有,20000,266,升降平面,47.07,0,,RPPOMLNJJHMFFAF77EC
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路1~30號,3.26,住,,,1051016,土地1建物1車位1,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970909,60.06999999999999,1,1,1,有,有,有,16500,275,坡道機械,6.73,0,,RPXNMLOJJHMFFEF98EC
汐止區,房地(土地+建物),新北市汐止區樟樹一路120巷1~30號,26.95,住,,,1051215,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800809,116.84,4,0,2,有,有,有,31786,272,,0.0,0,,RPQOMLOJJHMFFDF18DC
中和區,建物,新北市中和區景安路132巷1~30號,0.0,住,,,1051231,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0980929,175.47,3,3,3,有,有,無,45000,256,,0.0,0,"此案承租為12樓+13樓有一約定專用,非屬權狀範圍之車位",RPVOMLOJJHMFFHF98CC
新店區,建物,新北市新店區三民路117巷2弄1~30號,0.0,住,,,1051212,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,85.59,3,2,1,有,無,無,16000,187,,0.0,0,,RPRNMLOJJHMFFCF97CC
新店區,房地(土地+建物),新北市新店區安興路1~30號,8.9,其他,,,1051229,土地1建物1車位0,地下一層,21,廠辦,見其他登記事項,鋼筋混凝土造,0840513,43.14,0,0,0,無,無,有,20000,464,,0.0,0,,RPOOMLOJJHMFFCF77CC
淡水區,房地(土地+建物),新北市淡水區北新路169巷31~60號,18.75,住,,,1060101,土地1建物1車位0,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851228,117.71,4,1,2,有,有,有,18000,153,,0.0,0,含管理費、網路費費用。,RPVNMLOJJHMFFEF58CC
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段91~120號,39.43,住,,,1050930,土地1建物1車位2,十九層,38,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980610,289.59,3,2,2,有,有,有,60000,207,坡道平面,30.54,0,,RPRPMLOJJHMFFEF38CC
新莊區,建物,新北市新莊區民安西路229巷1~30號,0.0,住,,,1051217,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700407,89.13,3,2,1,有,無,無,11000,123,,0.0,0,,RPTOMLOJJHMFFBF18CC
新莊區,房地(土地+建物),新北市新莊區中正路121~150號,16.2,住,,,1051224,土地2建物1車位0,六層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0790702,138.04,4,1,2,有,有,有,28380,206,,0.0,0,,RPQQMLOJJHMFFBF08CC
新莊區,房地(土地+建物)+車位,新北市新莊區福美街62巷1~30號,27.84,商,,,1051121,土地1建物1車位1,三層,19,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1031120,248.11,0,0,1,有,有,無,37200,150,坡道平面,29.4,0,,RPPSMLOJJHMFFBF18CC
汐止區,房地(土地+建物),新北市汐止區招商街1~30號,42.6,住,,,1060102,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680807,62.74,1,1,1,有,無,有,7200,115,,0.0,0,,RPWOMLOJJHMFFDF68CC
淡水區,房地(土地+建物),新北市淡水區中正東路二段61~90號,2.67,住,,,1060104,土地1建物1車位0,六層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0880704,42.85,1,1,1,有,有,有,11000,257,,0.0,0,,RPRRMLPJJHMFFEF68CC
淡水區,建物,新北市淡水區自強路151~180號,23.07,住,,,1051218,土地0建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840822,33.82,1,0,1,有,有,有,8500,251,,0.0,0,,RPVRMLPJJHMFFEF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段181~210號,64.48,住,,,1051115,土地1建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011101,285.43,3,2,3,有,有,有,36151,140,坡道平面,63.22,5000,,RPRSMLPJJHMFFEF78CC
淡水區,建物,新北市淡水區民權路1~30號,0.0,工,,,1051207,土地0建物1車位0,八層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,65.94,2,1,2,有,有,有,18500,281,,0.0,0,租金含管理費。,RPUNNLPJJHMFFEF68CC
板橋區,房地(土地+建物),新北市板橋區文化路一段361~390號,4.19,住,,,1051211,土地1建物1車位0,二十七層,43,套房(1房1廳1衛),住家用,見其他登記事項,0990715,54.15,1,1,1,有,有,有,23000,425,,0.0,0,租金含管理費,RPVPMLPJJHMFFAF48CC
