編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLRJKILFFGF78CC,38,82.00,住家用,鋼筋混凝土造,67年6月1日,四層,
RPQOMLRJKILFFGF78CC,38,82.00,住家用,鋼筋混凝土造,67年6月1日,四層,
RPRPMLSJKILFFHF56CC,40,118.06,住家用,鋼筋混凝土造,65年10月22日,五層,
RPQPMLMKKILFFBF08DC,37,128.74,商業用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,住家用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,商業用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,住家用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,128.74,住家用,鋼筋混凝土造,69年1月23日,二層,
RPQPMLMKKILFFBF08DC,37,127.09,住家用,鋼筋混凝土造,69年1月23日,二層,
RPSOMLNKKILFFHF88DC,49,234.89,住商用,加強磚造,57年3月13日,三層,
RPWNMLNKKILFFIF76EC,31,361.92,見其他登記事項,鋼筋混凝土造,74年12月16日,三層,
RPRNMLLJJHMFFEF87CC,8,40.72,見其他登記事項,鋼筋混凝土造,97年12月23日,二十四層,
RPRNMLLJJHMFFEF87CC,8,12.99,共有部份,鋼筋混凝土造,97年12月23日,二十四層,
RPRNMLLJJHMFFEF87CC,8,9.71,共有部份,鋼筋混凝土造,97年12月23日,二十四層,
RPSNMLLJJHMFFEF97CC,18,81.63,住家用,鋼筋混凝土造,87年9月1日,六層,
RPSNMLLJJHMFFEF97CC,18,32.08,共有部份,鋼筋混凝土造,87年9月1日,六層,
RPTNMLLJJHMFFEF08CC,4,60.51,住家用,鋼筋混凝土造,101年7月31日,十五層,
RPTNMLLJJHMFFEF08CC,4,41.52,見其他登記事項,鋼筋混凝土造,101年7月31日,十五層,
RPTNMLLJJHMFFEF08CC,4,13.77,見其他登記事項,鋼筋混凝土造,101年7月31日,十五層,
RPUNMLLJJHMFFEF18CC,8,83.01,住家用,鋼筋混凝土造,97年10月16日,七層,
