鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中壢區,房地(土地+建物)+車位,桃園市中壢區青埔五街61~90號,28.92,住,,,1050601,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040822,163.36,3,2,2,有,有,9000000,57808,坡道平面,33.62,1500000,,RPUQMLQKKHMFFBH09EA
中壢區,房地(土地+建物),桃園市中壢區永強街1~30號,75.0,住,,,1050701,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0670412,98.98,3,2,2,有,無,9000000,90927,,0.0,0,屋況有滲漏,RPPRMLOLKHMFFBH58EA
中壢區,房地(土地+建物),桃園市中壢區忠孝路282巷34弄1~30號,51.0,住,,,1050701,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690110,62.4,2,2,2,有,無,5800000,92949,,0.0,0,屋況有滲漏、龜裂,RPQRMLOLKHMFFBH68EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,18.84,住,,,1040401,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,136.84,2,2,2,有,有,8550000,70891,坡道平面,34.57,1300000,,RPUOMLKKKHMFFAH18EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,19.52,住,,,1050101,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,141.8,2,2,2,有,有,8750000,68544,坡道平面,34.57,1400000,,RPVOMLKKKHMFFAH28EA
中壢區,房地(土地+建物),桃園市中壢區莊敬路781~810號,17.47,住,,,1050901,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830623,95.18,3,2,2,有,無,4300000,45178,,0.0,0,因屋況瑕疵及家具費用，賣方折價新台幣伍拾伍萬元正，賣方實收參佰柒拾伍萬元正,RPWQMLQKKHMFFBH66EA
觀音區,房地(土地+建物),桃園市觀音區文化路坑尾段376巷91~120號,1330.0,,特定農業區,農牧用地,1050701,土地10建物1車位0,一層，二層，三層，屋頂突出物,四層,農舍,農舍,鋼筋混凝土造,0940318,229.32,4,2,3,有,無,16850000,,,0.0,0,,RPURMLOLKHMFFBH09EA
中壢區,房地(土地+建物),桃園市中壢區榮民南路361~390號,67.64,住,,,1050901,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700612,76.14,5,2,3,有,無,15500000,203572,,0.0,0,3樓增建(加強磚造)4樓鐵皮雨遮,RPTRMLOLKHMFFBH98EA
復興區,土地,巴陵段421~450地號,4190.0,,山坡地保育區,農牧用地,1050901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1193,,0.0,0,,RPWNMLQJKHMFFCH88DA
桃園區,房地(土地+建物),桃園市桃園區會稽里9鄰大有路781~810號,36.36,住,,,1051001,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960726,135.68,3,2,2,有,有,2395766,17657,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLNJKHMFFAH48EA
中壢區,房地(土地+建物)+車位,桃園市中壢區青埔五街61~90號,28.92,住,,,1050901,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040822,163.36,3,2,2,有,有,9550000,62047,坡道平面,33.62,1500000,地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交金額係由義務人提供。總價內含裝潢費,RPVQMLQKKHMFFBH56EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,16.28,住,,,1050901,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,118.2,2,2,2,有,有,7150000,68755,坡道平面,34.57,1400000,,RPWOMLKKKHMFFAH38EA
