編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUQMLQKKHMFFBH09EA,1,88.20,見其他登記事項,鋼筋混凝土造,104年8月22日,十二層,十一層
RPUQMLQKKHMFFBH09EA,1,75.16,見其他登記事項,鋼筋混凝土造,104年8月22日,十二層,
RPPRMLOLKHMFFBH58EA,38,98.98,住家用,加強磚造,67年4月12日,二層,一層 二層 騎樓
RPQRMLOLKHMFFBH68EA,37,62.40,住家用,加強磚造,69年1月10日,二層,一層 二層
RPUOMLKKKHMFFAH18EA,1,69.73,住家用,鋼筋混凝土造,105年4月27日,十二層,四層
RPUOMLKKKHMFFAH18EA,1,67.11,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPVOMLKKKHMFFAH28EA,,73.06,住家用,鋼筋混凝土造,105年4月27日,十二層,七層
RPVOMLKKKHMFFAH28EA,,68.74,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPWQMLQKKHMFFBH66EA,22,81.45,住家用,鋼筋混凝土造,83年6月23日,八層,七層
RPWQMLQKKHMFFBH66EA,22,13.73,共有部分,鋼筋混凝土造,83年6月23日,八層,
RPURMLOLKHMFFBH09EA,11,229.32,農舍,鋼筋混凝土造,94年3月18日,四層,一層 二層 三層 屋頂突出物
RPTRMLOLKHMFFBH98EA,35,76.14,住家用,加強磚造,70年6月12日,二層,一層 二層
RPVOMLNJKHMFFAH48EA,9,16.93,共有部份,鋼筋混凝土造,96年7月26日,七層,
RPVOMLNJKHMFFAH48EA,9,99.26,住家用,鋼筋混凝土造,96年7月26日,七層,二層
RPVOMLNJKHMFFAH48EA,9,19.50,共有部份,鋼筋混凝土造,96年7月26日,七層,
RPVQMLQKKHMFFBH56EA,1,88.20,見其他登記事項,鋼筋混凝土造,104年8月22日,十二層,十層
RPVQMLQKKHMFFBH56EA,1,75.16,見其他登記事項,鋼筋混凝土造,104年8月22日,十二層,
RPWOMLKKKHMFFAH38EA,,56.99,住家用,鋼筋混凝土造,105年4月27日,十二層,十二層
RPWOMLKKKHMFFAH38EA,,61.21,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPXOMLKKKHMFFAH48EA,,81.03,住家用,鋼筋混凝土造,105年4月27日,十二層,二層
RPXOMLKKKHMFFAH48EA,,72.35,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPRNMLKKKHMFFAH77EA,16,57.29,住家用,鋼筋混凝土造,89年8月31日,十四層,十層
RPRNMLKKKHMFFAH77EA,16,17.44,共有部份,鋼筋混凝土造,89年8月31日,十四層,
RPXNMLRKKHMFFEH86EA,1,88.86,共有部份,鋼筋混凝土造,104年11月3日,十三層,
RPXNMLRKKHMFFEH86EA,1,139.10,住家用,鋼筋混凝土造,104年11月3日,十三層,九層
RPXNMLRKKHMFFEH86EA,1,29.58,共有部份,鋼筋混凝土造,104年11月3日,十三層,
RPRNMLRKKHMFFGH09EA,16,87.40,見其他登記事項,鋼筋混凝土造,89年3月16日,二層,一層 二層 屋頂突出物
RPTNMLSKJILFFHH56CA,1,116.01,住家用,鋼筋混凝土造,104年11月13日,二十四層,十三層
RPTNMLSKJILFFHH56CA,1,30.88,見其他登記事項,鋼筋混凝土造,104年11月13日,二十四層,
RPTNMLSKJILFFHH56CA,1,44.30,見其他登記事項,鋼筋混凝土造,104年11月13日,二十四層,
RPVNMLOKKHMFFBH68EA,27,133.40,住家用,鋼筋混凝土造,78年11月25日,七層,六層
RPVNMLOKKHMFFBH68EA,27,13.00,共有部分,鋼筋混凝土造,78年11月25日,七層,
RPVNMLOKKHMFFBH68EA,27,4.92,共有部分,鋼筋混凝土造,78年11月25日,七層,
RPQPMLOKKHMFFBH38EA,24,70.27,住家用,鋼筋混凝土造,81年8月31日,七層,三層
RPQPMLOKKHMFFBH38EA,24,7.83,共有部分,鋼筋混凝土造,81年8月31日,七層,
RPQPMLOKKHMFFBH38EA,24,9.42,共有部分,鋼筋混凝土造,81年8月31日,七層,
RPOPMLKKKHMFFAH67EA,1,64.59,商業用,鋼筋混凝土造,105年4月27日,十二層,一層
RPOPMLKKKHMFFAH67EA,1,64.76,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPPPMLKKKHMFFAH77EA,1,92.46,商業用,鋼筋混凝土造,105年4月27日,十二層,一層
RPPPMLKKKHMFFAH77EA,1,77.77,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPQPMLKKKHMFFAH87EA,1,54.60,住家用,鋼筋混凝土造,105年4月27日,十二層,七層
RPQPMLKKKHMFFAH87EA,1,60.06,見其他登記事項,鋼筋混凝土造,105年4月27日,十二層,
RPQOMLNLKHMFFGH78EA,16,.33,見其他登記事項,鋼筋混凝土造,89年10月25日,八層,一層
RPQOMLNLKHMFFGH78EA,16,33.07,共有部份,鋼筋混凝土造,89年10月25日,八層,
RPQOMLNLKHMFFGH78EA,16,86.66,住家用,鋼筋混凝土造,89年10月25日,七層,一層
RPQOMLNLKHMFFGH78EA,16,13.19,共有部份,鋼筋混凝土造,89年10月25日,七層,
RPQOMLNLKHMFFGH78EA,16,17.57,共有部份,鋼筋混凝土造,89年10月25日,八層,
RPOQMLPKKILFFBH28DA,43,74.00,住家用,加強磚造,63年4月10日,二層,一層 二層
RPXNMLSLKILFFHH17CA,1,87.32,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,二層
RPXNMLSLKILFFHH17CA,1,13.21,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPXNMLSLKILFFHH17CA,1,51.61,見其他登記事項,鋼筋混凝土造,104年6月18日,九層,
RPUNMLMJKHMFFAH18EA,36,34.13,住家用,鋼筋混凝土造,69年8月20日,六層,五層 陽台
RPUNMLMJKHMFFAH18EA,36,2.08,共有部份,鋼筋混凝土造,69年8月20日,六層,
RPOOMLSKKHMFFBH48EA,8,302.42,住家用,鋼筋混凝土造,97年12月1日,五層,一層
RPOOMLSKKHMFFBH48EA,8,143.95,共有部分,鋼筋混凝土造,97年12月1日,五層,
RPOOMLSKKHMFFBH48EA,8,440.73,住家用,鋼筋混凝土造,97年12月1日,五層,二層
RPOOMLSKKHMFFBH48EA,8,66.02,共有部分,鋼筋混凝土造,97年12月1日,五層,
RPOOMLSKKHMFFBH48EA,8,440.73,住家用,鋼筋混凝土造,97年12月1日,五層,三層
RPOOMLSKKHMFFBH48EA,8,66.02,共有部分,鋼筋混凝土造,97年12月1日,五層,
RPOOMLSKKHMFFBH48EA,8,440.73,住家用,鋼筋混凝土造,97年12月1日,五層,四層
RPOOMLSKKHMFFBH48EA,8,66.02,共有部分,鋼筋混凝土造,97年12月1日,五層,
RPOOMLSKKHMFFBH48EA,8,440.73,住家用,鋼筋混凝土造,97年12月1日,五層,五層
RPOOMLSKKHMFFBH48EA,8,66.02,共有部分,鋼筋混凝土造,97年12月1日,五層,
RPPNMLNJKHMFFAH77EA,23,30.51,住家用,鋼筋混凝土造,83年3月18日,十二層,八層
RPPNMLNJKHMFFAH77EA,23,13.06,共有部份,鋼筋混凝土造,83年3月18日,十二層,
RPWNMLRJKHMFFAH88EA,13,195.89,住商用,鋼筋混凝土造,93年3月23日,十九層,一層 二層 騎樓
RPWNMLRJKHMFFAH88EA,13,44.52,共有部份,鋼筋混凝土造,93年3月23日,十九層,
RPWNMLRJKHMFFAH88EA,13,.18,見其他登記事項,鋼筋混凝土造,93年3月23日,十九層,一層
RPWNMLRJKHMFFAH88EA,13,.00,共有部份,鋼筋混凝土造,93年3月23日,十九層,
RPWNMLRJKHMFFAH88EA,13,3.73,共有部份,鋼筋混凝土造,93年3月23日,十九層,
RPWNMLRJKHMFFAH88EA,13,48.96,共有部份,鋼筋混凝土造,93年3月23日,十九層,
RPUNMLRJKHMFFAH68EA,1,78.96,住家用,鋼筋混凝土造,104年7月6日,十四層,十二層
RPUNMLRJKHMFFAH68EA,1,62.67,見其他登記事項,鋼筋混凝土造,104年7月6日,十五層,
RPUNMLOKKHMFFBH38CA,12,31.34,住家用,鋼筋混凝土造,94年3月1日,十四層,十層
RPUNMLOKKHMFFBH38CA,12,4.13,共有部分,鋼筋混凝土造,94年3月1日,十四層,
RPUNMLOKKHMFFBH38CA,12,5.86,共有部分,鋼筋混凝土造,94年3月1日,十四層,
RPUNMLOKKHMFFBH38CA,12,.17,共有部分,鋼筋混凝土造,94年3月1日,十四層,
RPROMLKKKHMFFAH87EA,36,85.40,住家用,鋼筋混凝土造,69年10月20日,四層,二層
RPROMLKKKHMFFAH87EA,36,5.90,共有部份,鋼筋混凝土造,69年10月20日,四層,
RPQOMLNKKHMFFBH08DA,21,30.68,住家用,鋼筋混凝土造,84年10月8日,十三層,四層
RPQOMLNKKHMFFBH08DA,21,4.15,共有部分,鋼筋混凝土造,84年10月8日,十三層,
RPQOMLNKKHMFFBH08DA,21,3.40,共有部分,鋼筋混凝土造,84年10月8日,十三層,
RPWNMLOLKHMFFGH76EA,35,130.30,住商用,加強磚造,70年12月3日,二層,一層 二層 騎樓
RPPNMLOKKHMFFBH87CA,13,53.54,住家用,鋼筋混凝土造,92年7月10日,十四層,十二層
RPPNMLOKKHMFFBH87CA,13,11.92,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPPNMLOKKHMFFBH87CA,13,53.54,住家用,鋼筋混凝土造,92年7月10日,十四層,十二層
RPPNMLOKKHMFFBH87CA,13,22.75,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPPNMLOKKHMFFBH87CA,13,11.92,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPPNMLOKKHMFFBH87CA,13,22.75,共有部分,鋼筋混凝土造,92年7月10日,十四層,
RPOPMLMJJHMFFCH67CA,36,41.18,住家用,加強磚造,70年5月19日,二層,一層 二層
RPUOMLPJJHMFFCH48CA,11,174.72,見其他登記事項,鋼筋混凝土造,94年11月24日,三層,一層 二層 三層 屋頂突出物
RPUOMLPJJHMFFCH48CA,11,1.48,見其他登記事項,鋼筋混凝土造,94年11月24日,四層,
RPOOMLLKJHMFFCH57CA,11,4.41,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,地下一層
RPOOMLLKJHMFFCH57CA,11,.80,商業用,鋼筋混凝土造,95年4月10日,十層,一層
RPOOMLLKJHMFFCH57CA,11,.11,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,
RPOOMLLKJHMFFCH57CA,11,36.39,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,二層 見其他登記事項
RPOOMLLKJHMFFCH57CA,11,5.14,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,
RPOOMLLKJHMFFCH57CA,11,4.98,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,
RPOOMLLKJHMFFCH57CA,11,.62,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,
RPOOMLLKJHMFFCH57CA,11,2.13,見其他登記事項,鋼筋混凝土造,95年4月10日,十層,
