鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,23.79,住,,,1050101,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.38,3,2,2,有,無,8750000,55698,坡道平面,37.52,1350000,,RPSNMLRJJHMFFBH38CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,23.07,住,,,1041201,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.44,3,2,2,有,無,8200000,53940,坡道平面,37.52,1300000,,RPTNMLRJJHMFFBH48CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,23.31,住,,,1050401,土地1建物1車位2,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.71,3,2,2,有,無,10350000,58225,坡道平面,75.04,2800000,,RPUNMLRJJHMFFBH58CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,15.86,住,,,1050701,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.63,2,2,1,有,無,6380000,56376,坡道平面,37.52,1300000,,RPVNMLRJJHMFFBH68CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,18.02,住,,,1050201,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.2,2,2,1,有,無,6500000,50656,坡道平面,37.52,1400000,,RPWNMLRJJHMFFBH78CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,18.02,住,,,1050201,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.2,2,2,1,有,無,7300000,59098,坡道平面,37.52,1350000,,RPXNMLRJJHMFFBH88CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,15.62,住,,,1050401,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.08,2,2,1,有,無,6860000,62081,坡道平面,37.52,1300000,,RPOOMLRJJHMFFBH08CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,15.62,住,,,1050101,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.08,2,2,1,有,無,6800000,60853,坡道平面,37.52,1350000,,RPPOMLRJJHMFFBH18CB
中壢區,房地(土地+建物)+車位,忠孝段151~180地號,24.51,住,,,1050701,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.73,3,2,2,有,無,9730000,60619,坡道平面,35.49,1350000,,RPQOMLRJJHMFFBH28CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,29.77,住,,,1050501,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.03,3,2,2,有,無,9200000,67632,坡道平面,0.0,0,,RPXPMLNKJHMFFBH78CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,29.77,住,,,1050501,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.03,3,2,2,有,無,11260000,82776,坡道平面,0.0,0,,RPOQMLNKJHMFFBH97CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,29.77,住,,,1050501,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.03,3,2,2,有,無,11260000,82776,坡道平面,0.0,0,,RPPQMLNKJHMFFBH08CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,19.78,住,,,1051101,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.6,2,1,1,有,無,7610000,85892,坡道平面,0.0,0,,RPQQMLNKJHMFFBH18CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,19.78,住,,,1051001,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.6,2,1,1,有,無,6280000,70880,坡道平面,0.0,0,,RPRQMLNKJHMFFBH28CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,19.78,住,,,1050601,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.6,2,1,1,有,無,6680000,75395,坡道平面,0.0,0,,RPSQMLNKJHMFFBH38CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,19.78,住,,,1050401,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.6,2,1,1,有,無,7560000,85327,坡道平面,0.0,0,,RPTQMLNKJHMFFBH48CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,19.78,住,,,1050501,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.6,2,1,1,有,無,7210000,81377,坡道平面,0.0,0,,RPORMLNKJHMFFBH08CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,19.78,住,,,1050601,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.6,2,1,1,有,無,6850000,77314,坡道平面,0.0,0,,RPQRMLNKJHMFFBH28CB
