編號,車位類別,車位價格,車位面積平方公尺
RPSNMLRJJHMFFBH38CB,坡道平面,1350000,37.52
RPTNMLRJJHMFFBH48CB,坡道平面,1300000,37.52
RPUNMLRJJHMFFBH58CB,坡道平面,1400000,37.52
RPUNMLRJJHMFFBH58CB,坡道平面,1400000,37.52
RPVNMLRJJHMFFBH68CB,坡道平面,1300000,37.52
RPWNMLRJJHMFFBH78CB,坡道平面,1400000,37.52
RPXNMLRJJHMFFBH88CB,坡道平面,1350000,37.52
RPOOMLRJJHMFFBH08CB,坡道平面,1300000,37.52
RPPOMLRJJHMFFBH18CB,坡道平面,1350000,37.52
RPQOMLRJJHMFFBH28CB,坡道平面,1350000,35.49
RPXPMLNKJHMFFBH78CB,坡道平面,0,
RPOQMLNKJHMFFBH97CB,坡道平面,0,
RPPQMLNKJHMFFBH08CB,坡道平面,0,
RPQQMLNKJHMFFBH18CB,坡道平面,0,
RPRQMLNKJHMFFBH28CB,坡道平面,0,
RPSQMLNKJHMFFBH38CB,坡道平面,0,
RPTQMLNKJHMFFBH48CB,坡道平面,0,
RPORMLNKJHMFFBH08CB,坡道平面,0,
RPQRMLNKJHMFFBH28CB,坡道平面,0,
RPRRMLNKJHMFFBH38CB,坡道平面,0,
RPSRMLNKJHMFFBH48CB,坡道平面,0,
RPTRMLNKJHMFFBH58CB,坡道平面,0,
RPVRMLNKJHMFFBH78CB,坡道平面,0,
RPQSMLNKJHMFFBH38CB,坡道平面,0,
RPRSMLNKJHMFFBH48CB,坡道平面,0,
RPSSMLNKJHMFFBH58CB,坡道平面,0,
