編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXNMLNJJHMFFAI38CA,竹圍子段,106.00,都市：住
RPXNMLNJJHMFFAI38CA,竹圍子段,15.45,都市：其他
RPXNMLNJJHMFFAI38CA,竹圍子段,18.28,都市：住
RPRNMLOJJHMFFAI87CA,新富段八小段,9.33,都市：商
RPRNMLOJJHMFFAI87CA,末廣段一小段,.28,都市：商
RPQOMLNKJHMFFAI87CA,盧厝段,63.00,都市：住
RPQOMLOKJHMFFAI97CA,車店段車店小段,11.90,都市：住
RPROMLOKJHMFFAI08CA,下路頭段,157.00,都市：住
RPSOMLQKJHMFFAI38CA,中山段三小段,8.68,都市：住
RPWOMLOLJHMFFAI68CA,下路頭段,62.00,都市：住
RPOPMLQLJHMFFAI18CA,竹圍子段三小段,23.85,都市：住
RPSNMLOJJHMFFAI18EA,埤子頭段,96.00,都市：住
RPVNMLOJJHMFFAI48EA,車店段,126.00,都市：住
RPVNMLOJJHMFFAI48EA,車店段,1.00,都市：其他
RPVNMLOJJHMFFAI48EA,車店段,113.00,都市：住
RPVNMLOJJHMFFAI48EA,車店段,146.00,都市：住
RPVNMLOJJHMFFAI48EA,車店段,83.00,都市：住
RPVNMLOJJHMFFAI48EA,車店段,82.00,都市：住
RPVNMLOJJHMFFAI48EA,車店段,25.00,都市：住
RPOOMLQJKHMFFAI18EA,元段六小段,79.00,都市：商
RPSNMLNLJHMFFAI18DA,下路頭段,72.00,都市：住
RPRNMLTJJHMFFAI58EA,下路頭段,61.00,都市：住
RPUNMLTJJHMFFAI88EA,埤子頭段,15.65,都市：住
RPPNMLPJJHMFFAI97EA,竹圍子段二小段,10.85,都市：住
RPRNMLPJJHMFFAI18EA,埤子頭段,.50,都市：住
RPVOMLNKJHMFFAI38CA,埤子頭段新厝小段,18.02,都市：住
RPQNMLQJJHMFFAI97CA,檜段七小段,7.13,都市：商
RPSNMLQJJHMFFAI18CA,下路頭段,71.00,都市：住
RPSNMLQJJHMFFAI18CA,下路頭段,71.00,都市：住
RPXNMLPJJHMFFAI58CA,下路頭段,61.00,都市：住
RPXNMLPJJHMFFAI58CA,下路頭段,9.00,都市：其他
RPOOMLPJJHMFFAI77CA,劉厝段玉山小段,142.80,都市：住
RPVNMLQJJHMFFAI48CA,中庄段,105.33,都市：農
RPXNMLTJJHMFFAI98CA,湖內段,21.68,都市：住
RPWNMLRJJHMFFAI68CA,竹圍子段,16.48,都市：住
RPXNMLRJJHMFFAI78CA,竹圍子段三小段,26.00,都市：住
RPPOMLPJJHMFFAI87CA,港子坪段,269.00,都市：住
