編號,車位類別,車位價格,車位面積平方公尺
RPRNMLOJJHMFFAI87CA,坡道機械,0,
RPOPMLQLJHMFFAI18CA,升降平面,0,
RPQNMLOLJHMFFAI97CA,坡道機械,450000,14.31
RPSNMLOLJHMFFAI18CA,坡道平面,900000,30.46
RPTNMLOLJHMFFAI28CA,坡道平面,900000,30.46
RPVNMLTJJHMFFAI78CA,坡道平面,0,
RPUNMLOLJHMFFAI38CA,坡道機械,450000,14.31
RPQNMLLJKHMFFAI57CA,坡道機械,0,
RPVNMLRJKHMFFAI68CA,坡道平面,0,
RPVNMLRJKHMFFAI68CA,坡道平面,0,
RPVNMLRJKHMFFAI68CA,坡道平面,0,
RPVNMLRJKHMFFAI68CA,坡道平面,0,
RPVNMLRJKHMFFAI68CA,坡道平面,0,
RPSNMLKLJHMFFAI97EA,升降機械,0,
RPPNMLPKJHMFFAI87CA,坡道平面,0,
RPWNMLMKJHMFFAI28CA,升降機械,0,
RPOOMLNKJHMFFAI67CA,坡道平面,0,17.09
RPWOMLNJKHMFFAI48CA,一樓平面,0,
RPWOMLNJKHMFFAI48CA,一樓平面,0,
RPRPMLQLJHMFFAI48CA,升降機械,0,
RPSNMLPLJHMFFAI28CA,坡道平面,1100000,30.46
RPRNMLOLJHMFFAI08CA,坡道機械,450000,14.31
RPXNMLOLJHMFFAI68CA,坡道機械,650000,14.31
