編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRTMLNJJHMFFBJ58CA,12,27.79,商業用,鋼筋混凝土造,94年6月3日,九層,七層
RPRTMLNJJHMFFBJ58CA,12,7.90,共用部分,鋼筋混凝土造,94年6月3日,十層,
RPRTMLNJJHMFFBJ58CA,12,5.65,共用部分,鋼筋混凝土造,94年6月3日,十層,
RPQPMLOJJHMFFBJ18CA,21,28.48,共用部分,鋼筋混凝土造,84年10月28日,十二層,
RPQPMLOJJHMFFBJ18CA,21,31.53,共用部分,鋼筋混凝土造,84年10月28日,十二層,
RPQPMLOJJHMFFBJ18CA,21,202.67,商業用,鋼筋混凝土造,84年10月28日,十二層,二層
RPPVNLOJJHMFFBJ78CA,11,111.27,住家用,鋼筋混凝土造,94年10月18日,十三層,五層
RPPVNLOJJHMFFBJ78CA,11,27.22,共用部分,鋼筋混凝土造,94年10月18日,十四層,
RPPVNLOJJHMFFBJ78CA,11,16.53,共用部分,鋼筋混凝土造,94年10月18日,十四層,
RPPVNLOJJHMFFBJ78CA,11,.09,商業用,鋼筋混凝土造,94年10月18日,十四層,一層
RPPVNLOJJHMFFBJ78CA,11,.02,共用部分,鋼筋混凝土造,94年10月18日,十四層,
RPPVNLOJJHMFFBJ78CA,11,54.10,共用部分,鋼筋混凝土造,94年10月18日,十四層,
RPUSMLPJJHMFFBJ98CA,,90.57,住家用,鋼筋混凝土造,105年7月29日,十四層,十四層
RPUSMLPJJHMFFBJ98CA,,98.73,見其他登記事項,鋼筋混凝土造,105年7月29日,十四層,
RPVOMLTJJHMFFBJ09CA,,88.87,住家用,鋼筋混凝土造,105年9月7日,十四層,十層
RPVOMLTJJHMFFBJ09CA,,24.73,見其他登記事項,鋼筋混凝土造,105年9月7日,十四層,
RPVOMLTJJHMFFBJ09CA,,49.10,見其他登記事項,鋼筋混凝土造,105年9月7日,十四層,
RPROMLTKJHMFFBJ78CA,2,361.16,住家用,鋼筋混凝土造,104年4月16日,四層,一層 二層 三層 四層
RPSOMLQJJHMFFDJ68CA,2,228.27,住家用,鋼筋混凝土造,104年2月20日,四層,一層 二層 三層 四層
RPTNMLTJJHMFFDJ09DA,,47.10,住家用,加強磚造,,三層,一層
RPPNMLNKJHMFFCJ18EA,1,177.84,見其他登記事項,鋼筋混凝土造,104年11月20日,四層,一層 二層 三層 四層 見其他登記事項
RPUOMLKLJHMFFCJ58EA,1,185.53,見其他登記事項,鋼筋混凝土造,104年11月20日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLMKJHMFFBJ48DA,1,227.01,見其他登記事項,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 屋頂突出物
RPQPMLTJJHMFFDJ88CA,1,358.45,見其他登記事項,鋼筋混凝土造,105年3月10日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPRNMLRJJHMFFCJ48CA,6,45.10,見其他登記事項,鋼筋混凝土造,99年12月31日,十層,九層
RPRNMLRJJHMFFCJ48CA,6,39.54,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPRNMLRJJHMFFCJ48CA,6,10.75,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSNMLRJJHMFFCJ58CA,17,84.31,住家用,鋼筋混凝土造,89年4月27日,五層,二層
RPSNMLRJJHMFFCJ58CA,17,25.22,停車空間,鋼筋混凝土造,89年4月27日,五層,
RPSNMLRJJHMFFCJ58CA,17,.02,見其他登記事項,鋼筋混凝土造,89年4月27日,五層,一層
RPSNMLRJJHMFFCJ58CA,17,12.97,共用部分,鋼筋混凝土造,89年4月27日,五層,
RPSNMLRJJHMFFCJ58CA,17,10.06,停車空間,鋼筋混凝土造,89年4月27日,五層,
RPTNMLRJJHMFFCJ68CA,1,280.39,見其他登記事項,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPSNMLNKJHMFFCJ28CA,,95.54,住家用,加強磚造,,二層,一層 二層
RPXNMLTKJHMFFCJ76CA,1,94.53,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,十二層
RPXNMLTKJHMFFCJ76CA,1,19.99,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,
RPXNMLTKJHMFFCJ76CA,1,53.43,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,
RPRNMLPLJHMFFCJ48CA,1,98.28,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,八層
RPRNMLPLJHMFFCJ48CA,1,20.92,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,
RPRNMLPLJHMFFCJ48CA,1,54.30,見其他登記事項,鋼筋混凝土造,104年12月4日,十四層,
RPTPMLKLJHMFFBJ28CA,23,90.15,住家用,鋼筋混凝土造,83年5月19日,七層,六層
RPTPMLKLJHMFFBJ28CA,23,9.47,共用部分,鋼筋混凝土造,83年5月19日,七層,
