編號,車位類別,車位價格,車位面積平方公尺
RPQPMLOJJHMFFBJ18CA,坡道機械,0,
RPPVNLOJJHMFFBJ78CA,坡道平面,0,
RPPVNLOJJHMFFBJ78CA,坡道平面,0,
RPUSMLPJJHMFFBJ98CA,坡道平面,0,27.08
RPUSMLPJJHMFFBJ98CA,坡道平面,0,27.08
RPVOMLTJJHMFFBJ09CA,坡道平面,1100000,34.86
RPPNMLNKJHMFFCJ18EA,一樓平面,0,
RPUOMLKLJHMFFCJ58EA,一樓平面,0,
RPRNMLRJJHMFFCJ48CA,坡道平面,0,
RPSNMLRJJHMFFCJ58CA,坡道平面,0,
RPXNMLTKJHMFFCJ76CA,坡道平面,900000,
RPRNMLPLJHMFFCJ48CA,一樓平面,0,
RPOOMLMKJHMFFBJ77CA,坡道平面,0,
RPPPMLMKJHMFFBJ97CA,坡道平面,0,
RPWOMLTJJHMFFBJ56CA,坡道平面,0,30.46
RPRNMLTJJHMFFBJ58CA,坡道平面,1300000,36.63
RPRNMLTJJHMFFBJ58CA,坡道平面,1300000,36.63
RPOOMLTJJHMFFBJ38CA,坡道平面,0,
RPOOMLTJJHMFFBJ38CA,坡道平面,0,
RPRPMLKKJHMFFBJ97CA,坡道平面,1000000,
RPXPMLKKJHMFFBJ58CA,坡道機械,0,
RPTNNLPJJHMFFBJ48CA,升降機械,470000,13.61
RPPNMLQJJHMFFBJ08CA,坡道平面,0,
RPUQMLQJJHMFFBJ88CA,坡道平面,1200000,27.20
RPUQMLQJJHMFFBJ88CA,坡道平面,1200000,27.20
RPTRMLQJJHMFFBJ88CA,坡道平面,1100000,26.86
RPTRMLQJJHMFFBJ88CA,坡道平面,1100000,26.86
RPTRMLQJJHMFFBJ88CA,坡道平面,1100000,26.86
RPPNMLRJJHMFFBJ18CA,坡道平面,0,
RPPNMLRJJHMFFBJ18CA,坡道平面,0,
RPQNMLTJJHMFFBJ48CA,坡道平面,1200000,33.24
RPTOMLQJJHMFFBJ58CA,坡道平面,0,
RPXNMLLKJHMFFBJ48CA,坡道平面,0,
RPXNMLLKJHMFFBJ48CA,坡道平面,0,
RPSNMLTJJHMFFBJ68CA,坡道平面,1300000,34.05
RPXOMLTJJHMFFBJ66CA,坡道平面,0,30.46
RPSOMLLKJHMFFBJ08CA,一樓平面,0,
RPRNMLNKJHMFFBJ08CA,坡道平面,0,
RPPRMLNKJHMFFBJ28CA,坡道平面,1100000,29.87
RPQRMLNKJHMFFBJ38CA,坡道平面,0,29.87
RPQRMLNKJHMFFBJ38CA,坡道平面,0,29.87
RPRNMLOKJHMFFBJ18CA,坡道平面,0,26.31
RPTOMLLLJHMFFBJ28CA,坡道平面,0,
RPPQMLKLJHMFFBJ97CA,坡道平面,0,
RPUOMLSKJHMFFBJ98CA,坡道平面,0,
RPUOMLQKJHMFFBJ78CA,坡道平面,0,28.51
RPUOMLQKJHMFFBJ78CA,坡道機械,0,18.50
RPRRMLRKJHMFFBJ88CA,坡道平面,1000000,
RPRNMLNKJHMFFDJ28CA,一樓平面,0,
RPSNMLNKJHMFFDJ38CA,一樓平面,0,
RPTNMLNKJHMFFDJ48CA,一樓平面,0,
RPUNMLNKJHMFFDJ58CA,一樓平面,0,
RPPNNLOLJHMFFBJ28DA,坡道平面,0,
RPUOMLMJKHMFFBJ38CA,坡道平面,0,
RPTNMLNLJHMFFCJ48CA,坡道平面,900000,
RPUNMLNLJHMFFCJ58CA,坡道平面,900000,
RPVNMLNLJHMFFCJ68CA,坡道平面,850000,
RPWNMLNLJHMFFCJ78CA,坡道平面,850000,
RPXNMLNLJHMFFCJ88CA,坡道平面,850000,
RPOOMLNLJHMFFCJ08CA,坡道平面,800000,
RPPOMLNLJHMFFCJ18CA,坡道平面,900000,
RPQOMLNLJHMFFCJ28CA,坡道平面,850000,
RPROMLNLJHMFFCJ38CA,坡道平面,950000,
RPSOMLNLJHMFFCJ48CA,坡道平面,850000,
RPTOMLNLJHMFFCJ58CA,坡道平面,900000,
RPQOMLRKJHMFFBJ48CA,坡道平面,1050000,28.57
RPSOMLRKJHMFFBJ68CA,坡道平面,1050000,28.57
RPTNMLOKJHMFFBJ38CA,坡道平面,0,
RPWNMLLKJHMFFBJ38CA,坡道平面,1085000,23.39
RPWNMLLKJHMFFBJ38CA,坡道平面,1085000,27.11
RPVNMLNKJHMFFBJ48CA,坡道平面,0,
RPROMLMKJHMFFBJ08CA,坡道平面,0,29.04
RPROMLMKJHMFFBJ08CA,坡道平面,0,29.04
RPXOMLMKJHMFFBJ68CA,坡道平面,1400000,39.67
RPOPMLMKJHMFFBJ87CA,坡道平面,1400000,39.67
RPOPMLMKJHMFFBJ87CA,坡道平面,1400000,39.67
RPPNMLKKJHMFFBJ57CA,坡道機械,0,
RPPPMLKKJHMFFBJ77CA,坡道平面,1270000,23.39
RPPPMLKKJHMFFBJ77CA,坡道平面,1370000,27.11
RPSOMLKKJHMFFBJ97CA,坡道平面,1320000,27.11
RPSOMLKKJHMFFBJ97CA,坡道平面,1320000,27.11
RPTOMLKKJHMFFBJ08CA,坡道平面,1370000,27.11
RPTOMLKKJHMFFBJ08CA,坡道平面,1370000,27.11
RPVOMLKKJHMFFBJ28CA,坡道平面,1170000,23.39
RPVOMLKKJHMFFBJ28CA,坡道平面,1270000,27.11
RPWOMLKKJHMFFBJ38CA,坡道平面,1370000,27.11
RPXOMLKKJHMFFBJ48CA,坡道平面,1320000,27.11
RPXOMLKKJHMFFBJ48CA,坡道平面,1320000,27.11
RPOPMLKKJHMFFBJ67CA,坡道平面,0,
RPOQMLKKJHMFFBJ77CA,坡道平面,0,31.75
RPOQMLKKJHMFFBJ77CA,坡道平面,0,31.75
RPOQMLKKJHMFFBJ77CA,坡道平面,0,31.75
RPTNMLLKJHMFFBJ08CA,坡道平面,0,
RPPQMLNKJHMFFBJ18CA,坡道平面,0,34.07
RPPQMLNKJHMFFBJ18CA,坡道平面,0,34.07
RPRPMLMKJHMFFBJ18CA,升降機械,0,
RPXNMLQKJHMFFBJ98CA,坡道機械,0,
RPURMLRKJHMFFBJ56CA,坡道平面,0,
