編號,車位類別,車位價格,車位面積平方公尺
RPTNMLOJJHMFFBJ38CB,坡道平面,900000,29.70
RPTOMLOJJHMFFBJ48CB,坡道平面,750000,29.70
RPVOMLOJJHMFFBJ68CB,坡道平面,1100000,29.70
RPXOMLOJJHMFFBJ88CB,坡道平面,1000000,29.70
RPPPMLOJJHMFFBJ18CB,坡道平面,950000,29.70
RPSPMLOJJHMFFBJ48CB,坡道平面,1050000,29.70
RPSPMLOJJHMFFBJ48CB,坡道平面,1200000,29.70
RPUPMLOJJHMFFBJ68CB,坡道平面,1050000,29.70
RPUPMLOJJHMFFBJ68CB,坡道平面,850000,29.70
RPVPMLOJJHMFFBJ78CB,坡道平面,850000,29.70
RPWPMLOJJHMFFBJ88CB,坡道平面,650000,29.70
RPXPMLOJJHMFFBJ98CB,坡道平面,650000,29.70
RPPQMLOJJHMFFBJ28CB,坡道平面,900000,25.62
RPRQMLOJJHMFFBJ48CB,坡道平面,1000000,29.70
RPTQMLOJJHMFFBJ68CB,坡道平面,1100000,29.70
RPWQMLOJJHMFFBJ98CB,坡道平面,1000000,29.70
RPWQMLOJJHMFFBJ98CB,坡道平面,850000,29.70
RPXQMLOJJHMFFBJ09CB,坡道平面,1050000,29.70
RPXQMLOJJHMFFBJ09CB,坡道平面,1100000,29.70
RPPRMLOJJHMFFBJ38CB,坡道平面,1050000,29.70
RPPRMLOJJHMFFBJ38CB,坡道平面,1200000,29.70
RPRRMLOJJHMFFBJ58CB,坡道平面,1050000,29.70
RPRRMLOJJHMFFBJ58CB,坡道平面,1300000,32.67
RPTRMLOJJHMFFBJ78CB,坡道平面,750000,29.70
RPVRMLOJJHMFFBJ98CB,坡道平面,900000,29.70
RPXRMLOJJHMFFBJ56CB,坡道平面,750000,29.70
RPPSMLOJJHMFFBJ48CB,坡道平面,900000,29.70
RPQSMLOJJHMFFBJ58CB,坡道平面,750000,29.70
RPSSMLOJJHMFFBJ78CB,坡道平面,750000,29.70
RPTSMLOJJHMFFBJ88CB,坡道平面,1000000,29.70
RPUSMLOJJHMFFBJ98CB,坡道平面,680000,29.70
RPWSMLOJJHMFFBJ56CB,坡道平面,850000,25.62
RPPTMLOJJHMFFBJ58CB,坡道平面,950000,29.70
RPRTMLOJJHMFFBJ78CB,坡道平面,1100000,29.70
RPTTMLOJJHMFFBJ98CB,坡道平面,750000,29.70
RPUTMLOJJHMFFBJ09CB,坡道平面,1200000,29.70
RPWTMLOJJHMFFBJ66CB,坡道平面,950000,29.70
RPXTMLOJJHMFFBJ76CB,坡道平面,750000,29.70
RPOUMLOJJHMFFBJ58CB,坡道平面,1100000,29.70
RPPUMLOJJHMFFBJ68CB,坡道平面,1200000,29.70
RPPUMLOJJHMFFBJ68CB,坡道平面,1050000,29.70
RPQUMLOJJHMFFBJ78CB,坡道平面,900000,29.70
RPSUMLOJJHMFFBJ98CB,坡道平面,1200000,29.70
RPTUMLOJJHMFFBJ09CB,坡道平面,1000000,29.70
RPUUMLOJJHMFFBJ56CB,坡道平面,1200000,29.70
RPVUMLOJJHMFFBJ66CB,坡道平面,1100000,29.70
RPXUMLOJJHMFFBJ86CB,坡道平面,1050000,29.70
RPXUMLOJJHMFFBJ86CB,坡道平面,1200000,29.70
RPOVMLOJJHMFFBJ68CB,坡道平面,850000,29.70
RPOVMLOJJHMFFBJ68CB,坡道平面,1000000,29.70
RPPVMLOJJHMFFBJ78CB,坡道平面,1050000,29.70
RPPVMLOJJHMFFBJ78CB,坡道平面,850000,29.70
RPQVMLOJJHMFFBJ88CB,坡道平面,1050000,29.70
RPQVMLOJJHMFFBJ88CB,坡道平面,1200000,29.70
RPUVMLOJJHMFFBJ66CB,坡道平面,850000,29.70
RPXVMLOJJHMFFBJ96CB,坡道平面,950000,29.70
RPPWMLOJJHMFFBJ88CB,坡道平面,950000,29.70
RPRWMLOJJHMFFBJ09CB,坡道平面,850000,29.70
RPUWMLOJJHMFFBJ76CB,坡道平面,800000,25.62
RPWWMLOJJHMFFBJ96CB,坡道平面,1100000,29.70
RPONNLOJJHMFFBJ97CB,坡道平面,1000000,29.70
RPPNNLOJJHMFFBJ08CB,坡道平面,1000000,29.70
RPRNNLOJJHMFFBJ28CB,坡道平面,950000,29.70
RPTNNLOJJHMFFBJ48CB,坡道平面,1100000,29.70
RPUNNLOJJHMFFBJ58CB,坡道平面,1200000,29.70
RPVNNLOJJHMFFBJ68CB,坡道平面,850000,29.70
RPWNNLOJJHMFFBJ78CB,坡道平面,950000,29.70
RPOONLOJJHMFFBJ08CB,坡道平面,1100000,29.70
RPQONLOJJHMFFBJ28CB,坡道平面,1000000,29.70
RPRONLOJJHMFFBJ38CB,坡道平面,850000,29.70
RPSONLOJJHMFFBJ48CB,坡道平面,950000,29.70
RPTONLOJJHMFFBJ58CB,坡道平面,1100000,29.70
RPWONLOJJHMFFBJ88CB,坡道平面,1100000,29.70
RPXONLOJJHMFFBJ98CB,坡道平面,850000,29.70
RPPPNLOJJHMFFBJ28CB,坡道平面,850000,29.70
RPQPNLOJJHMFFBJ38CB,坡道平面,850000,29.70
RPRPNLOJJHMFFBJ48CB,坡道平面,850000,29.70
RPUPNLOJJHMFFBJ78CB,坡道平面,850000,29.70
RPUPNLOJJHMFFBJ78CB,坡道平面,1100000,32.67
RPVPNLOJJHMFFBJ88CB,坡道平面,650000,25.62
RPWPNLOJJHMFFBJ98CB,坡道平面,850000,29.70
RPXPNLOJJHMFFBJ09CB,坡道平面,850000,25.62
RPPQNLOJJHMFFBJ38CB,坡道平面,950000,29.70
RPRQNLOJJHMFFBJ58CB,坡道平面,750000,29.70
RPSQNLOJJHMFFBJ68CB,坡道平面,850000,29.70
RPVQNLOJJHMFFBJ98CB,坡道平面,1100000,29.70
RPXQNLOJJHMFFBJ56CB,坡道平面,950000,29.70
RPORNLOJJHMFFBJ38CB,坡道平面,850000,29.70
RPPRNLOJJHMFFBJ48CB,坡道平面,1000000,25.62
RPQRNLOJJHMFFBJ58CB,坡道平面,950000,29.70
RPSRNLOJJHMFFBJ78CB,坡道平面,950000,29.70
RPTRNLOJJHMFFBJ88CB,坡道平面,1100000,25.62
RPURNLOJJHMFFBJ98CB,坡道平面,1100000,25.62
RPVRNLOJJHMFFBJ09CB,坡道平面,1100000,29.70
RPWRNLOJJHMFFBJ56CB,坡道平面,850000,29.70
RPXRNLOJJHMFFBJ66CB,坡道平面,750000,25.62
RPOSNLOJJHMFFBJ48CB,坡道平面,850000,29.70
RPPSNLOJJHMFFBJ58CB,坡道平面,750000,25.62
RPSSNLOJJHMFFBJ88CB,坡道平面,850000,29.70
RPTSNLOJJHMFFBJ98CB,坡道平面,850000,29.70
RPUSNLOJJHMFFBJ09CB,坡道平面,850000,29.70
RPVSNLOJJHMFFBJ56CB,坡道平面,850000,29.70
RPWSNLOJJHMFFBJ66CB,坡道平面,850000,29.70
RPXSNLOJJHMFFBJ76CB,坡道平面,850000,29.70
RPOTNLOJJHMFFBJ58CB,坡道平面,850000,29.70
RPPTNLOJJHMFFBJ68CB,坡道平面,850000,29.70
RPQTNLOJJHMFFBJ78CB,坡道平面,850000,29.70
RPRTNLOJJHMFFBJ88CB,坡道平面,850000,29.70
RPSTNLOJJHMFFBJ98CB,坡道平面,750000,25.62
RPUTNLOJJHMFFBJ56CB,坡道平面,750000,25.62
RPVTNLOJJHMFFBJ66CB,坡道平面,950000,29.70
RPWTNLOJJHMFFBJ76CB,坡道平面,750000,25.62
RPRUNLOJJHMFFBJ98CB,坡道平面,750000,29.70
RPTUNLOJJHMFFBJ56CB,坡道平面,850000,29.70
RPUUNLOJJHMFFBJ66CB,坡道平面,1000000,29.70
RPXUNLOJJHMFFBJ96CB,坡道平面,900000,25.62
RPQVNLOJJHMFFBJ98CB,坡道平面,1100000,29.70
RPRVNLOJJHMFFBJ09CB,坡道平面,850000,29.70
RPWVNLOJJHMFFBJ96CB,坡道平面,1100000,29.70
RPOWNLOJJHMFFBJ88CB,坡道平面,1100000,29.70
RPRWNLOJJHMFFBJ56CB,坡道平面,1100000,29.70
RPSWNLOJJHMFFBJ66CB,坡道平面,1050000,29.70
RPUWNLOJJHMFFBJ86CB,坡道平面,650000,29.70
RPVWNLOJJHMFFBJ96CB,坡道平面,1100000,29.70
RPWWNLOJJHMFFBJ07CB,坡道平面,1100000,29.70
RPXWNLOJJHMFFBJ17CB,坡道平面,850000,29.70
RPQNOLOJJHMFFBJ28CB,坡道平面,750000,29.70
RPRNOLOJJHMFFBJ38CB,坡道平面,900000,29.70
RPUNOLOJJHMFFBJ68CB,坡道平面,650000,29.70
RPUNOLOJJHMFFBJ68CB,坡道平面,1000000,25.62
RPWNOLOJJHMFFBJ88CB,坡道平面,1000000,25.62
RPOOOLOJJHMFFBJ18CB,坡道平面,850000,29.70
RPQOOLOJJHMFFBJ38CB,坡道平面,1100000,29.70
RPROOLOJJHMFFBJ48CB,坡道平面,950000,29.70
RPSOOLOJJHMFFBJ58CB,坡道平面,850000,29.70
RPUOOLOJJHMFFBJ78CB,坡道平面,950000,29.70
RPVOOLOJJHMFFBJ88CB,坡道平面,1100000,29.70
RPWOOLOJJHMFFBJ98CB,坡道平面,1050000,29.70
RPWOOLOJJHMFFBJ98CB,坡道平面,1300000,32.67
RPXOOLOJJHMFFBJ09CB,坡道平面,950000,29.70
RPPPOLOJJHMFFBJ38CB,坡道平面,850000,29.70
RPQPOLOJJHMFFBJ48CB,坡道平面,950000,29.70
RPRPOLOJJHMFFBJ58CB,坡道平面,850000,29.70
RPSPOLOJJHMFFBJ68CB,坡道平面,950000,29.70
RPTPOLOJJHMFFBJ78CB,坡道平面,850000,29.70
RPUPOLOJJHMFFBJ88CB,坡道平面,950000,29.70
RPVPOLOJJHMFFBJ98CB,坡道平面,1000000,29.70
RPWPOLOJJHMFFBJ09CB,坡道平面,850000,29.70
RPXPOLOJJHMFFBJ56CB,坡道平面,750000,25.62
RPOQOLOJJHMFFBJ38CB,坡道平面,850000,29.70
RPPQOLOJJHMFFBJ48CB,坡道平面,850000,29.70
RPQQOLOJJHMFFBJ58CB,坡道平面,950000,29.70
RPRQOLOJJHMFFBJ68CB,坡道平面,850000,29.70
RPSQOLOJJHMFFBJ78CB,坡道平面,850000,29.70
RPTQOLOJJHMFFBJ88CB,坡道平面,1100000,29.70
RPUQOLOJJHMFFBJ98CB,坡道平面,950000,29.70
RPVQOLOJJHMFFBJ09CB,坡道平面,850000,29.70
RPXQOLOJJHMFFBJ66CB,坡道平面,900000,29.70
RPOROLOJJHMFFBJ48CB,坡道平面,750000,25.62
RPPROLOJJHMFFBJ58CB,坡道平面,850000,25.62
RPQROLOJJHMFFBJ68CB,坡道平面,950000,29.70
RPRROLOJJHMFFBJ78CB,坡道平面,1100000,29.70
RPTROLOJJHMFFBJ98CB,坡道平面,850000,29.70
RPUROLOJJHMFFBJ09CB,坡道平面,850000,29.70
RPVROLOJJHMFFBJ56CB,坡道平面,1100000,29.70
RPWROLOJJHMFFBJ66CB,坡道平面,650000,25.62
RPXROLOJJHMFFBJ76CB,坡道平面,850000,29.70
RPOSOLOJJHMFFBJ58CB,坡道平面,850000,29.70
RPPSOLOJJHMFFBJ68CB,坡道平面,1100000,25.62
RPQSOLOJJHMFFBJ78CB,坡道平面,1050000,29.70
RPQSOLOJJHMFFBJ78CB,坡道平面,1000000,25.62
RPRSOLOJJHMFFBJ88CB,坡道平面,1150000,29.70
RPSSOLOJJHMFFBJ98CB,坡道平面,950000,29.70
RPTSOLOJJHMFFBJ09CB,坡道平面,1000000,25.62
RPUSOLOJJHMFFBJ56CB,坡道平面,900000,25.62
RPVSOLOJJHMFFBJ66CB,坡道平面,850000,29.70
RPWSOLOJJHMFFBJ76CB,坡道平面,1050000,29.70
RPXSOLOJJHMFFBJ86CB,坡道平面,850000,29.70
