編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTPMLNJJHMFFBJ58CC,10,253.16,住家用,鋼筋混凝土造,96年5月28日,二十三層,
RPTPMLNJJHMFFBJ58CC,10,66.48,見其他登記事項,鋼筋混凝土造,96年5月28日,二十三層,
RPVWMLOJJHMFFBJ96CC,7,64.66,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPVWMLOJJHMFFBJ96CC,7,96.27,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPVWMLOJJHMFFBJ96CC,7,165.88,共用部分,鋼筋混凝土造,99年2月8日,十八層,
RPQQMLQJJHMFFBJ68CC,9,204.41,商業用,鋼筋混凝土造,97年2月1日,十九層,
RPQQMLQJJHMFFBJ68CC,9,16.63,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPQQMLQJJHMFFBJ68CC,9,27.34,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPSRMLQJJHMFFBJ98CC,2,66.10,見其他登記事項,鋼筋混凝土造,104年6月4日,十層,
RPSRMLQJJHMFFBJ98CC,2,45.48,見其他登記事項,鋼筋混凝土造,104年6月4日,十層,
RPSRMLQJJHMFFBJ98CC,2,24.45,見其他登記事項,鋼筋混凝土造,104年6月4日,十層,
RPVOMLTJJHMFFDJ86CC,23,83.90,住家用,鋼筋混凝土造,83年2月17日,六層,
RPTNMLKKJHMFFBJ18CC,11,70.86,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPTNMLKKJHMFFBJ18CC,11,41.44,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPTNMLKKJHMFFBJ18CC,11,14.92,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPUNMLKKJHMFFBJ28CC,9,152.46,住家用,鋼筋混凝土造,96年11月9日,十二層,
RPUNMLKKJHMFFBJ28CC,9,74.65,共用部分,鋼筋混凝土造,96年11月9日,十二層,
RPVNMLKKJHMFFBJ38CC,11,70.30,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPVNMLKKJHMFFBJ38CC,11,41.22,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPWNMLKKJHMFFBJ48CC,4,255.87,住家用,鋼筋混凝土造,102年5月15日,二十四層,
RPWNMLKKJHMFFBJ48CC,4,53.84,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPWNMLKKJHMFFBJ48CC,4,115.16,見其他登記事項,鋼筋混凝土造,102年5月15日,二十四層,
RPXNMLKKJHMFFBJ58CC,11,75.34,商業用,鋼筋混凝土造,94年7月21日,十一層,
RPXNMLKKJHMFFBJ58CC,11,14.28,共用部分,鋼筋混凝土造,94年7月21日,十一層,
RPXNMLKKJHMFFBJ58CC,11,7.39,共用部分,鋼筋混凝土造,94年7月21日,十層,
RPQOMLLKJHMFFBJ08CC,9,24.61,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPRNMLMKJHMFFBJ18CC,11,102.71,住家用,鋼筋混凝土造,95年5月24日,十層,
RPRNMLMKJHMFFBJ18CC,1,61.44,見其他登記事項,鋼筋混凝土造,105年6月6日,十四層,
RPSNMLMKJHMFFBJ28CC,9,229.13,商業用,鋼筋混凝土造,97年2月1日,十九層,
RPTOMLNKJHMFFBJ58CC,19,185.66,住商用,鋼筋混凝土造,86年10月8日,三層,
RPTQMLNKJHMFFBJ78CC,6,174.96,商業用,鋼筋混凝土造,100年5月10日,十九層,
RPTQMLNKJHMFFBJ78CC,6,146.96,見其他登記事項,鋼筋混凝土造,100年5月10日,十九層,
