編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTPMLNJJHMFFBJ58CC,公園段,.00,都市：商
RPVWMLOJJHMFFBJ96CC,世興段,.00,都市：商
RPQQMLQJJHMFFBJ68CC,家興段,.00,非都市： ; 非都市編定：
RPSRMLQJJHMFFBJ98CC,自強段,.00,都市：住
RPVOMLTJJHMFFDJ86CC,光華段,31.69,都市：住
RPTNMLKKJHMFFBJ18CC,大學段,.00,都市：住
RPUNMLKKJHMFFBJ28CC,家興段,.00,都市：住
RPVNMLKKJHMFFBJ38CC,大學段,.00,都市：商
RPWNMLKKJHMFFBJ48CC,台科段,.00,都市：住
RPXNMLKKJHMFFBJ58CC,公園段,.00,都市：商
RPQOMLLKJHMFFBJ08CC,永興段,6.62,都市：住
RPRNMLMKJHMFFBJ18CC,永興段,.00,都市：住
RPSNMLMKJHMFFBJ28CC,家興段,.00,都市：商
RPQOMLMKJHMFFBJ18CC,永興段,665.97,都市：住
RPTOMLNKJHMFFBJ58CC,縣福段,.00,都市：住
RPTOMLNKJHMFFBJ58CC,縣福段,.00,都市：住
RPTQMLNKJHMFFBJ78CC,自強段,.00,都市：商
