鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里17鄰公園路31~60號,25.96,商,,,1040601,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040313,218.44,4,2,2,有,無,10300000,50106,坡道平面,29.84,850000,,RPQOMLKLKHMFFDK28CA
南庄鄉,土地,南興段331~360地號,2530.29,,特定農業區,農牧用地,1050901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1581,,0.0,0,,RPUNMLLJKILFFFK78DA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮成功里18鄰忠孝二路91~120號,7.36,商,,,1051201,土地2建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831206,74.14,3,2,2,有,有,2730000,36822,,0.0,0,,RPWNMLQJJHMFFFK76DA
竹南鎮,土地,大埔段中大埔小段1411~1440地號,1980.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,6566,,0.0,0,,RPROMLOLJHMFFDK68CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里3鄰育才路62巷1~30號,37.83,住,,,1051001,土地3建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050401,118.43,2,2,2,有,無,4450000,37575,,0.0,0,建物買賣價格含一樓共有約定專用一個位置。,RPSOMLPLJHMFFDK88CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮海口里3鄰?才路92巷1~30號,48.95,住,,,1050901,土地3建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050329,148.51999999999998,3,2,2,有,無,5280000,35551,一樓平面,15.19,0,,RPOPMLPLJHMFFDK58CA
造橋鄉,土地,東興段1231~1260地號,1115.81,,山坡地保育區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350130,1210,,0.0,0,,RPRNMLLKJHMFFDK18CA
造橋鄉,土地,東興段1231~1260地號,1115.81,,山坡地保育區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350130,1210,,0.0,0,,RPTNMLLKJHMFFDK38CA
造橋鄉,土地,東興段1291~1320地號,152.65,,山坡地保育區,水利用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,184711,1210,,0.0,0,,RPVNMLLKJHMFFDK58CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮田寮里14鄰民族路571~600號,181.76,工,,,1051001,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0690402,232.12,4,2,3,有,無,8800000,37911,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLNJJHMFFFK78CA
三灣鄉,土地,永和山段151~180地號,513.9,,山坡地保育區,農牧用地,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,464640,904,,0.0,0,,RPPNMLOJJHMFFFK38CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮蟠桃里7鄰華美街1巷28弄1~30號,104.73,住,,,1051101,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0961025,194.65,4,2,3,有,無,9800000,50347,,0.0,0,,RPQNMLOJJHMFFFK48CA
頭份鎮,土地,尖山下段991~1020地號,2515.0,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,2306,,0.0,0,買賣標地非素地，經整體規劃設置澆溉、排水設施，並種植花、草樹木等。,RPTNMLQJJHMFFFK98CA
大湖鄉,土地,義和西段331~360地號,76.22,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1968,,0.0,0,,RPPNMLPJJHMFFAK08DA
南庄鄉,土地,員林段361~390地號,5200.0,,一般農業區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,692,,0.0,0,"因辦理土地合併分割移轉面積短少,退還買方10000元整",RPRNMLOLJHMFFFK88DA
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里32鄰和興街31~60號,19.26,商,,,1051201,土地1建物1車位0,三層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861112,140.4,3,2,2,有,無,3850000,27422,,0.0,0,,RPWNMLQKJHMFFBK98CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1050901,土地2建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,177.23,3,2,2,有,有,7400000,41754,坡道平面,26.85,0,,RPVOMLPLJHMFFBK98CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1050901,土地2建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,178.07,3,2,2,有,有,6800000,38187,坡道平面,26.85,0,,RPRPMLPLJHMFFBK68CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1050701,土地2建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,177.08999999999997,3,2,2,有,有,7120000,40206,坡道平面,26.85,0,,RPTPMLPLJHMFFBK88CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1041101,土地2建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,178.07,3,2,2,有,有,7000000,39310,坡道平面,26.85,0,,RPVPMLPLJHMFFBK09CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1050901,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,177.23,3,2,2,有,有,6980000,39384,坡道平面,26.85,0,,RPXPMLPLJHMFFBK66CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里14鄰祥發街31~60號,28.94,住,,,1051201,土地2建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051018,178.07,3,2,2,有,有,7300000,40995,坡道平面,26.85,0,,RPPQMLPLJHMFFBK58CA
