編號,車位類別,車位價格,車位面積平方公尺
RPQOMLKLKHMFFDK28CA,坡道平面,850000,29.84
RPOPMLPLJHMFFDK58CA,一樓平面,0,15.19
RPVOMLPLJHMFFBK98CA,坡道平面,0,26.85
RPRPMLPLJHMFFBK68CA,坡道平面,0,26.85
RPTPMLPLJHMFFBK88CA,坡道平面,0,26.85
RPVPMLPLJHMFFBK09CA,坡道平面,0,26.85
RPXPMLPLJHMFFBK66CA,坡道平面,0,26.85
RPPQMLPLJHMFFBK58CA,坡道平面,0,26.85
RPRQMLPLJHMFFBK78CA,坡道平面,0,26.85
RPTQMLPLJHMFFBK98CA,坡道平面,0,26.85
RPRNMLMJKHMFFBK08CA,坡道平面,0,26.85
RPSNMLRJKHMFFBK68CA,坡道平面,0,26.85
RPSNMLPJJHMFFFK78CA,坡道平面,0,
RPQNMLMKJHMFFDK18CA,其他,350000,8.43
RPVQMLPLJHMFFBK56CA,坡道平面,0,26.85
RPXQMLPLJHMFFBK76CA,坡道平面,0,26.85
RPPRMLPLJHMFFBK68CA,坡道平面,0,26.85
RPRRMLPLJHMFFBK88CA,坡道平面,0,26.85
RPTRMLPLJHMFFBK09CA,坡道平面,0,26.85
RPVRMLPLJHMFFBK66CA,坡道平面,0,26.85
RPOOMLQJJHMFFDK38CA,坡道機械,500000,6.62
RPSNMLSJJHMFFDK88CA,坡道機械,0,
RPRNMLTJKHMFFCK88CA,坡道機械,0,19.07
RPSNMLLKKHMFFBK18CA,坡道平面,0,26.85
RPXRMLPLJHMFFBK86CA,坡道平面,0,26.85
RPSSMLPLJHMFFBK09CA,坡道平面,0,26.85
RPUSMLPLJHMFFBK66CA,坡道平面,0,26.85
RPOPMLOLJHMFFDK48CA,坡道平面,1000000,
RPPPMLOLJHMFFDK58CA,坡道平面,800000,
RPQPMLMJKHMFFDK38CA,升降機械,450000,
RPTOMLPLJHMFFDK98CA,坡道平面,1000000,16.85
RPPNMLRKJHMFFDK58CA,坡道平面,1100000,30.00
RPPNMLRKJHMFFDK58CA,坡道平面,1200000,33.68
RPPNMLRKJHMFFDK58CA,坡道平面,1200000,33.68
RPPNMLRKJHMFFDK58CA,坡道平面,1200000,33.68
RPRPMLMJKHMFFDK48CA,坡道平面,900000,
RPPNMLLKJHMFFFK18CA,坡道機械,0,
RPPNMLRKJHMFFBK38CA,升降機械,0,
RPPNMLKKJHMFFDK87CA,一樓平面,0,
RPSNMLKKJHMFFFK38CA,坡道平面,0,
RPTOMLRKJHMFFDK09CA,一樓平面,0,
RPQPMLNJKHMFFFK68CA,坡道平面,1000000,26.43
RPWNMLNLJHMFFBK78CA,坡道平面,0,26.85
RPWNMLNLJHMFFBK78CA,坡道平面,0,26.85
RPQNMLRJKHMFFBK48CA,坡道平面,0,26.85
RPRNMLRJKHMFFBK58CA,坡道平面,0,26.85
RPVNMLOJKHMFFBK68CA,坡道平面,0,26.85
RPPOMLOJKHMFFBK18CA,坡道平面,0,26.85
RPOOMLNLJHMFFBK08CA,坡道平面,0,26.85
RPSNMLNLJHMFFFK78CA,坡道平面,0,
RPWNMLLLKHMFFFK09CA,坡道平面,0,
RPROMLNKJHMFFFK68CA,坡道平面,0,
RPWOMLPLJHMFFDK66CA,坡道平面,900000,26.44
RPSNMLQKJHMFFDK78CA,一樓平面,0,
RPTNMLQKJHMFFDK88CA,一樓平面,0,
RPSNMLRKJHMFFDK88CA,一樓平面,0,
RPWNMLTKJHMFFDK86CA,坡道機械,0,
RPPNMLQKJHMFFDK48CA,坡道平面,0,
RPUNMLQLJHMFFDK09CA,一樓平面,0,
RPVNMLQLJHMFFDK56CA,一樓平面,0,
