編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVNMLTJJHMFFDK76CB,大同段,1.63,都市：商
RPWNMLTJJHMFFDK86CB,大同段,1.63,都市：商
RPSOMLTJJHMFFDK56CB,大同段,1.63,都市：商
RPXOMLTJJHMFFDK07CB,大同段,1.63,都市：商
RPQQMLTJJHMFFDK56CB,大同段,1.63,都市：商
RPSQMLTJJHMFFDK76CB,大同段,1.63,都市：商
RPTQMLTJJHMFFDK86CB,大同段,1.63,都市：商
RPORMLTJJHMFFDK09CB,大同段,1.63,都市：商
RPQNMLKKJHMFFDK08CB,大同段,1.69,都市：商
RPRNMLKKJHMFFDK18CB,大同段,1.65,都市：商
RPSNMLKKJHMFFDK28CB,大同段,1.63,都市：商
RPTNMLKKJHMFFDK38CB,大同段,1.65,都市：商
RPUNMLKKJHMFFDK48CB,大同段,1.63,都市：商
RPVNMLKKJHMFFDK58CB,大同段,1.63,都市：商
RPWNMLKKJHMFFDK68CB,大同段,1.65,都市：商
RPOOMLKKJHMFFDK97CB,大同段,1.65,都市：商
RPPOMLKKJHMFFDK08CB,大同段,1.63,都市：商
RPROMLKKJHMFFDK28CB,大同段,1.69,都市：商
RPSOMLKKJHMFFDK38CB,大同段,1.65,都市：商
RPTOMLKKJHMFFDK48CB,大同段,1.69,都市：商
RPUOMLKKJHMFFDK58CB,大同段,1.69,都市：商
RPVOMLKKJHMFFDK68CB,大同段,1.63,都市：商
RPWOMLKKJHMFFDK78CB,大同段,1.65,都市：商
RPXOMLKKJHMFFDK88CB,大同段,1.65,都市：商
RPOPMLKKJHMFFDK08CB,大同段,1.69,都市：商
RPPPMLKKJHMFFDK18CB,大同段,1.98,都市：商
RPQPMLKKJHMFFDK28CB,大同段,1.69,都市：商
RPRPMLKKJHMFFDK38CB,大同段,1.69,都市：商
RPSPMLKKJHMFFDK48CB,大同段,1.63,都市：商
RPTPMLKKJHMFFDK58CB,大同段,1.63,都市：商
RPUPMLKKJHMFFDK68CB,大同段,1.63,都市：商
RPVPMLKKJHMFFDK78CB,大同段,1.69,都市：商
RPWPMLKKJHMFFDK88CB,大同段,1.63,都市：商
RPXPMLKKJHMFFDK98CB,大同段,1.65,都市：商
RPOQMLKKJHMFFDK18CB,大同段,1.98,都市：商
RPPQMLKKJHMFFDK28CB,大同段,1.69,都市：商
