鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
集集鎮,建物,南投縣集集鎮文昌巷1~30號,0.0,,,,1051001,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880115,271.75,4,2,3,有,無,4000000,14719,,0.0,0,,RPPNMLQKKILFFEM88CA
竹山鎮,房地(土地+建物),南投縣竹山鎮民生巷61~90號,116.88,,鄉村區,乙種建築用地,1051201,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0930205,151.11,4,2,3,有,無,2600000,17206,,0.0,0,向政府機關承購之案件。含污水處理設施1.42平方公尺,RPQNMLRKJHMFFDM88CA
竹山鎮,土地,延祥段1021~1050地號,682.65,農,,,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5250000,7691,,0.0,0,,RPQNMLOJJHMFFDM48CA
竹山鎮,土地,大坑段大坑小段1~30地號,30727.0,,山坡地保育區,農牧用地,1050401,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,651,,0.0,0,,RPPNMLPJJHMFFDM48CA
竹山鎮,土地,山坪頂段151~180地號,2010.0,,山坡地保育區,林業用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,90,,0.0,0,,RPSNMLPJJHMFFDM78CA
草屯鎮,房地(土地+建物),南投縣草屯鎮中正路751~780號,8.37,商,,,1051201,土地1建物1車位0,五層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0830117,102.66999999999999,0,0,0,無,有,2000000,19480,,0.0,0,,RPSNMLKLJHMFFBM38DA
南投市,房地(土地+建物),南投縣南投市信義街152巷107弄1~30號,75.0,住,,,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0741101,87.56,5,2,3,有,無,4200000,47967,,0.0,0,,RPSNMLOJJHMFFAM38CA
南投市,房地(土地+建物),南投縣南投市彰南路三段1211巷3弄1~30號,116.91,住,,,1051201,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050726,161.35,4,2,3,有,無,7500000,46483,,0.0,0,,RPOOMLMKJHMFFAM97CA
南投市,房地(土地+建物),南投縣南投市彰南路三段1211巷1弄1~30號,132.07,住,,,1051201,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050726,140.4,4,2,3,有,無,6700000,47721,,0.0,0,,RPRPMLMKJHMFFAM38CA
南投市,房地(土地+建物),南投縣南投市彰南路三段1211巷1弄1~30號,89.1,住,,,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050726,181.93,4,2,3,有,無,7280000,40015,,0.0,0,,RPTPMLMKJHMFFAM58CA
